level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,30.00985,Gy
5,1,1,1,1,2,80,31,74,19,89.3088,Seeded
5,1,1,1,1,3,163,31,65,24,96.81221,Player
5,1,1,1,2,1,0,74,147,44,0.0,Ranking
5,1,1,1,2,2,194,74,56,44,24.426765,~~
5,1,1,1,2,3,256,74,140,44,24.426765,Commander
5,1,1,1,2,4,410,74,173,44,0.0,===——~—~—~SC«&IN'
5,1,1,1,2,5,586,74,122,44,18.317337,Score
5,1,1,1,3,1,2,138,26,31,73.646729,8
5,1,1,1,3,2,52,182,48,45,28.512482,3
5,1,1,1,3,3,131,145,109,119,65.366104,ey
5,1,1,1,3,4,258,172,110,26,46.695381,[FIND]THE
5,1,1,1,3,5,380,163,68,39,94.721367,SAINT
5,1,1,1,3,6,645,163,41,63,13.169792,CG
5,1,1,1,4,1,258,207,84,32,96.265594,Warzone
5,1,1,1,4,2,355,207,67,32,96.307297,#1303
5,1,1,1,4,3,538,207,3,7,0.0,.
5,1,1,1,4,4,590,207,4,7,27.710678,°
5,1,1,1,5,1,2,397,26,31,4.985008,e
5,1,1,1,5,2,138,408,99,59,16.435364,"aor,"
5,1,1,1,5,3,254,419,181,48,25.982193,"[VNS9]""""Sakura"
5,1,1,1,5,4,686,386,5,3,0.0,.
5,1,1,1,6,1,67,449,19,26,95.631065,5
5,1,1,1,6,2,258,459,85,38,96.536415,Warzone
5,1,1,1,6,3,355,470,67,18,96.567642,#1305
5,1,1,1,6,4,504,439,116,58,0.0,ROGER
5,1,1,1,6,5,653,439,33,58,30.236511,Hy
5,1,1,1,7,1,2,515,689,53,16.670822,ee
5,1,1,1,8,1,2,656,26,31,0.0,)
5,1,1,1,8,2,66,707,20,26,89.087715,7
5,1,1,1,8,3,132,666,109,99,34.952133,ha
5,1,1,1,8,4,254,684,162,35,66.734543,[XTRM]BEYDE
5,1,1,1,8,5,508,688,126,56,0.0,REETIa0
5,1,1,1,8,6,652,688,34,56,13.634041,¥y
5,1,1,1,9,1,133,725,56,51,9.367714,a
5,1,1,1,9,2,258,725,87,31,96.371544,Warzone
5,1,1,1,9,3,357,729,67,18,94.771896,#1308
5,1,1,1,10,1,65,966,22,7,82.449051,-
5,1,1,1,10,2,137,928,100,45,38.975185,|
5,1,1,1,10,3,258,949,382,24,45.956116,[PHLG]RedDawnWolverines___
5,1,1,1,11,1,139,984,26,31,62.430809,<
5,1,1,1,11,2,175,990,37,22,96.486961,Top
5,1,1,1,11,3,220,990,12,17,96.088394,8
5,1,1,1,11,4,241,989,76,23,95.251823,Players
5,1,1,1,11,5,324,989,87,18,95.251823,Advance
5,1,1,1,11,6,418,991,20,16,91.084709,to
5,1,1,1,11,7,446,989,33,18,91.084709,the
5,1,1,1,11,8,486,989,113,30,66.291519,Semi-final
5,1,1,1,11,9,617,1018,12,1,57.736649,_
