level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,72,124,31,2,0.0,——
5,1,1,1,3,2,145,124,37,42,44.00042,ih
5,1,1,1,3,3,191,124,9,9,33.340744,°
5,1,1,1,3,4,209,124,36,42,49.259449,dj
5,1,1,1,3,5,266,124,90,16,89.597641,Warzone
5,1,1,1,3,6,362,124,71,16,78.664505,#1304.
5,1,1,1,3,7,551,124,5,2,0.0,~
5,1,1,1,3,8,600,124,5,2,0.0,e
5,1,1,1,4,1,143,209,5,10,8.767921,.
5,1,1,1,4,2,244,195,4,3,0.0,i
5,1,1,1,5,1,266,212,137,25,44.332447,[WEAS]miau
5,1,1,1,6,1,60,229,48,27,95.924889,46
5,1,1,1,6,2,137,185,120,114,28.381592,wf
5,1,1,1,6,3,266,251,90,18,96.533447,Warzone
5,1,1,1,6,4,362,251,71,18,96.140381,#1304
5,1,1,1,6,5,534,232,113,19,15.340729,LEER
5,1,1,1,7,1,143,339,5,10,44.793602,","
5,1,1,1,8,1,266,342,96,29,7.486359,[Aczi]¥
5,1,1,1,8,2,374,344,15,23,41.000969,>
5,1,1,1,8,3,396,342,43,26,70.711937,Fb
5,1,1,1,9,1,62,359,45,26,80.507515,47
5,1,1,1,9,2,137,315,120,114,10.491859,LI
5,1,1,1,9,3,266,380,90,18,95.727341,Warzone
5,1,1,1,9,4,362,380,66,18,95.902359,#1310
5,1,1,1,9,5,517,361,76,22,0.0,HEEB
5,1,1,1,9,6,600,361,47,22,0.0,SS
5,1,1,1,10,1,266,471,182,25,62.80254,[BLUWZ]Forest50
5,1,1,1,11,1,227,504,1,4,24.562683,\
5,1,1,1,11,2,513,491,135,22,0.0,1013341604)
5,1,1,1,12,1,60,488,48,27,94.988678,48
5,1,1,1,12,2,192,473,52,75,35.759842,ad
5,1,1,1,12,3,266,510,90,18,96.30722,Warzone
5,1,1,1,12,4,362,509,71,19,93.705849,#1304.
5,1,1,1,12,5,528,491,13,19,66.147507,a
5,1,1,1,12,6,616,491,14,19,0.0,o
5,1,1,1,13,1,143,597,15,11,44.343605,We
5,1,1,1,13,2,244,583,4,3,68.488403,‘
5,1,1,1,13,3,431,598,13,8,80.262299,a
5,1,1,1,13,4,491,598,14,8,30.276161,a
5,1,1,1,14,1,266,605,118,25,57.350426,[XINNJAnh
5,1,1,1,14,2,390,606,13,19,74.290657,7
5,1,1,1,14,3,409,606,54,20,79.815903,Bam
5,1,1,1,14,4,472,606,44,20,0.0,de
5,1,1,1,14,5,525,602,43,46,0.0,TOIS
5,1,1,1,14,6,575,602,77,46,0.0,22160)
5,1,1,1,15,1,60,617,48,27,95.086922,49
5,1,1,1,15,2,137,578,114,105,52.945473,&
5,1,1,1,15,3,266,639,90,18,96.278069,Warzone
5,1,1,1,15,4,362,639,64,18,96.496124,#1311
5,1,1,1,15,5,519,620,127,22,3.945854,AES
5,1,1,1,16,1,143,716,86,34,24.558418,“Ea
5,1,1,1,16,2,266,729,190,30,0.0,towsi8-s700
5,1,1,1,17,1,62,747,45,26,96.529984,50
5,1,1,1,17,2,138,763,95,29,17.750999,SG:
5,1,1,1,17,3,266,769,90,18,71.064735,Warzone
5,1,1,1,17,4,362,768,68,19,93.53788,#1301
5,1,1,1,17,5,517,749,130,19,0.0,SOEEELBES
5,1,1,1,18,1,155,848,79,58,0.0,=
5,1,1,1,18,2,262,845,144,44,17.084259,[V10]PKR20
5,1,1,1,19,1,205,882,9,7,41.838577,i
5,1,1,1,19,2,519,879,12,18,4.079445,1
5,1,1,1,19,3,535,875,18,31,4.079445,OF
5,1,1,1,19,4,556,879,13,22,31.77507,29
5,1,1,1,19,5,584,879,35,22,27.276649,1°:
5,1,1,1,20,1,67,876,35,27,94.088463,51
5,1,1,1,20,2,150,892,16,31,40.501484,ig
5,1,1,1,20,3,239,892,1,18,9.737099,]
5,1,1,1,20,4,266,898,90,18,95.841553,Warzone
5,1,1,1,20,5,362,898,70,18,96.644844,#1308
5,1,1,1,20,6,533,879,114,19,7.398079,DEES
5,1,1,1,21,1,147,983,26,31,41.136471,e
5,1,1,1,21,2,183,989,37,22,96.921432,Top
5,1,1,1,21,3,228,989,12,17,96.593971,8
5,1,1,1,21,4,249,988,76,23,96.18734,Players
5,1,1,1,21,5,332,988,87,18,96.161575,Advance
5,1,1,1,21,6,426,990,20,16,96.323364,to
5,1,1,1,21,7,454,988,33,18,96.641953,the
5,1,1,1,21,8,494,988,106,18,96.076927,Semi-final
