level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,0,79,704,32,41.87532,"""Ranking"
5,1,1,1,2,2,256,75,141,41,53.030792,Commander
5,1,1,1,2,3,416,75,39,41,37.035423,=
5,1,1,1,2,4,495,75,86,41,0.0,~—~SWNWN
5,1,1,1,2,5,587,75,121,41,60.382797,Score.
5,1,1,1,3,1,2,126,26,31,0.0,.
5,1,1,1,3,2,134,157,6,11,68.269211,","
5,1,1,1,3,3,258,160,78,25,53.045097,[KORa}
5,1,1,2,1,1,52,171,49,15,16.07914,7
5,1,1,2,1,2,219,175,6,10,62.099445,:
5,1,1,2,1,3,316,165,97,21,33.406288,alccppgg
5,1,1,2,1,4,571,185,5,4,21.866188,;
5,1,1,2,2,1,51,170,51,42,0.0,Y
5,1,1,2,2,2,128,133,120,114,53.502293,<=
5,1,1,2,2,3,258,199,90,18,95.532532,Warzone
5,1,1,2,2,4,354,198,65,19,96.791473,#1312
5,1,1,2,2,5,511,168,75,45,0.0,HZa2
5,1,1,2,2,6,600,168,46,45,36.581608,S640
5,1,1,2,2,7,649,172,37,37,40.276752,Wy
5,1,1,2,3,1,2,384,26,32,19.60994,.
5,1,1,2,3,2,258,418,115,26,69.014862,[FIND]THE
5,1,1,2,3,3,379,413,69,26,93.002686,SAINT
5,1,1,2,4,1,136,539,102,31,0.0,VWE>U
5,1,1,2,4,2,258,548,131,30,27.638474,[coca
5,1,1,2,4,3,370,534,47,55,32.962631,ae
5,1,1,2,4,4,424,549,55,25,29.116226,a6
5,1,1,2,4,5,575,572,49,6,0.0,—
5,1,1,2,5,1,65,565,23,26,69.007874,“
5,1,1,2,5,2,258,587,90,18,95.555763,Warzone
5,1,1,2,5,3,354,587,66,18,96.794968,#1316
5,1,1,2,5,4,509,566,81,26,0.0,TAPER
5,1,1,2,5,5,593,568,46,22,0.0,FES
5,1,1,2,5,6,649,560,37,38,46.756271,Gy
5,1,1,2,6,1,686,632,5,4,70.386856,|
5,1,1,2,7,1,219,684,3,2,19.255234,9)
5,1,1,2,7,2,282,682,153,19,36.494812,[vN59)Sakura
5,1,1,2,8,1,67,695,19,26,84.818489,5
5,1,1,2,8,2,258,716,90,18,95.888306,Warzone
5,1,1,2,8,3,354,716,68,18,96.394493,#1305
5,1,1,2,8,4,645,686,41,45,6.062454,ty
5,1,1,2,9,1,2,772,26,32,23.831085,.
5,1,1,2,9,2,135,804,5,10,39.637161,""""
5,1,1,2,9,3,258,803,173,29,4.442047,[Wip)PERSEiis
5,1,1,2,10,1,305,812,12,20,40.345337,","
5,1,1,2,10,2,603,827,11,21,7.643372,yo
5,1,1,2,11,1,65,824,22,26,81.890717,6
5,1,1,2,11,2,129,780,120,114,37.421059,Ee)
5,1,1,2,11,3,258,846,90,18,96.584778,Warzone
5,1,1,2,11,4,354,845,68,19,96.584778,#1307
5,1,1,2,11,5,649,819,37,37,17.609718,Nj
5,1,1,2,12,1,66,954,20,19,96.267509,7
5,1,1,2,12,2,130,908,114,72,41.585194,fed
5,1,1,2,12,3,254,930,162,42,40.079784,[XTRM]BEYDE
5,1,1,2,12,4,588,954,52,19,52.428799,cin
5,1,1,2,12,5,649,948,37,25,27.414818,és
5,1,1,2,13,1,139,984,26,31,62.430809,<
5,1,1,2,13,2,175,990,37,22,96.486961,Top
5,1,1,2,13,3,220,990,12,17,96.088394,8
5,1,1,2,13,4,241,989,76,23,95.251823,Players
5,1,1,2,13,5,324,989,87,18,95.251823,Advance
5,1,1,2,13,6,418,991,20,16,91.084709,to
5,1,1,2,13,7,446,989,33,18,91.084709,the
5,1,1,2,13,8,486,989,113,30,66.291519,Semi-final
5,1,1,2,13,9,617,1018,12,1,57.736649,_
