level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,63,124,41,2,38.32048,7
5,1,1,1,3,2,137,115,113,54,0.0,apa
5,1,1,1,3,3,266,115,87,34,95.677322,Warzone
5,1,1,1,3,4,364,124,67,15,92.634438,#1302
5,1,1,1,3,5,542,124,4,2,0.0,-
5,1,1,1,3,6,594,124,4,2,28.680389,oe
5,1,1,1,4,1,239,193,10,13,0.0,y
5,1,1,1,4,2,344,212,81,26,0.0,[ANZFR—Y
5,1,1,1,4,3,436,189,37,62,31.177963,—
5,1,1,1,5,1,266,216,133,25,0.0,(AN2FR
5,1,1,1,5,2,408,211,19,55,56.912197,J
5,1,1,1,5,3,436,222,19,5,54.00444,—
5,1,1,1,5,4,464,215,22,22,36.76067,A
5,1,1,1,6,1,63,229,43,26,96.604416,35
5,1,1,1,6,2,136,183,63,107,29.176247,fe
5,1,1,1,6,3,266,243,87,35,95.884148,Warzone
5,1,1,1,6,4,364,250,64,18,96.55616,#1316
5,1,1,1,6,5,513,231,28,19,0.0,TO
5,1,1,1,6,6,551,232,41,21,0.0,AEB
5,1,1,1,6,7,602,232,46,21,39.371395,AOS
5,1,1,1,7,1,156,338,80,24,0.0,Leste
5,1,1,1,7,2,241,334,10,37,0.0,|
5,1,1,1,7,3,266,341,130,25,72.688782,[XTRM]Zero
5,1,1,1,7,4,403,343,36,19,90.952774,too
5,1,1,1,8,1,62,358,45,27,96.593979,36
5,1,1,1,8,2,266,376,87,32,96.141785,Warzone
5,1,1,1,8,3,366,380,66,18,96.383972,#1308
5,1,1,1,8,4,518,359,131,26,26.849075,BETS
5,1,1,1,9,1,266,470,142,26,58.525791,[GLOW]Glow
5,1,1,1,9,2,416,472,93,19,90.070663,Maczino
5,1,1,1,10,1,64,487,42,27,96.509117,37
5,1,1,1,10,2,141,446,103,112,21.295242,lac
5,1,1,1,10,3,266,505,87,31,95.689529,Warzone
5,1,1,1,10,4,365,509,67,18,95.689529,#1306
5,1,1,1,11,1,181,589,36,28,60.884174,*
5,1,1,1,11,2,262,596,165,33,75.424576,[XTRM]mOzart
5,1,1,1,12,1,62,617,45,27,92.505096,38
5,1,1,1,12,2,150,633,2,18,0.0,f
5,1,1,1,12,3,186,616,32,42,0.0,€
5,1,1,1,12,4,239,633,1,18,11.837006,)
5,1,1,1,12,5,268,628,88,40,96.266418,Warzone
5,1,1,1,12,6,365,638,67,19,96.814758,#1308
5,1,1,1,12,7,515,618,134,26,35.976166,AAT
5,1,1,1,13,1,143,702,108,45,20.355766,wre
5,1,1,1,13,2,512,737,2,2,24.035866,:
5,1,1,1,14,1,171,852,45,13,37.311333,MA
5,1,1,1,14,2,266,859,210,30,24.498573,[GBYNJsnowBall
5,1,1,1,15,1,60,876,47,26,96.350494,40
5,1,1,1,15,2,266,890,87,35,96.242378,Warzone
5,1,1,1,15,3,364,897,66,19,96.576469,#1301
5,1,1,1,15,4,509,878,138,22,3.179001,TORRES
5,1,1,1,16,1,147,983,26,31,41.136471,e
5,1,1,1,16,2,183,967,37,44,58.614967,Top
5,1,1,1,16,3,228,967,9,39,76.292908,8
5,1,1,1,16,4,249,963,76,52,95.113342,Players
5,1,1,1,16,5,332,988,87,18,89.119431,Advance
5,1,1,1,16,6,426,990,20,16,96.495193,to
5,1,1,1,16,7,454,988,33,18,96.970085,the
5,1,1,1,16,8,494,984,114,35,75.615471,Semi-final
