level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,125,26,27,0.0,*
5,1,1,1,3,2,340,150,57,43,0.0,Ed]
5,1,1,1,4,1,61,164,30,9,53.563084,3
5,1,1,1,4,2,254,155,84,54,0.0,DATRM]
5,1,1,1,4,3,508,172,134,27,0.0,BOOT
5,1,1,1,5,1,48,161,35,52,5.710442,.3
5,1,1,1,5,2,91,161,14,52,23.320984,j
5,1,1,1,5,3,258,193,90,19,63.160862,Wareone
5,1,1,1,5,4,354,193,70,19,94.580734,#1308
5,1,1,1,5,5,510,174,130,22,21.208054,TOMES
5,1,1,1,5,6,649,166,37,38,41.166512,Gy
5,1,1,1,6,1,2,250,26,31,54.03968,@
5,1,1,1,7,1,258,284,90,25,86.887589,[HxC]De
5,1,1,1,7,2,356,284,154,21,92.003555,Brolaudinator
5,1,1,1,8,1,65,301,23,26,92.43145,4
5,1,1,1,8,2,133,259,19,113,20.248711,|
5,1,1,1,8,3,189,263,48,105,60.807526,a
5,1,1,1,8,4,258,323,90,18,96.51947,Warzone
5,1,1,1,8,5,354,323,69,18,96.307777,#1309
5,1,1,1,8,6,514,304,22,19,5.877258,te
5,1,1,1,8,7,542,304,53,22,0.0,Ysera
5,1,1,1,8,8,603,304,35,19,0.0,ely
5,1,1,1,9,1,2,379,26,31,45.244602,8
5,1,1,1,9,2,135,411,5,10,32.00087,""""
5,1,1,1,9,3,258,413,135,26,70.160645,[Smrf]Smurf
5,1,1,1,9,4,400,414,29,20,87.878265,Pri
5,1,1,1,10,1,280,419,93,15,59.499306,mrf]Smurf
5,1,1,1,10,2,415,419,76,15,95.562927,Princess
5,1,1,1,11,1,67,431,19,26,96.079803,5
5,1,1,1,11,2,130,463,20,17,24.827965,”
5,1,1,1,11,3,258,452,90,18,95.388245,Warzone
5,1,1,1,11,4,354,452,64,18,95.707703,#1313
5,1,1,1,11,5,649,422,39,57,5.105087,A]
5,1,1,1,12,1,258,543,198,26,73.978149,[AC1D]iLLestBang
5,1,1,1,13,1,65,560,22,27,93.738815,6
5,1,1,1,13,2,204,545,31,75,17.189163,F
5,1,1,1,13,3,258,582,90,18,96.470276,Warzone
5,1,1,1,13,4,354,582,69,18,96.206749,#1309
5,1,1,1,13,5,514,563,126,22,0.0,EERESY
5,1,1,1,13,6,649,551,41,60,34.471352,yj
5,1,1,1,14,1,2,638,26,31,21.522812,8
5,1,1,1,14,2,148,653,79,29,0.0,S@)
5,1,1,1,14,3,258,672,162,25,8.040619,[etwyatzeem
5,1,1,1,15,1,138,676,99,33,29.279121,Nee)
5,1,1,1,15,2,376,677,25,16,0.0,“
5,1,1,1,16,1,66,690,20,26,89.949188,7
5,1,1,1,16,2,139,693,98,30,41.680927,Sa
5,1,1,1,16,3,258,711,90,18,95.898354,Warzone
5,1,1,1,16,4,354,711,69,18,96.020798,#1302
5,1,1,1,16,5,508,692,131,22,15.973572,TASORTES
5,1,1,1,16,6,649,685,37,37,26.173668,Lay
5,1,1,1,17,1,2,767,26,32,52.955139,2
5,1,1,1,17,2,135,799,83,10,36.06575,SPAS
5,1,1,1,17,3,258,802,104,25,8.977135,[sorjiod
5,1,1,1,18,1,172,810,45,24,36.689819,my
5,1,1,1,18,2,336,807,97,15,82.586502,jodumaru
5,1,1,1,19,1,65,819,23,26,72.141129,&
5,1,1,1,19,2,130,850,30,14,14.224251,ee
5,1,1,1,19,3,187,834,20,28,44.409576,ae:
5,1,1,1,19,4,258,841,90,18,71.889671,Warzone
5,1,1,1,19,5,354,840,70,19,94.294151,#1306
5,1,1,1,19,6,519,820,122,25,28.328087,TTS
5,1,1,1,20,1,144,868,80,13,4.617584,ers
5,1,1,1,20,2,224,864,4,24,46.148956,'
5,1,1,1,21,1,65,913,175,60,12.751984,KE}
5,1,1,1,21,2,258,931,167,42,7.48951,moweetones
5,1,1,1,21,3,433,932,51,25,73.624657,spa
5,1,1,1,22,1,139,984,26,31,41.136471,e
5,1,1,1,22,2,175,990,37,22,96.817154,Top
5,1,1,1,22,3,220,990,12,17,96.338722,8
5,1,1,1,22,4,241,989,76,23,96.338722,Players
5,1,1,1,22,5,324,989,87,18,96.161293,Advance
5,1,1,1,22,6,418,991,20,16,95.84539,to
5,1,1,1,22,7,446,989,33,18,95.84539,the
5,1,1,1,22,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,22,9,617,1018,12,1,0.0,/
