level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,162,124,24,10,24.173653,at
5,1,1,1,3,2,213,124,1,4,30.766357,>
5,1,1,1,3,3,236,120,4,35,53.994022,|
5,1,1,1,3,4,248,120,15,35,6.633148,Ee
5,1,1,1,3,5,266,124,146,12,0.0,aati
5,1,1,1,3,6,426,124,86,9,17.34024,eit
5,1,1,1,3,7,534,120,117,35,0.0,"0)'3:110""0)7,0)"
5,1,1,1,4,1,62,124,45,25,81.248413,47
5,1,1,1,4,2,145,124,100,65,58.217026,a
5,1,1,1,4,3,266,144,90,18,96.56852,Warzone
5,1,1,1,4,4,362,144,67,18,96.610809,#1314
5,1,1,1,4,5,515,125,131,22,18.146019,HEED
5,1,1,1,5,1,143,232,5,10,0.0,r
5,1,1,1,5,2,244,217,4,3,27.793053,i
5,1,1,1,5,3,407,235,5,4,0.0,"""I"
5,1,1,1,6,1,266,230,146,34,53.461998,[SOF]Dustellti
5,1,1,1,6,2,509,230,143,52,0.0,rOreyetacal
5,1,1,1,7,1,60,252,48,26,79.859108,48
5,1,1,1,7,2,137,208,120,114,22.382576,Ly
5,1,1,1,7,3,266,273,90,18,96.299728,Warzone
5,1,1,1,7,4,362,273,70,18,96.838615,#1306
5,1,1,1,7,5,515,254,133,22,0.0,ATES
5,1,1,1,8,1,162,360,20,14,41.009403,“es
5,1,1,1,8,2,198,367,7,6,72.332123,4
5,1,1,1,9,1,168,372,14,11,15.237183,ot
5,1,1,1,9,2,197,370,21,23,70.571915,te
5,1,1,1,9,3,225,365,7,36,84.243637,|
5,1,1,1,9,4,266,364,203,26,32.597534,[XTRMJ]BloadBaby
5,1,1,1,10,1,60,381,48,27,46.79174,49
5,1,1,1,10,2,150,389,66,40,20.546181,TEE
5,1,1,1,10,3,266,403,90,18,19.141602,warcone
5,1,1,1,10,4,362,403,70,18,92.073898,#1308
5,1,1,1,10,5,517,382,53,26,19.397118,ana
5,1,1,1,10,6,576,382,73,26,33.649918,ee
5,1,1,1,11,1,175,490,50,25,67.368103,Care
5,1,1,1,11,2,266,493,176,25,0.0,[CBn]Dozer1
5,1,1,1,11,3,414,486,32,37,88.46196,87
5,1,1,1,12,1,62,510,45,27,95.877998,50
5,1,1,1,12,2,266,532,90,18,96.518166,Warzone
5,1,1,1,12,3,362,532,65,18,95.685364,#1315
5,1,1,1,12,4,517,513,22,19,7.501518,AG
5,1,1,1,12,5,555,513,22,22,0.0,aE
5,1,1,1,12,6,579,513,67,22,0.0,EY
5,1,1,1,13,1,143,601,8,35,20.997391,fe
5,1,1,1,13,2,414,623,5,4,37.366558,.
5,1,1,1,14,1,67,640,35,26,96.047897,51
5,1,1,1,14,2,262,619,77,33,0.0,[VNaZ]
5,1,1,1,14,3,343,619,101,33,0.0,Frederick
5,1,1,1,14,4,450,624,33,23,96.200378,XQ
5,1,1,1,15,1,138,673,14,14,27.493233,oe
5,1,1,1,15,2,266,662,90,18,96.361237,Warzone
5,1,1,1,15,3,362,661,68,19,96.913521,#1307
5,1,1,1,16,1,266,752,108,25,56.143631,[B3ar]¥az
5,1,1,1,16,2,380,757,26,16,86.934242,an
5,1,1,1,17,1,63,769,43,27,90.174004,52
5,1,1,1,17,2,141,727,29,113,14.321175,|
5,1,1,1,17,3,206,731,39,105,51.016418,|
5,1,1,1,17,4,266,791,90,18,96.283974,Warzone
5,1,1,1,17,5,362,791,70,18,96.573654,#1308
5,1,1,1,17,6,517,772,131,22,0.0,Aavaeaeve
5,1,1,1,18,1,155,866,83,47,43.20462,wn
5,1,1,1,18,2,262,877,191,34,63.010326,[VVIp]Ufoman01
5,1,1,1,18,3,511,877,57,52,25.908897,role
5,1,1,1,18,4,571,877,79,52,0.0,pats
5,1,1,1,19,1,63,899,43,26,88.900375,53
5,1,1,1,19,2,150,915,22,17,17.688248,fF
5,1,1,1,19,3,175,914,65,33,26.233406,PAs)
5,1,1,1,19,4,266,920,90,18,86.353058,Warzone
5,1,1,1,19,5,362,920,68,18,96.252762,#1307
5,1,1,1,19,6,517,901,131,22,0.0,anand
5,1,1,1,20,1,147,983,26,31,41.136471,e
5,1,1,1,20,2,183,989,37,22,96.921432,Top
5,1,1,1,20,3,228,989,12,17,96.593971,8
5,1,1,1,20,4,249,988,76,23,96.18734,Players
5,1,1,1,20,5,332,988,87,18,96.161575,Advance
5,1,1,1,20,6,426,990,20,16,96.323364,to
5,1,1,1,20,7,454,988,33,18,96.641953,the
5,1,1,1,20,8,494,988,106,18,96.076927,Semi-final
