level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,2.254951,.
5,1,1,1,3,2,62,171,30,4,60.211529,"ey,"
5,1,1,1,3,3,243,146,2,2,30.408928,'
5,1,1,1,3,4,279,159,162,29,0.0,TOAKITRYSSaE
5,1,1,1,4,1,51,170,51,42,5.176071,G
5,1,1,1,4,2,258,164,90,53,26.375252,Hea
5,1,1,1,4,3,350,188,72,39,92.549576,#1301
5,1,1,1,4,4,649,168,41,59,0.75708,nj
5,1,1,1,5,1,2,255,26,31,52.511017,8
5,1,1,1,5,2,137,269,19,7,0.0,)
5,1,1,1,5,3,163,265,75,40,26.95192,Sue
5,1,1,1,5,4,254,285,185,34,38.625671,[VO1NJradikove
5,1,1,1,6,1,48,296,56,61,50.537449,Ke]
5,1,1,1,6,2,137,283,4,84,96.365417,|
5,1,1,1,6,3,160,314,56,37,20.607094,cae
5,1,1,1,6,4,232,286,7,83,85.540688,|
5,1,1,1,6,5,258,328,90,18,96.366623,Warzone
5,1,1,1,6,6,354,328,69,18,96.510902,#1305
5,1,1,1,6,7,513,309,126,22,0.0,TASES
5,1,1,1,6,8,649,301,37,38,12.274483,7
5,1,1,1,7,1,2,384,26,32,72.405266,@
5,1,1,1,8,1,2,514,26,31,7.962662,i)
5,1,1,1,9,1,258,548,90,25,88.817642,[HxC]De
5,1,1,1,9,2,356,548,154,21,92.180946,Brolaudinator
5,1,1,1,10,1,65,565,23,26,92.43145,4
5,1,1,1,10,2,133,523,19,113,22.410263,|
5,1,1,1,10,3,189,527,48,105,60.44062,a
5,1,1,1,10,4,258,587,90,18,96.547554,Warzone
5,1,1,1,10,5,354,587,69,18,96.417885,#1309
5,1,1,1,10,6,514,568,56,22,0.0,Tey
5,1,1,1,10,7,603,568,35,22,19.37191,ely
5,1,1,1,11,1,2,643,26,31,64.317856,8
5,1,1,1,11,2,135,675,5,10,32.00087,""""
5,1,1,1,11,3,258,677,135,26,62.006458,[Smrf]Smurf
5,1,1,1,11,4,400,678,29,20,93.209053,Pri
5,1,1,1,12,1,280,683,93,15,41.090195,mrf}Smurf
5,1,1,1,12,2,415,683,76,15,96.59008,Princess
5,1,1,1,13,1,67,695,19,26,76.361099,5
5,1,1,1,13,2,130,727,20,17,13.438484,Ee
5,1,1,1,13,3,258,716,90,18,96.124969,Warzone
5,1,1,1,13,4,354,716,64,18,96.523979,#1313
5,1,1,1,13,5,513,697,127,22,2.388489,TEOMA
5,1,1,1,13,6,649,690,37,37,46.341309,hy
5,1,1,1,14,1,258,807,198,26,67.442451,[AC1D]iLLestBang
5,1,1,1,15,1,65,824,22,27,93.738815,6
5,1,1,1,15,2,166,809,70,75,64.468948,_4
5,1,1,1,15,3,258,846,90,18,96.41497,Warzone
5,1,1,1,15,4,354,845,69,19,96.41497,#1309
5,1,1,1,15,5,514,827,126,22,0.0,TEBIIBS
5,1,1,1,15,6,649,819,37,37,39.529007,Dy
5,1,1,1,16,1,2,902,26,31,84.186966,@
5,1,1,1,16,2,176,917,51,14,0.0,~
5,1,1,1,17,1,66,954,20,19,96.083206,7
5,1,1,1,17,2,258,932,162,53,0.349548,[BTWIAlz3eeM
5,1,1,1,17,3,506,954,134,19,11.642769,SELATAN
5,1,1,1,17,4,649,948,37,25,31.309006,Ea
5,1,1,1,18,1,139,984,26,31,41.136471,e
5,1,1,1,18,2,175,990,37,22,96.817154,Top
5,1,1,1,18,3,220,990,12,17,96.338722,8
5,1,1,1,18,4,241,989,76,23,96.338722,Players
5,1,1,1,18,5,324,989,87,18,96.161293,Advance
5,1,1,1,18,6,418,991,20,16,95.84539,to
5,1,1,1,18,7,446,989,33,18,95.84539,the
5,1,1,1,18,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,18,9,617,1018,12,1,0.0,/
