level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,140,120,11,44,29.951645,|
5,1,1,1,3,2,187,120,63,44,33.231293,ae
5,1,1,1,3,3,262,120,94,22,16.283249,wWaiculle
5,1,1,1,3,4,366,124,61,11,0.0,#t2LC
5,1,1,1,4,1,143,204,15,11,41.92292,af
5,1,1,1,4,2,244,190,4,3,64.0205,‘
5,1,1,1,4,3,457,207,4,5,0.0,:
5,1,1,1,5,1,266,207,126,25,85.817635,[KORa]cute
5,1,1,1,5,2,400,209,61,19,24.007996,MunJi
5,1,1,1,5,3,507,203,143,52,0.0,POVCOStEGO
5,1,1,1,6,1,64,224,42,27,96.479263,37
5,1,1,1,6,2,137,185,114,106,48.451271,La
5,1,1,1,6,3,266,238,87,35,96.181313,Warzone
5,1,1,1,6,4,364,246,63,18,96.740219,#1312
5,1,1,1,6,5,513,227,135,22,0.0,TYSaYe
5,1,1,1,7,1,143,334,5,10,0.0,","
5,1,1,1,7,2,250,323,3,2,37.031616,.
5,1,1,1,8,1,266,337,170,25,49.712448,[BLWZ]JRoundA
5,1,1,1,9,1,62,354,45,26,96.518257,38
5,1,1,1,9,2,138,387,14,12,72.555168,L
5,1,1,1,9,3,218,314,33,106,50.025806,|
5,1,1,1,9,4,266,365,85,38,96.510803,Warzone
5,1,1,1,9,5,363,375,70,19,96.575203,#1304
5,1,1,1,9,6,514,356,133,22,0.0,ASHES
5,1,1,1,10,1,143,449,105,33,0.0,"""F@ase*"
5,1,1,1,10,2,273,466,113,20,4.249588,[arowjvalar
5,1,1,1,10,3,434,466,97,20,29.465118,Morghulj
5,1,1,1,11,1,62,483,45,27,46.560349,30
5,1,1,1,11,2,156,457,76,66,23.48838,ENT
5,1,1,1,11,3,266,466,161,57,30.686714,oun
5,1,1,1,11,4,454,471,35,21,20.716179,oti
5,1,1,1,11,5,515,486,132,22,0.0,ssazan
5,1,1,1,12,1,138,516,17,23,44.896164,Read
5,1,1,1,12,2,176,513,67,21,14.992912,clon
5,1,1,1,13,1,143,578,105,52,30.756287,Tey
5,1,1,1,13,2,352,594,143,29,27.408859,Hannes
5,1,1,1,14,1,182,610,51,20,28.754288,yay
5,1,1,1,14,2,266,600,83,25,74.594025,[HANK]
5,1,1,1,14,3,470,615,26,4,36.334846,=
5,1,1,1,15,1,60,613,47,26,96.193283,40
5,1,1,1,15,2,138,631,72,27,29.415161,eS
5,1,1,1,15,3,266,626,87,35,96.183678,Warzone
5,1,1,1,15,4,364,634,67,18,96.892197,#1309
5,1,1,1,15,5,516,615,131,22,6.560028,TOES
5,1,1,1,16,1,152,663,80,12,17.69342,rw“
5,1,1,1,17,1,165,724,60,28,14.426025,PM
5,1,1,1,17,2,266,725,217,30,16.491173,[GOat]—
5,1,1,1,17,3,389,718,29,41,40.521584,4
5,1,1,1,17,4,434,718,52,41,43.231236,V25
5,1,1,1,18,1,65,742,37,26,78.466232,41
5,1,1,1,18,2,150,758,2,18,75.91832,f
5,1,1,1,18,3,172,748,68,36,0.0,KerMll
5,1,1,1,18,4,266,744,90,50,87.701286,warzone
5,1,1,1,18,5,363,764,65,18,89.043991,#1310
5,1,1,1,18,6,516,745,131,22,14.560455,TOSSES
5,1,1,1,19,1,166,842,58,19,53.766079,1
5,1,1,1,19,2,211,838,16,31,25.978958,i
5,1,1,1,20,1,158,861,73,31,32.495628,be
5,1,1,1,20,2,266,854,177,25,74.881088,[REB1]Menonx1
5,1,1,1,21,1,61,871,46,27,95.35714,42
5,1,1,1,21,2,146,833,40,89,50.707428,ig
5,1,1,1,21,3,217,834,24,88,25.689194,i
5,1,1,1,21,4,266,885,86,36,96.323875,Warzone
5,1,1,1,21,5,364,893,69,18,96.323875,#1304
5,1,1,1,21,6,516,874,77,22,5.336678,TERE
5,1,1,1,21,7,597,874,49,22,5.336678,LE
5,1,1,1,22,1,147,983,26,31,41.136471,e
5,1,1,1,22,2,183,989,37,22,96.921432,Top
5,1,1,1,22,3,228,989,12,17,96.593971,8
5,1,1,1,22,4,249,988,76,23,96.18734,Players
5,1,1,1,22,5,332,988,87,18,96.161575,Advance
5,1,1,1,22,6,426,990,20,16,96.323364,to
5,1,1,1,22,7,454,988,33,18,96.641953,the
5,1,1,1,22,8,494,988,106,18,96.076927,Semi-final
