level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,54.60849,=
5,1,1,1,3,2,134,146,111,35,30.450485,msc
5,1,1,1,3,3,317,161,115,25,29.195786,AA
5,1,1,1,4,1,52,171,49,15,27.011055,"wr,"
5,1,1,1,4,2,148,163,16,3,46.884453,ib
5,1,1,1,4,3,258,164,56,26,92.663307,[Msz]
5,1,1,1,5,1,51,170,51,42,12.076691,@
5,1,1,1,5,2,129,184,106,42,0.0,Ae
5,1,1,1,5,3,200,180,42,50,0.0,cgy
5,1,1,1,5,4,258,180,88,50,64.084846,Warzone
5,1,1,1,5,5,358,180,64,50,93.112709,#1303
5,1,1,1,5,6,503,168,64,62,25.293945,SHITE
5,1,1,1,5,7,586,180,48,22,1.654221,OEO
5,1,1,1,5,8,654,168,37,62,29.123367,ay
5,1,1,1,6,1,2,255,26,31,84.027557,8
5,1,1,1,6,2,258,289,161,26,25.294975,[NHI}nobita45
5,1,1,1,7,1,56,301,35,8,33.199692,1
5,1,1,1,7,2,317,294,27,16,65.726593,nol
5,1,1,1,8,1,52,296,51,60,0.0,27
5,1,1,1,8,2,258,328,90,18,96.68927,Warzone
5,1,1,1,8,3,354,328,68,18,96.800079,#1307
5,1,1,1,8,4,511,309,22,19,34.91687,He
5,1,1,1,8,5,545,309,95,22,19.644707,Wee
5,1,1,1,8,6,645,297,41,59,56.140324,ty
5,1,1,1,9,1,2,384,26,32,0.0,®
5,1,1,1,9,2,136,397,80,29,3.595749,CAPA
5,1,1,1,9,3,258,418,139,26,5.805626,[arcsjLadyp
5,1,1,1,10,1,61,428,30,9,55.810093,"yo,"
5,1,1,1,10,2,144,425,56,23,29.931648,ES
5,1,1,1,10,3,265,424,196,21,0.0,a@REs]LadyDragus
5,1,1,1,11,1,52,429,48,44,32.362984,oS
