level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,178,156,37,43,39.280872,&
5,1,1,1,3,2,266,166,154,27,74.591232,[GDVH]Khéng
5,1,1,1,3,3,427,166,54,21,92.798347,Ténn
5,1,1,1,4,1,60,184,47,27,96.122139,40
5,1,1,1,4,2,150,200,2,18,94.733551,|
5,1,1,1,4,3,171,199,69,34,0.0,ema!
5,1,1,1,4,4,266,206,90,18,64.776138,Warzone
5,1,1,1,4,5,362,206,68,18,96.068848,#1305
5,1,1,1,4,6,514,187,26,19,23.480659,Tn
5,1,1,1,4,7,545,187,103,22,16.635498,tS
5,1,1,1,5,1,61,285,41,59,43.244061,‘Al
5,1,1,1,5,2,147,281,97,65,9.557838,jerry
5,1,1,1,5,3,266,287,233,39,35.73703,[QuOuJExpendables5S
5,1,1,1,5,4,515,316,133,19,0.0,anenaTON
5,1,1,1,6,1,147,351,2,4,32.687675,‘
5,1,1,1,6,2,159,328,52,35,27.40181,ean
5,1,1,1,6,3,266,335,90,18,13.383865,Wareone
5,1,1,1,6,4,362,335,67,18,95.936562,#1314
5,1,1,1,6,5,546,331,54,7,59.225674,_
5,1,1,1,7,1,143,419,9,21,12.284119,rn
5,1,1,1,7,2,251,412,2,2,0.0,’
5,1,1,1,7,3,344,421,7,5,80.213242,A
5,1,1,1,8,1,266,426,104,25,63.427948,[NHIJTAO
5,1,1,1,8,2,379,427,61,19,94.611099,6886
5,1,1,1,8,3,512,415,138,59,5.318619,amgen708
5,1,1,1,9,1,61,443,46,26,84.86731,42
5,1,1,1,9,2,137,403,114,106,0.0,mm
5,1,1,1,9,3,266,456,86,36,96.197403,Warzone
5,1,1,1,9,4,364,464,66,19,96.197403,#1307
5,1,1,1,9,5,518,446,76,21,0.0,DEEL
5,1,1,1,9,6,601,446,46,22,0.0,GANS
5,1,1,1,10,1,150,548,54,15,20.050766,ape
5,1,1,1,10,2,213,539,31,24,41.182518,rh
5,1,1,1,11,1,166,566,5,2,11.369789,tie
5,1,1,1,11,2,242,550,10,60,17.85466,|
5,1,1,1,11,3,267,560,49,25,16.362213,Mic
5,1,1,1,11,4,372,554,63,29,44.039886,SOF
5,1,1,1,12,1,61,572,46,27,96.525307,43
5,1,1,1,12,2,147,552,97,81,29.49826,ee
5,1,1,1,12,3,266,594,90,18,95.780479,Warzone
5,1,1,1,12,4,362,594,69,18,96.859589,#1309
5,1,1,1,12,5,517,575,48,22,9.168213,AGRE
5,1,1,1,12,6,581,575,36,22,0.943291,LEYS
5,1,1,1,12,7,632,575,16,19,0.0,F2
5,1,1,1,13,1,266,681,169,33,55.010826,[SOec]Wnrswin
5,1,1,1,13,2,512,681,39,51,9.383575,SO
5,1,1,1,13,3,554,681,39,51,9.383575,STE
5,1,1,1,13,4,609,681,44,51,49.902298,29
5,1,1,1,14,1,60,702,48,26,70.951447,44
5,1,1,1,14,2,145,664,99,104,49.928165,=
5,1,1,1,14,3,266,724,90,18,96.320869,Warzone
5,1,1,1,14,4,362,723,69,19,96.865944,#1309
5,1,1,1,14,5,518,704,28,19,0.0,MD
5,1,1,1,14,6,552,705,42,21,0.0,EDE
5,1,1,1,14,7,607,705,40,21,31.65741,EE
5,1,1,1,15,1,151,787,41,41,26.187386,ae
5,1,1,1,15,2,219,787,35,41,42.344368,ty
5,1,1,1,16,1,143,811,15,11,42.863079,WW
5,1,1,1,17,1,157,810,83,65,32.106613,=)
5,1,1,1,17,2,266,817,188,27,22.593605,[Acz1]x20A'Z
5,1,1,1,17,3,466,815,17,25,0.0,‘yk
5,1,1,1,17,4,491,812,63,47,23.218292,"oq,"
5,1,1,1,17,5,554,812,99,49,0.0,SEREEB
5,1,1,1,18,1,61,831,46,27,96.66629,45
5,1,1,1,18,2,138,818,112,79,23.608536,iy
5,1,1,1,18,3,266,849,87,33,96.227211,Warzone
5,1,1,1,18,4,363,853,65,18,96.532555,#1310
5,1,1,1,19,1,63,960,43,12,52.451786,0
5,1,1,1,19,2,266,943,122,26,54.198158,[MYOS]The
5,1,1,1,19,3,396,944,201,28,75.993423,bLackRack
5,1,1,1,19,4,551,939,44,37,0.0,3
5,1,1,1,19,5,602,961,47,11,3.801811,cxncy
5,1,1,1,20,1,147,983,26,31,41.136471,e
5,1,1,1,20,2,183,989,37,22,96.921432,Top
5,1,1,1,20,3,228,989,12,17,96.593971,8
5,1,1,1,20,4,249,988,76,23,96.18734,Players
5,1,1,1,20,5,332,988,87,18,96.161575,Advance
5,1,1,1,20,6,426,990,20,16,96.323364,to
5,1,1,1,20,7,454,988,33,18,96.641953,the
5,1,1,1,20,8,494,988,106,18,96.076927,Semi-final
