level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,0,78,137,42,36.830715,"""Ranking"
5,1,1,1,2,2,0,82,698,32,43.160172,Commander
5,1,1,1,2,3,465,78,88,42,7.744987,~~~
5,1,1,1,2,4,581,78,119,42,7.744987,Score
5,1,1,1,3,1,46,128,48,40,46.251419,So
5,1,1,1,3,2,124,128,316,73,0.0,ERcaa
5,1,1,1,3,3,508,128,172,35,33.989204,eg
5,1,1,1,4,1,0,219,22,21,53.948433,=
5,1,1,1,4,2,129,240,4,8,44.038422,""""
5,1,1,1,4,3,252,243,216,25,17.281586,[shamJOOTAKAOO
5,1,1,1,4,4,513,261,35,4,57.666679,___
5,1,1,1,4,5,618,261,16,7,0.0,.
5,1,1,1,5,1,59,260,23,26,96.164665,4
5,1,1,1,5,2,124,220,110,106,44.185555,zk
5,1,1,1,5,3,252,265,88,46,96.027855,Warzone
5,1,1,1,5,4,351,282,65,18,96.467194,#1303
5,1,1,1,5,5,498,261,136,25,17.368607,BeBe
5,1,1,1,6,1,0,351,22,18,50.294342,=
5,1,1,1,6,2,124,350,110,106,33.080559,L'3
5,1,1,1,6,3,252,372,191,26,90.122536,[aREs]DeepShark
5,1,1,1,6,4,535,391,41,10,41.309425,ana
5,1,1,1,6,5,623,390,11,11,31.164635,asin
5,1,1,1,6,6,649,385,27,12,0.0,o%
5,1,1,1,7,1,61,390,19,26,88.741776,5
5,1,1,1,7,2,124,420,28,18,0.0,s
5,1,1,1,7,3,228,435,3,3,90.992897,y
5,1,1,1,7,4,252,411,90,18,71.995255,Warzone
5,1,1,1,7,5,348,411,71,18,90.987885,#1304
5,1,1,1,7,6,502,390,132,26,0.0,SEEMEUEES
5,1,1,1,7,7,643,396,37,26,69.342026,Yay
5,1,1,1,8,1,0,473,22,26,55.138241,;
5,1,1,1,8,2,129,499,3,7,0.0,.
5,1,1,1,8,3,316,505,22,5,0.0,-
5,1,1,1,8,4,680,457,4,3,67.506126,.
5,1,1,1,9,1,0,597,24,40,36.306034,ai
5,1,1,1,9,2,60,648,20,26,58.465485,7
5,1,1,1,9,3,124,609,113,105,15.52803,Ll}
5,1,1,1,9,4,252,631,163,25,37.852291,[FEnx]Wilhelm
5,1,1,1,9,5,421,631,40,20,93.192535,The
5,1,1,1,9,6,469,632,112,39,6.493141,Dropg....
5,1,1,1,9,7,576,649,58,26,42.888123,ira
5,1,1,1,9,8,649,643,27,13,21.499138,ty
5,1,1,1,10,1,124,691,28,6,0.0,e..
5,1,1,1,10,2,252,670,90,18,96.474838,Warzone
5,1,1,1,10,3,348,670,65,18,93.583481,#1315
5,1,1,1,10,4,530,669,34,6,6.372711,o
5,1,1,1,10,5,630,651,54,46,3.486145,af
5,1,1,1,11,1,0,731,22,26,30.078552,;
5,1,1,1,11,2,680,716,4,3,67.506126,.
5,1,1,1,12,1,0,974,2,2,64.5327,|
5,1,1,1,12,2,124,953,110,20,23.985977,ww
5,1,1,1,13,1,134,1001,25,16,67.518364,xy
5,1,1,1,13,2,169,993,37,22,96.612236,Top
5,1,1,1,13,3,214,993,12,17,96.419243,8
5,1,1,1,13,4,235,992,76,23,96.191444,Players
5,1,1,1,13,5,318,992,87,18,96.265663,Advance
5,1,1,1,13,6,412,994,20,16,97.005257,to
5,1,1,1,13,7,440,992,33,18,96.965599,the
5,1,1,1,13,8,480,992,106,18,96.513336,Semi-final
