level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,188,170,16,7,0.0,""""
5,1,1,1,3,2,266,148,169,31,28.09948,[BLwzjS
5,1,1,1,4,1,62,166,46,27,96.120438,54
5,1,1,1,4,2,146,128,64,89,24.843399,ig
5,1,1,1,4,3,266,176,85,41,96.64933,Warzone
5,1,1,1,4,4,364,188,69,18,89.491608,#1304
5,1,1,1,4,5,513,169,134,22,21.885986,Hasan
5,1,1,1,5,1,204,267,31,37,32.284859,DD]
5,1,1,1,5,2,266,276,183,33,7.43811,iwipisigucnudi
5,1,1,1,6,1,63,296,43,26,94.185974,55
5,1,1,1,6,2,150,312,2,17,52.904442,|
5,1,1,1,6,3,205,308,35,37,47.936588,||
5,1,1,1,6,4,268,304,87,45,94.512894,Warzone
5,1,1,1,6,5,366,317,64,18,95.66288,#1307
5,1,1,1,6,6,516,298,22,19,0.0,AR
5,1,1,1,6,7,546,294,53,52,0.0,LAEEL
5,1,1,1,6,8,602,298,45,19,0.0,ORG
5,1,1,1,7,1,145,384,107,33,48.978046,(ee
5,1,1,1,7,2,694,363,5,3,0.0,","
5,1,1,1,8,1,62,425,45,27,96.498131,56
5,1,1,1,8,2,143,401,105,50,0.0,fee
5,1,1,1,8,3,266,408,158,25,39.30006,[NHi}ino1611
5,1,1,1,9,1,146,448,103,37,45.349075,aa
5,1,1,1,9,2,266,443,87,31,96.120049,Warzone
5,1,1,1,9,3,365,447,65,18,96.120049,#1307
5,1,1,1,10,1,174,547,49,21,13.8396,pea
5,1,1,1,10,2,254,533,106,39,0.0,=[HCU]Sir
5,1,1,1,10,3,374,537,115,21,90.924522,SmokealoT
5,1,1,1,11,1,64,555,42,26,57.368866,57
5,1,1,1,11,2,150,571,2,17,0.0,f
5,1,1,1,11,3,160,567,80,36,33.587372,ese)
5,1,1,1,11,4,266,563,88,44,83.091949,Warzone
5,1,1,1,11,5,368,576,63,18,92.916885,#1302
5,1,1,1,11,6,518,557,28,19,0.0,SO
5,1,1,1,11,7,549,557,98,22,0.0,EEE
5,1,1,1,12,1,183,671,42,24,31.186226,oe
5,1,1,1,12,2,266,667,167,25,11.576263,[V10}salmanix
5,1,1,1,12,3,510,663,141,51,0.0,SIEROBB
5,1,1,1,13,1,62,684,46,26,96.625343,58
5,1,1,1,13,2,150,656,16,65,23.173691,j
5,1,1,1,13,3,183,686,41,53,51.942825,7)
5,1,1,1,13,4,239,700,1,18,44.805428,|
5,1,1,1,13,5,270,692,84,42,91.208992,Warzone
5,1,1,1,13,6,364,705,68,19,96.401192,#1308
5,1,1,1,13,7,516,686,27,19,0.0,AG
5,1,1,1,13,8,546,687,101,22,0.0,REREEE
5,1,1,1,14,1,209,814,2,2,28.40744,;
5,1,1,1,14,2,266,796,188,26,27.468224,[CBnJonsupra90
5,1,1,1,14,3,512,794,34,50,24.994133,sO
5,1,1,1,14,4,516,814,132,26,24.994133,STEED
5,1,1,1,15,1,62,813,45,27,91.964348,59
5,1,1,1,15,2,150,829,25,34,85.078484,lA
5,1,1,1,15,3,179,810,61,51,36.168388,ot
5,1,1,1,15,4,266,825,85,38,96.498108,Warzone
5,1,1,1,15,5,363,835,64,18,96.714157,#1315
5,1,1,1,15,6,517,816,129,22,0.0,Heese
5,1,1,1,16,1,143,923,5,10,0.0,n
5,1,1,1,16,2,244,908,4,3,18.376991,‘
5,1,1,1,16,3,348,925,71,20,5.245934,Ero
5,1,1,1,17,1,147,983,26,31,41.136471,e
5,1,1,1,17,2,183,989,37,22,96.921432,Top
5,1,1,1,17,3,228,989,12,17,96.593971,8
5,1,1,1,17,4,249,988,76,23,96.18734,Players
5,1,1,1,17,5,332,988,87,18,96.161575,Advance
5,1,1,1,17,6,426,990,20,16,96.323364,to
5,1,1,1,17,7,454,988,33,18,96.641953,the
5,1,1,1,17,8,494,988,106,18,96.076927,Semi-final
