level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,0,75,144,43,52.308674,"""Ranking"
5,1,1,1,2,2,0,79,704,32,28.123413,Commander
5,1,1,1,2,3,469,75,116,43,0.0,~~—~—~—~Silil'
5,1,1,1,2,4,587,75,119,43,13.117279,Score
5,1,1,1,3,1,2,126,26,31,83.669022,@
5,1,1,1,3,2,51,171,51,42,36.300274,&
5,1,1,1,3,3,134,133,107,115,48.24329,|
5,1,1,1,3,4,258,160,213,25,4.232826,[SOFIChINWIIOZS
5,1,1,1,3,5,511,178,28,22,0.0,on
5,1,1,1,3,6,537,178,105,26,0.0,sacay
5,1,1,1,3,7,649,143,38,71,0.0,gy
5,1,1,1,4,1,172,224,32,10,43.083763,nea
5,1,1,1,4,2,258,199,90,18,96.579781,Warzone
5,1,1,1,4,3,354,199,70,18,96.565788,#1306
5,1,1,1,5,1,2,255,26,31,85.232216,@
5,1,1,1,5,2,52,300,48,43,20.242584,8
5,1,1,1,5,3,134,268,78,108,42.241356,re
5,1,1,1,5,4,254,275,169,45,15.743164,[XINN[Glory24
5,1,1,1,5,5,645,278,41,65,17.571609,aq
5,1,1,1,6,1,136,321,17,41,37.375603,sa
5,1,1,1,6,2,159,305,65,64,0.0,2:
5,1,1,1,6,3,258,328,90,19,96.377106,Warzone
5,1,1,1,6,4,354,328,64,18,96.090698,#1311
5,1,1,1,6,5,538,324,52,7,16.535034,_
5,1,1,1,7,1,2,384,26,32,49.311028,3
5,1,1,1,7,2,61,427,30,10,43.252979,ian
5,1,1,1,7,3,132,394,112,112,29.557312,iD
5,1,1,1,7,4,258,413,188,36,62.174858,[A10W]Vanquish
5,1,1,1,8,1,52,425,53,62,27.490036,3]
5,1,1,1,8,2,132,433,82,71,45.743301,Sol
5,1,1,1,8,3,217,464,24,30,56.759087,6
5,1,1,1,8,4,258,458,90,18,96.297562,Warzone
5,1,1,1,8,5,354,457,65,19,96.594551,#1312
5,1,1,1,8,6,510,433,135,54,0.0,SURESH
5,1,1,1,8,7,649,426,42,61,54.787697,wy
5,1,1,1,9,1,2,514,26,31,23.040062,e
5,1,1,1,9,2,135,545,5,11,55.623302,""""
5,1,1,1,9,3,258,548,107,25,81.715691,[sham]00
5,1,1,1,9,4,372,549,63,19,95.679901,TAKA
5,1,1,1,9,5,443,549,31,20,95.60498,00
5,1,1,1,10,1,65,566,23,26,95.746178,4
5,1,1,1,10,2,129,526,114,106,25.551613,yy
5,1,1,1,10,3,258,587,90,18,96.149605,Warzone
5,1,1,1,10,4,354,587,68,18,96.128723,#1303
5,1,1,1,11,1,2,643,26,32,49.207733,2
5,1,1,1,11,2,135,675,5,10,5.620567,""""
5,1,1,1,11,3,258,678,192,25,91.31385,[aREs]DeepShark
5,1,1,1,12,1,67,695,19,26,93.109657,5
5,1,1,1,12,2,129,651,120,114,37.574291,LJ
5,1,1,1,12,3,258,717,90,18,96.730217,Warzone
5,1,1,1,12,4,354,716,71,19,96.276352,#1304
5,1,1,1,12,5,649,686,41,59,38.414696,tr
5,1,1,1,13,1,2,773,25,31,35.868698,®
5,1,1,1,13,2,65,824,21,27,41.094025,6
5,1,1,1,13,3,129,784,114,106,10.249939,gt
5,1,1,1,13,4,258,810,83,27,47.212143,[2o0]=
5,1,1,1,13,5,357,783,76,69,4.579254,BEER
5,1,1,1,13,6,443,806,52,28,36.392586,At
5,1,1,1,14,1,130,857,14,14,66.628113,*
5,1,1,1,14,2,258,846,90,18,96.880707,Warzone
5,1,1,1,14,3,354,846,68,18,96.506386,#1301
5,1,1,1,15,1,2,902,26,31,5.211487,g
5,1,1,1,15,2,236,919,4,3,2.513542,.
5,1,1,1,16,1,66,954,20,19,78.704346,7
5,1,1,1,16,2,135,914,108,59,58.928345,a
5,1,1,1,16,3,258,936,163,26,90.699486,[FEnx]Wilhelm
5,1,1,1,16,4,427,937,40,20,95.874229,The
5,1,1,1,16,5,475,930,59,47,12.758392,DOM
5,1,1,1,16,6,557,930,75,47,15.63475,ean
5,1,1,1,16,7,649,949,37,24,33.848572,ey
5,1,1,1,17,1,139,984,26,31,41.136471,e
5,1,1,1,17,2,175,990,37,22,96.817154,Top
5,1,1,1,17,3,220,990,12,17,96.338722,8
5,1,1,1,17,4,241,989,76,23,96.338722,Players
5,1,1,1,17,5,324,989,87,18,96.161293,Advance
5,1,1,1,17,6,418,991,20,16,95.84539,to
5,1,1,1,17,7,446,989,33,18,95.84539,the
5,1,1,1,17,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,17,9,617,1018,12,1,0.0,/
