level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,0,128,58,26,19.586319,~~
5,1,1,1,3,2,145,136,47,21,24.212845,EAR
5,1,1,1,3,3,252,137,216,27,0.0,rvviim2iatengain
5,1,1,1,3,4,518,162,106,9,0.0,eanRace
5,1,1,1,3,5,647,149,29,13,44.141926,es
5,1,1,1,4,1,42,144,51,61,0.0,cS]
5,1,1,1,4,2,136,171,2,18,59.53968,i
5,1,1,1,4,3,225,171,1,18,2.484352,}
5,1,1,1,4,4,255,164,86,41,93.571609,Warzone
5,1,1,1,4,5,350,164,68,41,95.514412,#1306
5,1,1,1,4,6,507,157,173,30,39.235653,EUROS
5,1,1,1,4,7,645,153,36,52,53.418007,Yay
5,1,1,1,5,1,0,239,22,25,19.575684,7
5,1,1,1,5,2,129,245,108,61,50.645721,ter
5,1,1,1,5,3,305,266,65,29,40.055199,Ea
5,1,1,1,6,1,148,275,74,26,16.520813,Ree
5,1,1,1,6,2,245,258,57,47,55.090595,[vic]
5,1,1,1,6,3,500,285,95,17,0.0,TEARS
5,1,1,1,6,4,649,279,27,13,47.984791,eS
5,1,1,1,7,1,59,284,177,51,48.52047,"SS,"
5,1,1,1,7,2,252,306,165,18,0.0,warmemsog
5,1,1,1,7,3,448,280,25,59,18.352394,|
5,1,1,1,7,4,501,285,179,32,4.64267,PRED
5,1,1,1,7,5,649,280,36,59,0.0,Gy
5,1,1,1,8,1,0,363,22,46,44.480972,cs
5,1,1,1,8,2,129,374,108,27,6.459213,rani.
5,1,1,1,8,3,231,370,8,40,76.006439,|
5,1,1,1,9,1,61,414,19,26,95.992104,5
5,1,1,1,9,2,124,399,96,63,30.937454,et
5,1,1,1,9,3,216,443,20,15,63.220097,ye
5,1,1,1,9,4,252,435,90,18,93.128555,Warzone
5,1,1,1,9,5,348,435,71,18,93.43985,#1304
5,1,1,1,9,6,505,415,129,25,32.356773,TEER
5,1,1,1,10,1,0,493,22,30,47.727646,=
5,1,1,1,10,2,252,526,189,25,59.637383,[GLORJAKBARS2
5,1,1,1,11,1,59,543,22,27,95.877876,6
5,1,1,1,11,2,135,575,22,22,34.656029,a
5,1,1,1,11,3,176,505,51,88,0.0,*)
5,1,1,1,11,4,252,561,89,30,95.967934,Warzone
5,1,1,1,11,5,350,565,67,18,96.689766,#1302
5,1,1,1,11,6,505,534,124,57,0.0,TREVAIER
5,1,1,1,11,7,647,538,33,38,50.811001,Gy
5,1,1,1,12,1,0,623,22,47,45.374954,ct
5,1,1,1,12,2,135,638,96,22,39.862091,Par
5,1,1,1,12,3,388,654,78,28,40.216976,ents
5,1,1,1,13,1,137,661,96,29,0.0,Ewacyen
5,1,1,1,13,2,252,660,219,25,0.253311,(shamJNomi7e75
5,1,1,1,13,3,517,673,14,10,17.466591,<5
5,1,1,1,13,4,544,673,20,11,21.940292,oo
5,1,1,1,13,5,590,673,40,13,21.940292,goo
5,1,1,1,14,1,60,673,20,26,95.779976,7
5,1,1,1,14,2,140,661,94,58,44.207184,AQ:
5,1,1,1,14,3,252,682,87,40,96.504684,Warzone
5,1,1,1,14,4,351,694,65,18,96.570023,#1303
5,1,1,1,14,5,506,673,129,26,0.0,ERR
5,1,1,1,15,1,136,715,94,20,29.030907,Cae
5,1,1,1,15,2,680,740,4,3,0.0,;
5,1,1,1,16,1,0,754,22,28,35.613266,=
5,1,1,1,16,2,129,782,4,8,0.0,'
5,1,1,1,16,3,252,784,103,26,43.037563,PQKA]Méo
5,1,1,1,16,4,381,784,21,21,58.673866,Co
5,1,1,1,16,5,414,773,19,41,86.819176,Cé
5,1,1,1,16,6,476,785,12,4,76.332596,Gaii
5,1,1,1,17,1,348,790,25,15,41.946213,a0
5,1,1,1,17,2,394,790,45,15,10.096817,COCO
5,1,1,1,17,3,462,790,44,20,0.0,Gali
5,1,1,1,18,1,59,802,23,26,94.073044,8
5,1,1,1,18,2,124,758,110,114,6.930046,gf
5,1,1,1,18,3,252,814,85,38,96.577942,Warzone
5,1,1,1,18,4,349,823,67,19,96.82267,#1305
5,1,1,1,18,5,504,797,176,37,0.0,AREPIROO
5,1,1,1,18,6,645,793,39,58,44.37019,Yay
5,1,1,1,19,1,129,911,3,8,4.35807,'
5,1,1,1,19,2,248,909,221,36,53.66925,[Wip]HK852Sigma
5,1,1,1,19,3,553,932,81,14,30.103386,an
5,1,1,1,20,1,59,931,22,27,75.249557,3
5,1,1,1,20,2,124,892,113,84,0.0,3
5,1,1,1,20,3,252,953,90,18,96.028664,Warzone
5,1,1,1,20,4,348,953,68,18,96.725899,#1307
5,1,1,1,20,5,504,932,32,26,0.0,A
5,1,1,1,20,6,536,932,98,26,0.0,AERE
5,1,1,1,21,1,134,1001,25,16,67.518364,xy
5,1,1,1,21,2,169,993,37,22,96.612236,Top
5,1,1,1,21,3,214,993,12,17,96.419243,8
5,1,1,1,21,4,235,992,76,23,96.191444,Players
5,1,1,1,21,5,318,992,87,18,96.265663,Advance
5,1,1,1,21,6,412,994,20,16,97.005257,to
5,1,1,1,21,7,440,992,33,18,96.965599,the
5,1,1,1,21,8,480,992,106,18,96.513336,Semi-final
