level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,64,171,42,27,96.482605,57
5,1,1,1,3,2,147,147,8,52,31.61142,l
5,1,1,1,3,3,170,151,40,35,26.954582,ron
5,1,1,1,3,4,222,138,22,52,36.283005,al
5,1,1,1,3,5,266,154,221,26,16.431458,[ENDLJsleepytroops
5,1,1,1,3,6,511,174,27,19,14.204697,oo
5,1,1,1,3,7,547,174,42,18,22.367493,an
5,1,1,1,3,8,599,174,48,19,47.664032,aay
5,1,1,1,4,1,147,187,81,25,0.0,"weae,)"
5,1,1,1,4,2,266,182,90,40,96.004349,Warzone
5,1,1,1,4,3,366,192,64,19,96.28891,#1305
5,1,1,1,4,4,542,188,54,8,2.090591,"ue,"
5,1,1,1,5,1,143,280,5,11,14.356728,","
5,1,1,1,5,2,244,266,4,3,0.0,.
5,1,1,1,6,1,266,288,51,25,0.0,(ZO
5,1,1,1,6,2,337,282,136,31,0.0,RRB
5,1,1,1,6,3,518,278,76,53,0.0,onsen
5,1,1,1,6,4,602,278,47,53,0.0,can
5,1,1,1,7,1,62,300,46,27,96.496796,58
5,1,1,1,7,2,137,257,119,113,34.141396,ys)
5,1,1,1,7,3,266,322,90,18,96.285576,Warzone
5,1,1,1,7,4,362,322,68,18,96.216698,#1301
5,1,1,1,7,5,518,303,78,22,19.8134,Te
5,1,1,1,8,1,164,412,63,31,16.140099,Fe
5,1,1,1,8,2,266,413,186,26,0.0,[DACJManga044
5,1,1,1,9,1,62,430,45,26,49.433613,59
5,1,1,1,9,2,178,442,62,22,21.047356,AE
5,1,1,1,9,3,266,452,90,18,11.376587,warone
5,1,1,1,9,4,362,451,66,19,84.301895,#1210
5,1,1,1,9,5,520,431,76,25,9.149124,ROSSI
5,1,1,1,9,6,608,431,40,25,0.0,BE
5,1,1,1,10,1,266,540,199,32,20.970238,[TOAK]BOGIAUSO
5,1,1,1,11,1,61,559,46,27,89.875473,60
5,1,1,1,11,2,145,521,100,105,0.0,|
5,1,1,1,11,3,266,581,90,18,96.538841,Warzone
5,1,1,1,11,4,362,581,68,18,96.013725,#1301
5,1,1,1,11,5,533,562,114,22,21.102356,DEES
5,1,1,1,12,1,143,669,5,10,19.743423,.
5,1,1,1,12,2,244,654,4,3,0.0,.
5,1,1,1,13,1,66,688,36,27,96.234863,61
5,1,1,1,13,2,137,645,120,114,0.529984,ee
5,1,1,1,13,3,266,710,90,18,95.856247,Warzone
5,1,1,1,13,4,362,710,64,18,95.489624,#1311
5,1,1,1,13,5,516,691,132,22,24.008919,ARES
5,1,1,1,14,1,144,779,83,28,20.017616,GRR
5,1,1,1,14,2,266,801,132,25,17.520874,wusjernte
5,1,1,1,15,1,152,807,79,20,32.07563,aS
5,1,1,1,16,1,151,823,15,16,33.528008,17
5,1,1,1,16,2,522,821,12,18,0.0,HOE
5,1,1,1,16,3,553,819,95,26,0.0,374241
5,1,1,1,16,4,631,815,21,34,57.880741,0)
5,1,1,1,17,1,62,818,45,27,56.728233,G2
5,1,1,1,17,2,163,822,80,44,11.602417,BSE
5,1,1,1,17,3,266,840,90,18,13.370674,warzone
5,1,1,1,17,4,362,840,64,18,91.93309,#1313
5,1,1,1,17,5,537,821,109,19,25.270721,nana
5,1,1,1,18,1,151,864,38,6,32.23558,ve
5,1,1,1,18,2,203,866,37,11,11.731941,ote
5,1,1,1,19,1,151,915,13,29,0.0,;
5,1,1,1,19,2,177,915,35,29,49.500156,om
5,1,1,1,19,3,228,915,10,29,69.825027,7
5,1,1,1,19,4,299,930,4,5,48.925518,.
5,1,1,1,20,1,157,938,69,14,12.464844,cee
5,1,1,1,20,2,274,931,51,19,41.788288,[Prim
5,1,1,1,20,3,394,931,26,19,65.268837,11:
5,1,1,1,21,1,62,947,45,25,90.963806,62
5,1,1,1,21,2,266,930,182,42,0.0,[Primbordy2193
5,1,1,1,21,3,515,950,28,19,0.0,sy
5,1,1,1,21,4,551,950,97,19,0.0,geR904
5,1,1,1,22,1,147,983,26,31,41.136471,e
5,1,1,1,22,2,183,989,37,22,96.921432,Top
5,1,1,1,22,3,228,989,12,17,96.593971,8
5,1,1,1,22,4,249,988,76,23,96.18734,Players
5,1,1,1,22,5,332,988,87,18,96.161575,Advance
5,1,1,1,22,6,426,990,20,16,96.323364,to
5,1,1,1,22,7,454,988,33,18,96.641953,the
5,1,1,1,22,8,494,988,106,18,96.076927,Semi-final
