level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,145,124,100,23,20.225555,7
5,1,1,1,3,2,694,148,5,3,17.879257,:
5,1,1,1,4,1,155,182,24,46,82.125168,a
5,1,1,1,4,2,198,178,18,45,45.13084,kd
5,1,1,1,4,3,266,189,182,34,26.130058,[BTWIAETHERIS
5,1,1,1,5,1,169,226,8,3,0.0,z
5,1,1,1,6,1,62,210,45,26,95.503593,47
5,1,1,1,6,2,150,226,26,18,61.615204,iy
5,1,1,1,6,3,239,226,1,18,22.763718,]
5,1,1,1,6,4,267,222,85,39,94.744728,Warzone
5,1,1,1,6,5,365,232,66,18,96.30883,#1302
5,1,1,1,6,6,531,213,115,19,40.564842,EID
5,1,1,1,7,1,141,315,1,3,0.0,:
5,1,1,1,7,2,235,293,13,34,0.0,is
5,1,1,1,7,3,349,322,51,28,59.523388,he
5,1,1,1,8,1,266,327,105,25,0.0,[ENDL]/J\as
5,1,1,1,8,2,407,328,61,20,94.880798,Snow
5,1,1,1,9,1,60,339,48,27,95.689392,48
5,1,1,1,9,2,227,373,19,18,12.428276,"p>,"
5,1,1,1,9,3,266,353,87,42,72.710022,Warzone
5,1,1,1,9,4,366,361,64,18,96.442184,#1305
5,1,1,1,9,5,516,342,130,22,0.0,OES
5,1,1,1,10,1,143,438,87,22,46.167229,rey
5,1,1,1,10,2,451,452,9,9,36.321899,"g,"
5,1,1,1,11,1,60,469,48,26,95.771912,49
5,1,1,1,11,2,155,452,12,54,48.693329,}
5,1,1,1,11,3,266,456,180,26,53.503105,[anda]stalloneD
5,1,1,1,11,4,455,446,28,40,39.08131,Sz
5,1,1,1,12,1,138,501,105,18,0.0,entey
5,1,1,1,12,2,266,486,87,37,59.02021,Warzone
5,1,1,1,12,3,365,490,65,19,95.841331,#1303
5,1,1,1,13,1,152,519,80,12,13.398445,ory
5,1,1,1,14,1,62,598,45,27,94.544243,50
5,1,1,1,14,2,147,574,14,53,65.317368,i
5,1,1,1,14,3,188,565,56,46,23.014214,PAG)
5,1,1,1,14,4,266,579,115,33,20.021751,wvieivén
5,1,1,1,14,5,389,587,31,25,76.63504,my
5,1,1,1,14,6,518,601,64,19,3.022675,TOE
5,1,1,1,14,7,604,582,48,47,0.0,S96)
5,1,1,1,15,1,147,635,2,4,32.466629,‘
5,1,1,1,15,2,166,592,76,68,7.309296,"we,"
5,1,1,1,15,3,266,612,86,37,96.04351,Warzone
5,1,1,1,15,4,363,620,67,18,96.545891,#1307
5,1,1,1,15,5,549,616,3,7,33.470848,”
5,1,1,1,16,1,157,723,4,15,75.033165,f
5,1,1,1,16,2,169,690,72,83,0.0,r
5,1,1,1,16,3,266,711,210,25,0.0,[KORAJObINBANKIE
5,1,1,1,16,4,514,695,27,63,13.732536,9
5,1,1,1,16,5,513,729,136,25,17.326782,ara
5,1,1,1,17,1,67,728,35,26,95.032204,51
5,1,1,1,17,2,146,689,94,89,38.994392,Ls
5,1,1,1,17,3,266,750,90,18,96.485428,Warzone
5,1,1,1,17,4,362,749,65,18,96.706627,#1312
5,1,1,1,17,5,515,730,133,22,14.142189,AEBS
5,1,1,1,18,1,143,837,5,10,41.065758,","
5,1,1,1,18,2,244,823,4,3,0.0,i
5,1,1,1,19,1,266,840,112,26,62.477436,[VVip]Hen
5,1,1,1,19,2,385,841,42,20,92.858673,Vou
5,1,1,1,20,1,63,857,43,27,90.79808,52
5,1,1,1,20,2,137,813,120,114,32.964394,Ly!
5,1,1,1,20,3,266,879,90,18,96.254601,Warzone
5,1,1,1,20,4,362,879,68,18,96.254601,#1307
5,1,1,1,20,5,532,860,114,19,3.828873,Dea
5,1,1,1,21,1,143,947,108,25,22.087189,eet
5,1,1,1,21,2,327,969,128,3,4.610817,eee
5,1,1,1,22,1,147,983,26,31,41.136471,e
5,1,1,1,22,2,183,989,37,22,96.921432,Top
5,1,1,1,22,3,228,989,12,17,96.593971,8
5,1,1,1,22,4,249,988,76,23,96.18734,Players
5,1,1,1,22,5,332,988,87,18,96.161575,Advance
5,1,1,1,22,6,426,990,20,16,96.323364,to
5,1,1,1,22,7,454,988,33,18,96.641953,the
5,1,1,1,22,8,494,988,106,18,96.076927,Semi-final
