level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,174,175,57,19,35.94783,"Ca,"
5,1,1,1,3,2,266,173,206,26,49.878239,[AN2F]mattyamilk
5,1,1,1,3,3,511,169,83,52,36.048996,TER
5,1,1,1,3,4,597,169,53,52,40.247841,AAG
5,1,1,1,4,1,61,190,46,27,90.775337,60
5,1,1,1,4,2,147,172,8,60,14.144196,|
5,1,1,1,4,3,266,195,88,46,95.407799,Warzone
5,1,1,1,4,4,365,212,63,18,78.510849,#1346
5,1,1,1,4,5,517,193,129,22,29.012924,SETAE
5,1,1,1,5,1,147,298,84,31,38.706669,Bx?
5,1,1,1,5,2,209,293,41,40,21.09993,am
5,1,1,1,5,3,266,303,158,25,22.484863,[VNHRIGIAHY
5,1,1,1,6,1,66,320,36,26,92.813896,61
5,1,1,1,6,2,162,333,81,35,9.49321,yg)
5,1,1,1,6,3,266,329,90,43,80.73584,Warzone
5,1,1,1,6,4,365,341,65,19,96.447136,#1305
5,1,1,1,6,5,529,323,64,19,38.74033,ai
5,1,1,1,7,1,151,367,89,12,6.996338,Te
5,1,1,1,8,1,266,437,59,25,28.367653,[200]
5,1,1,1,8,2,358,427,55,43,0.0,BRFT
5,1,1,1,8,3,430,433,30,26,28.775528,eu
5,1,1,1,9,1,183,453,24,14,50.062363,ee
5,1,1,1,9,2,510,450,139,26,25.732872,HON
5,1,1,1,9,3,562,446,11,38,25.732872,0
5,1,1,1,9,4,582,450,67,26,2.633865,614.06)
5,1,1,1,10,1,62,449,45,27,14.876518,62
5,1,1,1,10,2,215,465,25,34,22.175285,cal
5,1,1,1,10,3,267,461,88,42,87.156693,Warzone
5,1,1,1,10,4,365,471,65,18,88.692795,#1301
5,1,1,1,10,5,512,452,135,22,4.941925,AEE
5,1,1,1,11,1,266,558,76,33,0.0,[TOAK]
5,1,1,1,11,2,344,558,79,33,0.0,Missile
5,1,1,1,11,3,435,562,62,25,96.746277,Squad
5,1,1,1,12,1,62,579,45,26,96.794411,63
5,1,1,1,12,2,141,537,103,112,57.222599,ES
5,1,1,1,12,3,266,593,87,35,95.57563,Warzone
5,1,1,1,12,4,364,600,66,19,96.705368,#1301
5,1,1,1,12,5,512,581,64,22,7.382629,ABA
5,1,1,1,12,6,597,581,51,22,7.382629,AWS
5,1,1,1,13,1,143,674,105,29,24.937759,hes
5,1,1,1,14,1,63,837,42,6,10.182312,-—
5,1,1,1,14,2,145,800,100,43,54.620785,|
5,1,1,1,14,3,266,825,142,18,37.089928,IGLOWNGlow
5,1,1,1,14,4,416,819,57,24,42.552509,4+
5,1,1,1,14,5,481,826,115,17,0.264526,Larre.
5,1,1,1,14,6,603,838,46,5,33.394531,——~
5,1,1,1,15,1,152,880,20,45,50.054848,i$
5,1,1,1,15,2,198,904,6,4,10.077454,3
5,1,1,1,15,3,222,880,33,43,28.228653,qi)
5,1,1,1,15,4,265,887,205,26,56.100891,[HxC]AnnoyingCat
5,1,1,1,16,1,156,919,5,6,31.022781,E
5,1,1,1,16,2,227,920,1,4,13.065178,","
5,1,1,1,17,1,52,904,63,27,96.619453,105
5,1,1,1,17,2,213,889,31,75,66.93689,‘4
5,1,1,1,17,3,266,909,87,47,96.436409,Warzone
5,1,1,1,17,4,363,909,68,47,96.209457,#1309
5,1,1,1,17,5,560,907,86,19,17.588539,TOI
5,1,1,1,18,1,147,983,26,31,41.136471,e
5,1,1,1,18,2,183,989,37,22,96.921432,Top
5,1,1,1,18,3,228,989,12,17,96.593971,8
5,1,1,1,18,4,249,988,76,23,96.18734,Players
5,1,1,1,18,5,332,988,87,18,96.161575,Advance
5,1,1,1,18,6,426,990,20,16,96.323364,to
5,1,1,1,18,7,454,988,33,18,96.641953,the
5,1,1,1,18,8,494,988,106,18,96.076927,Semi-final
