level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,57.448711,8
5,1,1,1,3,2,133,134,107,113,38.748035,i
5,1,1,1,3,3,258,160,137,25,86.704865,[KORa]LAVS
5,1,1,1,4,1,52,171,49,15,47.523876,"ce,"
5,1,1,1,4,2,138,163,100,16,43.930168,Vay
5,1,1,1,4,3,316,165,12,15,77.821594,al
5,1,1,1,5,1,51,170,51,42,6.563751,G
5,1,1,1,5,2,137,180,99,53,23.399307,yee
5,1,1,1,5,3,258,199,90,18,96.838173,Warzone
5,1,1,1,5,4,354,198,65,19,96.790184,#1312
5,1,1,1,5,5,515,168,119,59,17.980606,TEER
5,1,1,1,5,6,653,168,33,59,40.318672,Oy
5,1,1,1,6,1,2,255,26,31,52.511017,8
5,1,1,1,6,2,134,266,94,110,63.432678,[>
5,1,1,1,6,3,236,272,6,104,18.254242,}
5,1,1,1,6,4,258,289,147,26,89.433762,[FIND]Master
5,1,1,1,6,5,412,290,61,20,96.720085,Bruce
5,1,1,1,6,6,480,289,19,21,93.678047,le
5,1,1,1,7,1,48,296,57,62,52.26759,Ke]
5,1,1,1,7,2,141,339,9,15,7.707352,es
5,1,1,1,7,3,258,328,90,18,96.754028,Warzone
5,1,1,1,7,4,354,328,68,18,96.019943,#1303
5,1,1,1,7,5,496,290,142,68,0.0,Tmaenens
5,1,1,1,7,6,654,290,32,68,15.972641,gy
5,1,1,1,8,1,2,384,26,32,3.989708,©
5,1,1,1,8,2,146,380,88,80,27.139961,BET
5,1,1,1,8,3,258,417,197,32,0.0,wuasusy
5,1,1,1,9,1,52,429,48,44,47.156239,3
5,1,1,1,9,2,128,392,120,114,29.078018,KI
5,1,1,1,9,3,258,457,90,19,96.800407,Warzone
5,1,1,1,9,4,354,457,71,19,96.67601,#1304
5,1,1,1,9,5,507,426,125,60,15.59317,Ines
5,1,1,1,9,6,652,426,34,60,34.186699,fy
5,1,1,1,10,1,2,514,26,31,23.150475,g
5,1,1,1,10,2,184,531,56,5,16.114502,Pree
5,1,1,1,11,1,135,542,72,36,26.56739,"""BESS"
5,1,1,1,11,2,258,548,162,25,0.0,[Twes]Tal
5,1,1,1,11,3,382,538,42,45,66.389771,JEN
5,1,1,1,11,4,557,573,2,8,40.930706,.
5,1,1,1,12,1,65,565,23,26,91.704369,4
5,1,1,1,12,2,258,587,90,18,96.254601,Warzone
5,1,1,1,12,3,354,587,68,18,96.254601,#1307
5,1,1,1,12,4,649,556,41,59,40.796452,oY
5,1,1,1,13,1,2,643,26,31,35.4506,e
5,1,1,1,13,2,138,653,100,27,23.747185,mie
5,1,1,1,13,3,258,678,103,29,2.138634,[ENDL]
5,1,1,1,13,4,397,676,15,28,82.893326,E
5,1,1,1,14,1,414,688,26,20,70.890831,33
5,1,1,1,15,1,67,695,19,26,95.665909,5
5,1,1,1,15,2,137,671,79,85,67.16626,les
5,1,1,1,15,3,232,674,7,83,80.289589,|
5,1,1,1,15,4,258,708,86,36,95.768982,Warzone
5,1,1,1,15,5,356,716,66,18,96.362976,#1305
5,1,1,1,15,6,513,697,122,22,8.190063,TEABLIOS
5,1,1,1,15,7,654,686,34,58,36.622269,Oy
5,1,1,1,16,1,2,772,26,32,0.0,2
5,1,1,1,16,2,374,807,48,4,16.893929,mm
5,1,1,1,16,3,686,762,5,3,39.341049,|
5,1,1,1,17,1,65,803,26,45,32.017456,Pt
5,1,1,1,17,2,258,807,132,25,46.682144,[B3ar]Manic
5,1,1,1,17,3,398,808,62,19,95.889618,Miner
5,1,1,1,17,4,506,803,83,45,8.110504,IER
5,1,1,1,17,5,592,803,42,45,8.110504,SOR
5,1,1,1,17,6,649,819,37,25,0.0,<Y
5,1,1,1,18,1,148,905,2,7,51.558475,@
5,1,1,1,18,2,190,905,6,4,26.359268,:
5,1,1,1,18,3,257,884,205,35,1.203453,{HxCjAnnoyingCat
5,1,1,1,18,4,606,915,1,3,0.0,;
5,1,1,1,19,1,44,905,63,27,96.528641,105
5,1,1,1,19,2,139,885,25,61,63.271706,Is
5,1,1,1,19,3,203,885,33,80,69.315514,4
5,1,1,1,19,4,258,927,90,18,96.831627,Warzone
5,1,1,1,19,5,354,926,69,19,92.342628,#1309
5,1,1,1,20,1,139,984,26,31,41.136471,e
5,1,1,1,20,2,175,990,37,22,96.817154,Top
5,1,1,1,20,3,220,990,12,17,96.338722,8
5,1,1,1,20,4,241,989,76,23,96.338722,Players
5,1,1,1,20,5,324,989,87,18,96.161293,Advance
5,1,1,1,20,6,418,991,20,16,95.84539,to
5,1,1,1,20,7,446,989,33,18,95.84539,the
5,1,1,1,20,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,20,9,617,1018,12,1,0.0,/
