level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.876602,Seeded
5,1,1,1,1,3,171,30,65,24,96.987259,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,137,124,111,29,46.97863,—_
5,1,1,1,3,2,694,154,5,3,0.0,;
5,1,1,1,4,1,262,200,152,34,11.792679,[BOOE]tengri
5,1,1,1,4,2,509,199,140,48,5.621246,WARSOO
5,1,1,1,5,1,60,216,48,27,96.351234,49
5,1,1,1,5,2,150,188,90,79,56.698746,(-)
5,1,1,1,5,3,266,238,90,18,96.689575,Warzone
5,1,1,1,5,4,362,238,64,18,95.906097,#1313
5,1,1,1,5,5,515,219,77,22,0.0,TE
5,1,1,1,5,6,602,219,44,22,0.0,EOD
5,1,1,1,6,1,161,327,58,17,0.0,3°:¥9
5,1,1,1,6,2,266,328,136,26,70.81176,[sham]LORD
5,1,1,1,6,3,410,330,66,19,96.961243,SHAM
5,1,1,1,7,1,62,345,45,27,82.823959,50
5,1,1,1,7,2,150,317,60,79,35.734955,ee
5,1,1,1,7,3,198,317,42,79,36.65007,a)
5,1,1,1,7,4,266,367,90,18,95.494232,Warzone
5,1,1,1,7,5,362,367,68,18,96.888672,#1303
5,1,1,1,7,6,514,346,79,26,29.514069,ARTO
5,1,1,1,7,7,598,346,51,26,31.156937,SINS
5,1,1,1,8,1,156,453,21,40,70.126373,x
5,1,1,1,8,2,180,447,35,45,0.0,yé
5,1,1,1,8,3,215,447,17,48,9.243546,f
5,1,1,1,8,4,266,458,127,25,59.536911,[SOFJenB6
5,1,1,1,9,1,67,475,35,27,65.608734,51
5,1,1,1,9,2,176,489,64,29,0.0,fmeta)
5,1,1,1,9,3,266,497,90,18,94.340767,Warzone
5,1,1,1,9,4,362,497,70,18,96.323265,#1306
5,1,1,1,9,5,513,476,134,26,26.946228,ANATOLE
5,1,1,1,10,1,143,584,43,11,20.196404,Heeger
5,1,1,1,10,2,195,582,26,14,25.002266,as
5,1,1,1,10,3,244,570,4,3,60.650715,‘
5,1,1,1,10,4,380,577,9,25,0.0,"°,"
5,1,1,1,10,5,424,590,4,5,55.344727,.
5,1,1,1,11,1,158,598,38,21,0.0,Mo’
5,1,1,1,11,2,210,586,28,42,0.0,8g
5,1,1,1,11,3,266,590,97,25,41.00119, [TWFS]o
5,1,1,1,11,4,370,590,86,21,75.380371,kitarika
5,1,1,1,11,5,463,594,17,17,28.929199,o
5,1,1,1,12,1,63,604,43,27,73.99704,52
5,1,1,1,12,2,138,565,113,104,26.825455,Ba)
5,1,1,1,12,3,266,626,90,18,94.459801,Warzone
5,1,1,1,12,4,362,626,68,18,96.63224,#1307
5,1,1,1,12,5,517,607,35,22,0.0,TO
5,1,1,1,12,6,573,601,80,56,0.0,wEES
5,1,1,1,13,1,139,710,9,25,32.683327,Le
5,1,1,1,13,2,155,703,48,28,26.786713,nee
5,1,1,1,13,3,244,699,9,6,37.810768,‘
5,1,1,1,14,1,172,729,34,19,27.08725,ca.
5,1,1,1,14,2,262,712,60,42,0.0,[Twe
5,1,1,1,14,3,328,716,79,30,0.0,Sls
5,1,1,1,14,4,447,716,49,28,50.151482,AR
5,1,1,1,15,1,63,734,43,26,45.827827,53
5,1,1,1,15,2,138,742,86,39,30.415077,AR.
5,1,1,1,15,3,266,756,90,18,41.726456,warcone
5,1,1,1,15,4,362,755,68,19,89.755707,#1307
5,1,1,1,15,5,522,736,126,22,34.035057,OE
5,1,1,1,16,1,154,823,97,20,25.840401,oy
5,1,1,1,17,1,152,880,20,45,50.054848,i$
5,1,1,1,17,2,198,904,6,4,10.077454,3
5,1,1,1,17,3,211,884,26,35,28.228653,qi)
5,1,1,1,17,4,265,887,205,26,56.100891,[HxC]AnnoyingCat
5,1,1,1,17,5,614,914,1,3,22.369698,.
5,1,1,1,18,1,52,904,63,27,87.980927,105
5,1,1,1,18,2,147,885,14,60,8.09256,;
5,1,1,1,18,3,213,936,2,4,0.0,.
5,1,1,1,18,4,225,889,19,75,0.0,j
5,1,1,1,18,5,266,926,90,18,96.175873,Warzone
5,1,1,1,18,6,362,925,69,19,84.920105,#1309
5,1,1,1,18,7,525,905,123,26,10.496094,CUED
5,1,1,1,19,1,147,983,26,31,41.136471,e
5,1,1,1,19,2,183,989,37,22,96.921432,Top
5,1,1,1,19,3,228,989,12,17,96.593971,8
5,1,1,1,19,4,249,988,76,23,96.18734,Players
5,1,1,1,19,5,332,988,87,18,96.161575,Advance
5,1,1,1,19,6,426,990,20,16,96.323364,to
5,1,1,1,19,7,454,988,33,18,96.641953,the
5,1,1,1,19,8,494,988,106,18,96.076927,Semi-final
