level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,0,77,137,43,0.0,Ranking
5,1,1,1,2,2,0,82,698,32,6.284645,Commander
5,1,1,1,2,3,444,77,133,43,0.0,~—~—~SIN'
5,1,1,1,2,4,580,77,123,43,34.222939,Score.
5,1,1,1,3,1,0,218,22,28,61.103359,=
5,1,1,1,3,2,252,249,166,25,78.203659,[AN2F]5499SE
5,1,1,1,3,3,531,267,45,5,25.647072,aa
5,1,1,1,3,4,604,267,10,5,51.947708,ee
5,1,1,1,4,1,59,266,23,26,44.142879,4
5,1,1,1,4,2,127,224,103,112,65.214325,Ed
5,1,1,1,4,3,252,272,87,47,96.357262,Warzone
5,1,1,1,4,4,349,288,65,18,96.25032,#1316
5,1,1,1,4,5,497,261,183,37,30.99144,RAB
5,1,1,1,4,6,650,257,32,61,44.770092,Oy
5,1,1,1,5,1,0,341,26,43,23.317146,=)
5,1,1,1,5,2,61,396,19,26,75.825523,5
5,1,1,1,5,3,131,357,100,105,53.84481,=
5,1,1,1,5,4,248,364,219,44,69.025055,[VNALJenkey1002
5,1,1,1,5,5,501,367,138,59,0.0,sepaneaA
5,1,1,1,6,1,252,412,84,33,95.497246,Warzone
5,1,1,1,6,2,349,417,67,18,95.497246,#1307
5,1,1,1,6,3,534,416,67,6,20.201675,———
5,1,1,2,1,1,0,461,22,62,17.533859,si
5,1,1,2,1,2,131,483,101,27,5.099953,ee
5,1,1,2,1,3,377,508,66,10,22.800301,—
5,1,1,3,1,1,0,603,26,39,20.525383,=]
5,1,1,3,1,2,60,654,20,26,58.465485,7
5,1,1,3,1,3,124,615,113,105,49.863457,4
5,1,1,3,1,4,252,626,156,40,84.202026,[KORa]SaDam
5,1,1,3,1,5,498,628,81,57,0.0,IRERE
5,1,1,3,1,6,588,655,43,22,0.0,OIE
5,1,1,3,1,7,649,649,27,13,0.0,¥y
5,1,1,3,2,1,124,697,28,6,20.184296,2
5,1,1,3,2,2,252,658,90,49,86.21254,Warzone
5,1,1,3,2,3,350,676,63,18,94.683472,#1312
5,1,1,3,2,4,560,668,52,13,14.777336,RSI
5,1,1,3,2,5,624,661,56,26,60.259975,Na
5,1,1,3,3,1,142,877,79,28,31.630875,aan
5,1,1,3,3,2,328,896,5,4,0.0,:
5,1,1,3,4,1,130,963,28,56,35.557243,wwe
5,1,1,3,4,2,172,963,38,56,72.998116,Ton
5,1,1,3,4,3,214,993,12,17,96.786476,8
5,1,1,3,4,4,235,992,76,23,95.470619,Players
5,1,1,3,4,5,318,992,87,18,96.328285,Advance
5,1,1,3,4,6,412,994,20,16,96.99942,to
5,1,1,3,4,7,440,992,33,18,96.996376,the
5,1,1,3,4,8,480,992,106,18,96.381638,Semi-final
