level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,68.724228,8
5,1,1,1,3,2,134,157,5,11,71.629272,","
5,1,1,1,3,3,258,160,129,25,77.714905,[IXONJSING
5,1,1,1,3,4,395,161,67,20,92.194427,MBAU
5,1,1,1,3,5,471,161,28,19,56.46505,REI
5,1,1,1,4,1,62,171,30,4,49.285275,oe
5,1,1,1,4,2,537,165,5,11,82.351944,J
5,1,1,1,5,1,51,167,51,60,51.945873,GY
5,1,1,1,5,2,258,199,90,18,96.087929,Warzone
5,1,1,1,5,3,354,199,64,18,96.672318,#1311
5,1,1,1,5,4,649,168,41,59,30.933174,or
5,1,1,1,6,1,2,255,26,31,42.204384,Q
5,1,1,1,6,2,185,267,55,20,27.654282,Ahly
5,1,1,1,7,1,52,300,48,43,0.876328,BQ
5,1,1,1,7,2,134,286,93,44,32.895004,"“Chg,"
5,1,1,1,7,3,265,294,67,25,0.0,MUse
5,1,1,1,7,4,405,294,133,34,16.852257,"BM,"
5,1,1,1,7,5,545,309,42,19,22.392838,cp
5,1,1,1,7,6,595,309,43,19,0.0,oce
5,1,1,1,7,7,649,301,37,38,6.951309,ry]
5,1,1,1,8,1,129,326,96,50,38.526512,ee
5,1,1,1,8,2,225,333,18,43,0.0,y
5,1,1,1,8,3,258,328,90,18,96.773079,Warzone
5,1,1,1,8,4,354,328,68,19,96.643211,#1307
5,1,1,1,8,5,539,324,54,7,37.320412,ed
5,1,1,1,9,1,2,384,26,32,51.753708,8
5,1,1,1,9,2,137,399,19,7,38.771854,i
5,1,1,1,9,3,174,394,27,27,12.855942,©
5,1,1,1,9,4,219,399,19,7,33.333923,1
5,1,1,1,9,5,258,419,100,25,42.180729,[aREs]¥Vo
5,1,1,1,9,6,365,419,61,20,89.172394,Uncle
5,1,1,1,10,1,52,429,48,44,59.523548,&
5,1,1,1,10,2,137,412,4,85,96.121071,|
5,1,1,1,10,3,218,415,19,83,92.309166,|
5,1,1,1,10,4,258,458,90,18,96.765442,Warzone
5,1,1,1,10,5,354,457,71,19,96.853424,#1304
5,1,1,1,10,6,507,438,131,25,0.0,TDOGED
5,1,1,1,10,7,649,430,37,38,44.311485,Gy
5,1,1,1,11,1,2,514,26,31,48.624672,8
5,1,1,1,11,2,258,537,166,40,84.864914,[AN2F]5499SE
5,1,1,1,12,1,65,565,23,27,96.045601,4
5,1,1,1,12,2,258,587,90,18,96.290176,Warzone
5,1,1,1,12,3,354,587,66,18,96.248749,#1316
5,1,1,1,12,4,505,568,133,24,0.0,YTD
5,1,1,1,12,5,649,556,41,59,41.955582,bY
5,1,1,1,13,1,2,643,26,31,60.37793,8
5,1,1,1,13,2,258,677,215,26,55.568653,[VNALJenkey1002
5,1,1,1,14,1,344,683,67,20,47.778553,ome
5,1,1,1,15,1,67,695,19,26,95.334747,5
5,1,1,1,15,2,133,653,103,112,19.137314,bo
5,1,1,1,15,3,258,716,90,18,96.24971,Warzone
5,1,1,1,15,4,354,716,68,18,96.651733,#1307
5,1,1,1,15,5,513,697,127,22,33.012299,EY
5,1,1,1,16,1,2,772,26,32,40.474487,2
5,1,1,1,16,2,137,782,101,25,30.257278,——
5,1,1,1,16,3,686,762,5,3,0.0,:
5,1,1,1,17,1,159,806,68,58,23.547226,iy
5,1,1,1,17,2,258,808,109,29,28.039101,[Waku
5,1,1,1,17,3,373,807,53,27,0.0,lS
5,1,1,1,17,4,431,808,20,26,0.0,S
5,1,1,1,18,1,65,824,22,27,86.522247,6
5,1,1,1,18,2,137,800,46,85,7.895576,he
5,1,1,1,18,3,188,840,35,31,0.0,4]|
5,1,1,1,18,4,258,846,90,18,95.800163,Warzone
5,1,1,1,18,5,354,846,68,18,96.305626,#1303
5,1,1,1,18,6,536,827,103,22,8.944397,ABBAS
5,1,1,1,18,7,649,819,37,38,57.634369,Gy
5,1,1,1,19,1,2,902,26,31,0.0,"~,"
5,1,1,1,20,1,66,954,20,19,68.231071,7
5,1,1,1,20,2,147,950,80,13,48.619579,"""am:"
5,1,1,1,20,3,258,936,156,25,37.644268,[KORa]SaDam
5,1,1,1,20,4,508,954,132,19,0.0,SREBARRA
5,1,1,1,21,1,139,984,26,31,41.136471,e
5,1,1,1,21,2,175,990,37,22,96.817154,Top
5,1,1,1,21,3,220,990,12,17,96.338722,8
5,1,1,1,21,4,241,989,76,23,96.338722,Players
5,1,1,1,21,5,324,989,87,18,96.161293,Advance
5,1,1,1,21,6,418,991,20,16,95.84539,to
5,1,1,1,21,7,446,989,33,18,95.84539,the
5,1,1,1,21,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,21,9,617,1018,12,1,0.0,/
