level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,63,124,43,25,66.115829,52
5,1,1,1,3,2,141,120,104,73,30.256485,LA
5,1,1,1,3,3,266,140,87,32,95.927551,Warzone
5,1,1,1,3,4,366,144,64,18,95.927551,#1301
5,1,1,1,3,5,537,125,110,19,25.369896,peas
5,1,1,1,4,1,266,234,178,26,52.775505,[Vvip]Yozinwoo
5,1,1,1,5,1,63,251,43,27,96.76136,53
5,1,1,1,5,2,145,210,99,112,28.688766,ES
5,1,1,1,5,3,266,273,90,18,96.101143,Warzone
5,1,1,1,5,4,362,273,68,18,96.882439,#1307
5,1,1,1,5,5,518,254,81,24,34.964714,"EE,"
5,1,1,1,6,1,143,350,90,21,38.26387,ee
5,1,1,1,7,1,159,370,75,25,38.977055,ee
5,1,1,1,7,2,266,363,196,31,1.474564,(TWSIRA
5,1,1,1,7,3,415,358,52,48,48.133968,BH
5,1,1,1,7,4,518,384,129,18,4.503319,coca
5,1,1,1,8,1,62,381,46,26,96.111565,54
5,1,1,1,8,2,138,397,105,33,25.618156,"Aas,"
5,1,1,1,8,3,266,403,90,18,84.995491,Warzone
5,1,1,1,8,4,362,402,68,19,94.711525,#1307
5,1,1,1,8,5,533,384,83,22,20.540062,nace
5,1,1,1,9,1,152,431,80,12,28.720276,rN
5,1,1,1,10,1,140,474,109,15,74.475464,EA
5,1,1,1,10,2,454,492,50,29,46.463032,nie
5,1,1,1,11,1,266,497,128,27,65.681992,PXINN]Tiing
5,1,1,1,11,2,402,497,38,27,91.575233,Hip
5,1,1,1,11,3,447,499,28,15,9.94957,/J*:
5,1,1,1,12,1,63,511,43,26,95.782532,55
5,1,1,1,12,2,227,544,19,18,22.336693,">,"
5,1,1,1,12,3,268,524,85,42,92.599182,Warzone
5,1,1,1,12,4,366,532,60,18,92.599182,#1311
5,1,1,1,12,5,516,513,132,22,0.0,eysstyast
5,1,1,1,13,1,143,620,5,10,0.0,r
5,1,1,1,13,2,244,605,9,6,27.928421,‘
5,1,1,1,13,3,376,623,5,4,0.0,.
5,1,1,1,14,1,266,623,149,26,51.286926,[DWs]cokilay
5,1,1,1,15,1,62,640,45,26,96.855843,56
5,1,1,1,15,2,137,596,120,114,48.857464,as)
5,1,1,1,15,3,266,662,90,18,96.72216,Warzone
5,1,1,1,15,4,362,661,68,19,96.198837,#1301
5,1,1,1,15,5,518,642,128,22,0.0,Wee
5,1,1,1,16,1,158,745,67,25,3.490227,Wie
5,1,1,1,16,2,266,747,113,30,51.508293,[aREsjAna
5,1,1,1,17,1,64,769,42,27,92.960129,57
5,1,1,1,17,2,150,785,2,18,47.086807,|
5,1,1,1,17,3,219,785,21,18,45.266975,a)
5,1,1,1,17,4,266,791,90,18,92.668221,Warzone
5,1,1,1,17,5,362,791,71,18,95.906723,#1304
5,1,1,1,17,6,529,772,63,19,15.369965,DE
5,1,1,1,17,7,601,772,45,19,0.0,ETD
5,1,1,1,18,1,140,855,84,62,15.536034,pce
5,1,1,1,18,2,266,881,129,29,5.143967,[ACID]Trick
5,1,1,1,19,1,152,891,60,9,27.252609,ne.
5,1,1,1,19,2,355,887,26,15,68.403374,tic
5,1,1,1,20,1,62,898,46,27,96.63092,58
5,1,1,1,20,2,156,905,26,39,0.0,‘e
5,1,1,1,20,3,230,925,13,21,67.733925,Fa
5,1,1,1,20,4,266,920,90,18,85.281898,Warzone
5,1,1,1,20,5,362,920,69,18,96.286934,#1309
5,1,1,1,20,6,519,901,76,19,21.81636,TEE
5,1,1,1,20,7,602,901,45,19,0.0,REIS
5,1,1,1,21,1,151,945,89,13,31.955566,oie
5,1,1,1,22,1,147,983,26,31,41.136471,e
5,1,1,1,22,2,183,989,37,22,96.921432,Top
5,1,1,1,22,3,228,989,12,17,96.593971,8
5,1,1,1,22,4,249,988,76,23,96.18734,Players
5,1,1,1,22,5,332,988,87,18,96.161575,Advance
5,1,1,1,22,6,426,990,20,16,96.323364,to
5,1,1,1,22,7,454,988,33,18,96.641953,the
5,1,1,1,22,8,494,988,106,18,96.076927,Semi-final
