level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,61,121,26,48,29.872849,ba
5,1,1,1,3,2,129,125,113,60,37.674709,_
5,1,1,1,3,3,258,121,90,48,96.140915,Warzone
5,1,1,1,3,4,354,125,68,34,84.537354,#1307
5,1,1,1,3,5,537,126,97,20,22.472946,PED
5,1,1,1,4,1,194,234,18,12,41.372261,4a;
5,1,1,1,4,2,258,231,142,26,77.128891,[aREs]PugRa
5,1,1,1,5,1,66,249,20,26,95.337204,7
5,1,1,1,5,2,258,270,90,18,96.06411,Warzone
5,1,1,1,5,3,354,270,71,18,95.669884,#1304
5,1,1,1,5,4,511,251,129,22,2.636551,TASES
5,1,1,1,5,5,649,244,37,37,0.0,7
5,1,1,1,6,1,2,326,26,32,68.279839,8
5,1,1,1,6,2,258,361,94,25,19.342148,[VVip)Mi
5,1,1,1,7,1,305,366,62,21,48.560005,p]Min
5,1,1,1,7,2,374,366,38,15,96.806999,ana
5,1,1,1,8,1,65,378,23,27,95.386063,8
5,1,1,1,8,2,145,409,3,7,3.024788,‘
5,1,1,1,8,3,258,400,90,18,95.335274,Warzone
5,1,1,1,8,4,354,400,68,18,95.335274,#1307
5,1,1,1,8,5,509,381,76,22,0.0,HARBU
5,1,1,1,8,6,591,381,48,22,31.264229,ANS
5,1,1,1,9,1,65,507,22,27,52.554798,s
5,1,1,1,9,2,139,489,21,47,46.358818,&
5,1,1,1,9,3,258,495,49,25,0.0,Ne
5,1,1,1,9,4,351,485,68,53,30.878517,ale
5,1,1,1,9,5,511,510,129,19,0.0,ILOBLAR
5,1,1,1,10,1,139,532,78,33,36.774364,psy
5,1,1,1,10,2,258,529,90,18,95.90757,Warzone
5,1,1,1,10,3,354,529,71,18,92.895897,#1304
5,1,1,1,10,4,538,525,57,7,8.325844,_
5,1,1,1,11,1,231,601,10,13,20.26384,y
5,1,1,1,11,2,258,620,93,25,61.987625,(ALOU
5,1,1,1,12,1,265,621,172,25,4.964539,(A1OWPayceNyY
5,1,1,1,13,1,56,637,39,26,93.037712,10
5,1,1,1,13,2,219,670,19,7,49.027046,pe
5,1,1,1,13,3,258,659,90,18,96.036964,Warzone
5,1,1,1,13,4,354,659,65,17,95.691025,#1312
5,1,1,1,13,5,649,628,39,57,22.872177,oy
5,1,1,1,14,1,136,732,102,39,36.680229,ry)
5,1,1,1,14,2,262,749,50,25,0.044235,srw
5,1,1,1,14,3,318,749,109,25,0.0,)rebetta
5,1,1,1,14,4,509,767,131,26,0.0,engeasne
5,1,1,1,15,1,61,766,29,27,50.99926,nN
5,1,1,1,15,2,258,788,90,18,96.204468,Warzone
5,1,1,1,15,3,354,788,69,18,96.693878,#1302
5,1,1,1,15,4,511,769,128,22,15.877304,MPSS
5,1,1,1,16,1,135,869,30,59,24.192413,K
5,1,1,1,16,2,169,888,2,3,0.0,E
5,1,1,1,16,3,206,865,37,55,0.0,Vil
5,1,1,1,16,4,258,879,151,25,56.951912,[cenpolllibee
5,1,1,1,17,1,57,896,37,26,77.68351,12
5,1,1,1,17,2,138,914,29,41,18.806648,a8
5,1,1,1,17,3,177,869,64,76,18.791901,tv
5,1,1,1,17,4,258,917,90,18,96.702667,Warzone
5,1,1,1,17,5,354,917,65,18,96.82692,#1315
5,1,1,1,17,6,514,898,126,22,21.805176,aE
5,1,1,1,17,7,649,887,39,57,4.007645,A]
5,1,1,1,18,1,139,984,26,31,41.136471,e
5,1,1,1,18,2,175,990,37,22,96.817154,Top
5,1,1,1,18,3,220,990,12,17,96.338722,8
5,1,1,1,18,4,241,989,76,23,96.338722,Players
5,1,1,1,18,5,324,989,87,18,96.161293,Advance
5,1,1,1,18,6,418,991,20,16,95.84539,to
5,1,1,1,18,7,446,989,33,18,95.84539,the
5,1,1,1,18,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,18,9,617,1018,12,1,0.0,/
