level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,143,185,105,39,26.546242,Fone
5,1,1,1,3,2,266,202,225,30,0.0,PNOIRBSIIC
5,1,1,1,3,3,467,181,24,68,49.041103,A
5,1,1,1,3,4,513,220,29,23,0.0,so
5,1,1,1,3,5,552,181,41,68,0.0,sce
5,1,1,1,3,6,603,181,46,68,16.817276,css
5,1,1,1,4,1,61,220,47,26,53.920876,66
5,1,1,1,4,2,138,227,92,38,37.19342,"Py,"
5,1,1,1,4,3,266,241,90,18,54.889328,warzone
5,1,1,1,4,4,362,241,68,18,94.841026,#1303
5,1,1,1,4,5,514,222,22,19,0.0,TO
5,1,1,1,4,6,545,222,102,22,0.0,VOEEVEES
5,1,1,1,5,1,152,270,80,12,32.376678,rw
5,1,1,1,6,1,142,329,5,10,50.651917,¥
5,1,1,1,6,2,244,314,4,4,37.595131,‘
5,1,1,1,6,3,415,332,4,4,74.170692,.
5,1,1,1,7,1,266,332,75,25,48.256104,[CBnJ¥
5,1,1,1,7,2,370,332,86,20,86.881958,OSHikO
5,1,1,1,8,1,62,349,45,27,96.776558,67
5,1,1,1,8,2,137,309,116,106,48.685822,w
5,1,1,1,8,3,266,371,90,18,96.20932,Warzone
5,1,1,1,8,4,362,371,65,18,96.734421,#1315
5,1,1,1,8,5,527,352,120,19,0.0,ROSRETG
5,1,1,1,9,1,143,458,5,11,61.616028,","
5,1,1,1,10,1,266,464,163,25,13.091293,[Quou]waTeR
5,1,1,1,10,2,437,469,16,16,66.875839,o
5,1,1,1,11,1,161,439,66,89,0.0,)}
5,1,1,1,12,1,61,478,47,27,95.004166,68
5,1,1,1,12,2,138,497,56,33,37.576317,Ean
5,1,1,1,12,3,215,514,7,11,0.0,So
5,1,1,1,12,4,235,508,15,35,67.260605,“
5,1,1,1,12,5,266,500,90,18,95.284569,Warzone
5,1,1,1,12,6,362,500,67,18,96.620888,#1314
5,1,1,1,12,7,512,481,84,19,0.0,AUN
5,1,1,1,12,8,603,481,44,19,36.30999,eS
5,1,1,1,13,1,176,595,12,26,0.0,f
5,1,1,1,13,2,266,589,127,32,15.535507,AREA
5,1,1,1,13,3,406,584,72,54,23.021935,RAE
5,1,1,1,13,4,514,584,32,54,14.050636,co
5,1,1,1,13,5,511,609,137,25,0.0,naon@
5,1,1,1,14,1,61,608,47,26,94.704636,69
5,1,1,1,14,2,213,593,31,75,18.145889,F
5,1,1,1,14,3,266,630,90,18,96.590225,Warzone
5,1,1,1,14,4,362,629,71,19,96.413338,#1304
5,1,1,1,14,5,513,610,133,22,0.0,WMHODO
5,1,1,1,15,1,173,718,64,29,0.0,Pee
5,1,1,1,15,2,266,720,93,25,0.61731,[VIE]xon
5,1,1,1,15,3,366,725,54,16,79.129349,xoan
5,1,1,1,16,1,62,737,44,27,96.914108,70
5,1,1,1,16,2,266,759,90,18,95.994278,Warzone
5,1,1,1,16,3,362,759,68,18,96.117905,#1301
5,1,1,1,16,4,516,740,132,24,0.0,‘sWokistyats
5,1,1,1,17,1,266,849,138,26,34.658852,[V10]GKO77
5,1,1,1,18,1,67,867,34,26,58.897522,nm
5,1,1,1,18,2,150,883,2,17,28.385147,|
5,1,1,1,18,3,228,882,12,19,44.19603,a)
5,1,1,1,18,4,266,888,90,18,80.809921,Warzone
5,1,1,1,18,5,362,888,70,18,96.624634,#1308
5,1,1,1,18,6,518,869,80,22,0.0,TRYERR
5,1,1,1,18,7,605,869,42,22,39.817234,ES
5,1,1,1,19,1,142,955,103,17,54.705257,=
5,1,1,1,20,1,147,983,26,31,41.136471,e
5,1,1,1,20,2,183,989,37,22,96.921432,Top
5,1,1,1,20,3,228,989,12,17,96.593971,8
5,1,1,1,20,4,249,988,76,23,96.18734,Players
5,1,1,1,20,5,332,988,87,18,96.161575,Advance
5,1,1,1,20,6,426,990,20,16,96.323364,to
5,1,1,1,20,7,454,988,33,18,96.641953,the
5,1,1,1,20,8,494,988,106,18,96.076927,Semi-final
