level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,0.0,@
5,1,1,1,3,2,147,137,98,27,36.650166,arty
5,1,1,1,4,1,52,171,49,15,37.803581,ee
5,1,1,1,4,2,186,158,31,33,48.82518,age
5,1,1,1,4,3,258,159,139,31,0.0,MAIZE
5,1,1,1,4,4,583,178,58,26,43.972473,508
5,1,1,1,5,1,51,170,51,42,5.159805,G
5,1,1,1,5,2,128,179,74,64,13.83567,wae
5,1,1,1,5,3,226,175,18,72,0.0,g
5,1,1,1,5,4,258,199,90,18,96.679321,Warzone
5,1,1,1,5,5,354,198,69,19,96.686699,#1309
5,1,1,1,5,6,508,174,131,53,0.0,WSAE0E
5,1,1,1,5,7,649,168,41,60,34.597382,yj
5,1,1,1,6,1,2,255,26,31,71.266296,8
5,1,1,1,6,2,137,265,104,111,13.788383,fe
5,1,1,1,6,3,173,272,20,23,17.528366,PAE
5,1,1,1,6,4,258,289,235,26,27.278618,isorppiguiebthesma
5,1,1,1,7,1,2,384,26,32,47.301441,2
5,1,1,1,7,2,134,401,106,30,25.795296,wy
5,1,1,1,7,3,258,418,121,26,49.896042,PXINN]Sam
5,1,1,1,7,4,387,419,61,20,91.554077,iuowi
5,1,1,1,8,1,48,425,34,58,0.0,C3
5,1,1,1,8,2,91,425,11,58,67.249214,7
5,1,1,1,8,3,124,392,124,114,58.548409,por
5,1,1,1,8,4,258,457,90,19,96.000366,Warzone
5,1,1,1,8,5,354,457,64,19,96.588165,#1311
5,1,1,1,8,6,508,433,134,55,17.75811,ESE
5,1,1,1,8,7,645,426,41,63,53.892689,oY
5,1,1,1,9,1,2,514,26,31,23.150475,g
5,1,1,1,9,2,236,531,4,3,0.0,-
5,1,1,1,10,1,131,540,9,45,0.0,a‘
5,1,1,1,10,2,258,547,111,31,23.503014,fALOWIA
5,1,1,1,10,3,375,547,114,29,14.797287,ARSE
5,1,1,1,10,4,501,543,27,53,31.085907,on
5,1,1,1,10,5,541,543,45,53,0.0,com
5,1,1,1,10,6,589,543,54,53,0.0,ana
5,1,1,1,11,1,65,565,23,26,95.910271,4
5,1,1,1,11,2,129,525,114,106,24.135468,I
5,1,1,1,11,3,258,587,90,18,96.58416,Warzone
5,1,1,1,11,4,354,587,65,18,96.489311,#1312
5,1,1,1,11,5,502,568,138,22,0.0,TAOS
5,1,1,1,12,1,155,679,65,23,31.852951,ee
5,1,1,1,12,2,258,673,136,39,0.0,[PNDa]P5¢E
5,1,1,1,12,3,403,680,11,23,80.355949,=
5,1,1,1,12,4,426,673,27,39,66.337128,BB
5,1,1,1,12,5,503,683,53,42,0.0,HIS
5,1,1,1,12,6,562,683,81,42,0.0,95896)
5,1,1,1,13,1,67,695,19,26,95.526329,5
5,1,1,1,13,2,258,716,90,18,95.91185,Warzone
5,1,1,1,13,3,354,716,68,18,96.396385,#1303
5,1,1,1,13,4,509,697,130,22,0.0,TABEEYSES
5,1,1,1,14,1,2,772,26,32,54.050095,8
5,1,1,1,14,2,135,804,5,10,10.609283,","
5,1,1,1,14,3,258,807,101,25,89.018356,[NHI]Bee
5,1,1,1,14,4,371,812,9,20,0.0,@
5,1,1,1,14,5,393,807,79,20,96.391937,Nathan
5,1,1,1,14,6,686,762,5,3,0.0,)
5,1,1,1,15,1,65,824,22,27,95.722679,6
5,1,1,1,15,2,130,857,14,14,15.526825,L
5,1,1,1,15,3,201,784,42,106,15.526825,|
5,1,1,1,15,4,258,846,90,18,96.785873,Warzone
5,1,1,1,15,5,354,845,68,19,96.956841,#1307
5,1,1,1,16,1,2,902,26,31,27.65683,2
5,1,1,1,16,2,686,891,5,3,53.210159,.
5,1,1,1,17,1,66,954,20,19,95.230118,7
5,1,1,1,17,2,132,914,108,68,65.596268,rai
5,1,1,1,17,3,258,936,142,26,63.263401,[aREs]PugRa
5,1,1,1,17,4,509,954,132,19,0.0,TREVELERA
5,1,1,1,17,5,649,948,37,25,14.266296,OM
5,1,1,1,18,1,139,984,26,31,41.136471,e
5,1,1,1,18,2,175,990,37,22,96.817154,Top
5,1,1,1,18,3,220,990,12,17,96.338722,8
5,1,1,1,18,4,241,989,76,23,96.338722,Players
5,1,1,1,18,5,324,989,87,18,96.161293,Advance
5,1,1,1,18,6,418,991,20,16,95.84539,to
5,1,1,1,18,7,446,989,33,18,95.84539,the
5,1,1,1,18,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,18,9,617,1018,12,1,0.0,/
