level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,258,125,112,25,5.037727,[Msz]%
5,1,1,1,3,2,358,121,22,35,0.0,I
5,1,1,1,3,3,378,125,112,22,26.383316,FAF—
5,1,1,1,3,4,512,123,132,44,0.0,I2EEROER
5,1,1,1,4,1,65,137,22,27,94.971764,6
5,1,1,1,4,2,137,125,102,69,59.30172,EA
5,1,1,1,4,3,258,159,90,18,96.647209,Warzone
5,1,1,1,4,4,354,159,68,18,96.541641,#1303
5,1,1,1,5,1,2,215,26,31,68.15387,@
5,1,1,1,5,2,135,246,5,11,18.396042,.
5,1,1,1,5,3,236,232,4,3,90.170769,‘
5,1,1,1,5,4,371,247,53,27,21.448853,sn
5,1,1,1,6,1,258,254,89,25,89.063423,[7979]A
5,1,1,1,6,2,354,255,43,20,96.847534,Lun
5,1,1,1,7,1,66,267,20,26,95.824677,7
5,1,1,1,7,2,129,227,114,106,46.74807,sa
5,1,1,1,7,3,258,288,90,18,96.377098,Warzone
5,1,1,1,7,4,354,288,68,18,96.377098,#1307
5,1,1,1,7,5,513,269,59,22,18.346085,SEA
5,1,1,1,7,6,598,269,42,22,25.203697,ee
5,1,1,1,8,1,2,344,26,32,0.0,@
5,1,1,1,8,2,138,357,65,81,6.217331,{:
5,1,1,1,8,3,210,358,23,83,54.947548,|
5,1,1,1,8,4,258,378,103,26,1.662292,PQKAJMao
5,1,1,1,8,5,386,378,25,21,77.604248,dé
5,1,1,1,9,1,175,388,46,12,0.381058,-4
5,1,1,1,9,2,354,384,25,15,24.888847,ao
5,1,1,1,9,3,400,384,32,15,85.249527,dém
5,1,1,1,10,1,65,396,23,26,93.763123,8
5,1,1,1,10,2,141,373,22,77,9.693535,K
5,1,1,1,10,3,175,407,21,30,0.0,to
5,1,1,1,10,4,203,391,29,55,68.871536,4
5,1,1,1,10,5,258,418,90,18,96.216248,Warzone
5,1,1,1,10,6,354,417,68,19,96.798462,#1305
5,1,1,1,10,7,516,397,125,25,37.894878,REWER
5,1,1,1,11,1,134,485,16,111,89.941856,|
5,1,1,1,11,2,179,486,5,105,58.986748,7
5,1,1,1,11,3,258,508,100,25,13.071709,[CBnjJALL
5,1,1,1,11,4,365,509,57,19,94.826775,CAPS
5,1,1,1,11,5,429,504,109,52,61.636284,SHABMNF
5,1,1,1,11,6,563,509,18,43,26.521744,7
5,1,1,1,12,1,65,525,22,27,72.409233,3
5,1,1,1,12,2,258,547,90,18,95.22155,Warzone
5,1,1,1,12,3,354,547,65,18,94.508896,#1315
5,1,1,1,12,4,649,516,41,59,36.961361,oY
5,1,1,1,13,1,153,632,68,37,31.48291,sone
5,1,1,1,13,2,226,625,8,7,53.476425,TT
5,1,1,1,13,3,258,636,119,27,0.0,(viejmnanh
5,1,1,1,13,4,384,639,53,24,61.124352,Jerry
5,1,1,1,14,1,56,655,39,26,95.061165,10
5,1,1,1,14,2,145,670,75,36,36.109924,es
5,1,1,1,14,3,214,612,31,95,47.837105,i
5,1,1,1,14,4,258,676,90,18,96.077263,Warzone
5,1,1,1,14,5,354,676,68,18,93.747665,#1301
5,1,1,1,14,6,507,652,69,55,2.494812,SEE
5,1,1,1,14,7,594,652,51,55,0.0,BS
5,1,1,1,15,1,212,782,2,2,49.120747,.
5,1,1,1,15,2,227,763,20,33,79.489174,||
5,1,1,1,15,3,258,767,125,25,87.699394,[SOF]Peach
5,1,1,1,15,4,390,767,69,20,96.50943,smash
5,1,1,1,15,5,521,785,69,22,24.398735,TSE
5,1,1,1,16,1,61,784,29,26,64.489578,11
5,1,1,1,16,2,131,738,116,120,20.559319,Keel
5,1,1,1,16,3,258,806,90,18,95.817551,Warzone
5,1,1,1,16,4,354,806,70,18,95.817551,#1306
5,1,1,1,16,5,591,785,50,26,29.866798,EE
5,1,1,1,17,1,258,895,106,31,45.173374,mice
5,1,1,1,17,2,371,895,26,29,16.35849,tnt
5,1,1,1,18,1,57,913,37,27,66.108093,12
5,1,1,1,18,2,131,871,114,102,4.056892,Cs
5,1,1,1,18,3,258,935,90,18,96.140854,Warzone
5,1,1,1,18,4,354,935,69,18,96.43824,#1309
5,1,1,1,18,5,513,916,126,22,16.732971,TABLAS
5,1,1,1,19,1,139,984,26,31,41.136471,e
5,1,1,1,19,2,175,990,37,22,96.817154,Top
5,1,1,1,19,3,220,990,12,17,96.338722,8
5,1,1,1,19,4,241,989,76,23,96.338722,Players
5,1,1,1,19,5,324,989,87,18,96.161293,Advance
5,1,1,1,19,6,418,991,20,16,95.84539,to
5,1,1,1,19,7,446,989,33,18,95.84539,the
5,1,1,1,19,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,19,9,617,1018,12,1,0.0,/
