level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,2,1,1,53,81,85,34,90.823311,Ranking
5,1,1,2,1,2,265,81,123,34,91.175133,Commander
5,1,1,2,1,3,550,85,35,19,90.328491,Kill
5,1,1,2,1,4,591,86,57,19,96.513092,Score
5,1,1,2,2,1,141,120,108,35,33.184875,Gens
5,1,1,2,2,2,694,145,5,4,41.033798,.
5,1,1,3,1,1,140,165,107,113,18.773048,*
5,1,1,3,1,2,262,186,127,41,63.73637,[VOINJN&c
5,1,1,3,1,3,398,190,42,33,95.986916,Nac
5,1,1,4,1,1,62,207,44,27,96.673592,70
5,1,1,4,1,2,153,242,3,3,54.224602,A
5,1,1,4,1,3,266,221,86,36,96.444267,Warzone
5,1,1,4,1,4,364,229,66,18,96.20739,#1305
5,1,1,4,1,5,526,210,120,22,11.101189,SEE
5,1,1,5,1,1,143,306,90,43,17.740257,MS
5,1,1,5,1,2,266,320,190,25,29.63739,pxonRIVENY
5,1,1,5,1,3,632,344,8,5,74.876213,.
5,1,1,6,1,1,67,337,34,26,91.448326,n
5,1,1,6,1,2,266,355,87,31,96.35894,Warzone
5,1,1,6,1,3,365,359,61,18,96.004623,#1311
5,1,1,7,1,1,266,449,201,25,74.175583,[DRAW]Tuanvu49
5,1,1,7,1,2,579,473,1,3,27.999039,:
5,1,1,7,1,3,634,473,5,6,0.0,.
5,1,1,8,1,1,63,466,42,27,93.01664,72
5,1,1,8,1,2,266,484,84,32,95.927284,Warzone
5,1,1,8,1,3,363,488,63,18,94.901398,#1311
5,1,1,9,1,1,239,560,10,13,0.0,y
5,1,1,9,1,2,266,556,78,63,0.0,[LiG]L
5,1,1,9,1,3,350,556,27,63,34.483986,"A,"
5,1,1,10,1,1,266,583,50,25,87.279762,[Lic]
5,1,1,10,1,2,377,577,164,49,0.0,"20250204,"
5,1,1,10,1,3,552,577,99,49,0.0,onary
5,1,1,11,1,1,63,596,42,26,96.536964,73
5,1,1,11,1,2,136,550,112,107,43.424419,ivi
5,1,1,11,1,3,266,609,86,36,95.203712,Warzone
5,1,1,11,1,4,364,617,66,18,96.811485,#1303
5,1,1,11,1,5,529,598,67,22,0.0,BERS
5,1,1,11,1,6,614,598,34,22,0.0,OS
5,1,1,11,2,1,175,637,75,23,18.539207,a
5,1,1,11,2,2,694,663,5,3,0.0,;
5,1,1,12,1,1,158,696,71,44,5.019608,Sie)
5,1,1,12,1,2,266,708,125,25,2.614609,rotvjerika
5,1,1,12,1,3,398,708,42,20,73.257126,aka
5,1,1,13,1,1,62,725,45,26,78.062843,74
5,1,1,13,1,2,266,743,87,32,96.087738,Warzone
5,1,1,13,1,3,363,747,63,18,96.717613,#1311
5,1,1,13,1,4,531,726,118,26,0.0,OPERAS
5,1,1,14,1,1,142,814,103,111,0.0,r]
5,1,1,14,1,2,262,828,67,57,26.574257,[V10}
5,1,1,14,1,3,342,840,59,29,0.0,¢)s>
5,1,1,15,1,1,62,855,43,26,94.841492,75
5,1,1,15,1,2,266,868,86,36,96.451439,Warzone
5,1,1,15,1,3,364,876,68,18,96.70771,#1308
5,1,1,15,1,4,531,857,115,22,17.005524,SEN
5,1,1,16,1,1,147,983,26,31,41.136471,e
5,1,1,16,1,2,183,989,37,22,96.817154,Top
5,1,1,16,1,3,228,989,12,17,96.338722,8
5,1,1,16,1,4,249,988,76,23,96.338722,Players
5,1,1,16,1,5,332,988,87,18,96.161293,Advance
5,1,1,16,1,6,426,990,20,16,95.84539,to
5,1,1,16,1,7,454,988,33,18,95.84539,the
5,1,1,16,1,8,494,984,114,35,75.615471,Semi-final
