level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,0,133,22,26,41.446121,=
5,1,1,1,3,2,131,139,101,18,0.0,Swe
5,1,1,1,3,3,252,162,77,26,27.071014,ARO}
5,1,1,1,4,1,45,173,50,20,34.582077,ioe
5,1,1,1,4,2,127,137,107,113,47.56414,er
5,1,1,1,4,3,272,163,147,23,22.514023,ARQ]Banan
5,1,1,1,4,4,406,158,15,36,96.220306,a
5,1,1,1,4,5,514,181,10,9,57.165932,ra
5,1,1,1,4,6,545,181,82,12,19.337372,sever
5,1,1,1,5,1,47,178,46,37,42.043056,7
5,1,1,1,5,2,132,183,30,53,19.473808,Ye
5,1,1,1,5,3,171,181,61,55,59.334503,EN
5,1,1,1,5,4,252,201,90,19,95.954727,Warzone
5,1,1,1,5,5,348,201,64,18,96.365463,#1313
5,1,1,1,5,6,499,177,137,52,15.662186,SAREE
5,1,1,1,5,7,643,182,40,47,54.512711,uf
5,1,1,1,6,1,0,254,22,41,20.08725,*)
5,1,1,1,6,2,126,282,2,2,63.551224,4
5,1,1,1,6,3,225,273,9,12,0.0,s
5,1,1,1,6,4,338,291,10,29,0.0,\
5,1,1,1,7,1,46,304,48,18,21.548416,©:
5,1,1,1,7,2,252,296,89,26,0.0,ITQAK]/)
5,1,1,1,7,3,351,293,66,27,0.0,shoF
5,1,1,1,7,4,607,316,27,7,56.302193,38
5,1,1,1,8,1,46,303,48,43,0.0,@
5,1,1,1,8,2,129,268,103,99,43.08564,a
5,1,1,1,8,3,252,331,90,18,96.276474,Warzone
5,1,1,1,8,4,348,330,68,19,95.891914,#1301
5,1,1,1,8,5,506,306,129,54,0.0,ERE
5,1,1,1,8,6,643,300,41,60,61.437584,oy
5,1,1,1,9,1,163,363,4,10,0.0,‘
5,1,1,1,9,2,226,355,10,14,38.927216,g
5,1,1,1,10,1,0,395,22,23,0.0,=
5,1,1,1,10,2,225,402,9,12,37.708073,","
5,1,1,1,10,3,252,421,113,26,34.940315,[VIC}Htaih
5,1,1,1,10,4,426,421,27,21,67.404625,kk
5,1,1,1,11,1,55,432,30,6,0.0,—
5,1,1,1,11,2,305,422,119,20,45.465015,HtathtFran
5,1,1,1,11,3,647,433,30,13,51.627945,a
5,1,1,1,12,1,46,432,48,44,51.11034,&
5,1,1,1,12,2,126,394,53,106,23.009216,P+
5,1,1,1,12,3,252,460,90,18,96.216141,Warzone
5,1,1,1,12,4,348,460,69,19,93.763733,#1309
5,1,1,1,12,5,501,435,138,55,0.0,Bewes
5,1,1,1,12,6,643,441,38,50,4.45343,uf
5,1,1,1,13,1,0,520,22,28,60.60062,=
5,1,1,1,13,2,129,548,4,8,57.981003,""""
5,1,1,1,13,3,251,551,97,20,84.395996,daye827
5,1,1,1,14,1,261,547,43,34,94.054932,jaye
5,1,1,1,14,2,502,569,122,16,0.0,cATERATi
5,1,1,1,15,1,59,568,23,26,93.755974,4
5,1,1,1,15,2,124,528,110,106,79.849869,w
5,1,1,1,15,3,252,590,90,18,96.91098,Warzone
5,1,1,1,15,4,348,589,70,19,96.737076,#1306
5,1,1,1,15,5,502,569,132,25,0.0,REED
5,1,1,1,15,6,643,559,41,59,44.197212,tr
5,1,1,1,16,1,252,685,67,25,0.0,[BTW]
5,1,1,1,16,2,325,687,21,20,0.0,y
5,1,1,1,16,3,363,685,39,24,52.255463,QIQ
5,1,1,1,16,4,420,687,21,20,25.129539,vy
5,1,1,1,16,5,518,698,65,17,0.0,DR
5,1,1,1,16,6,649,692,27,13,38.134342,ty
5,1,1,1,17,1,61,697,19,27,95.328018,5
5,1,1,1,17,2,124,706,112,60,18.594101,fala
5,1,1,1,17,3,252,719,90,18,96.68087,Warzone
5,1,1,1,17,4,348,719,69,18,96.876747,#1302
5,1,1,1,17,5,502,698,132,26,0.0,RATER
5,1,1,1,17,6,643,704,37,26,18.632393,Vag
5,1,1,1,18,1,0,780,22,27,32.540962,=
5,1,1,1,18,2,225,791,8,12,0.0,TRE
5,1,1,1,18,3,312,809,52,27,0.0,CLE
5,1,1,1,18,4,430,810,24,26,0.0,ees
5,1,1,1,18,5,680,765,4,3,49.712311,|
5,1,1,1,19,1,252,810,56,34,93.002525,[Msz]
5,1,1,1,19,2,372,811,112,25,42.013939,DAF
5,1,1,1,19,3,506,828,129,12,0.0,scene
5,1,1,1,20,1,59,827,22,26,90.344429,6
5,1,1,1,20,2,130,786,106,98,55.717731,eu
5,1,1,1,20,3,252,848,90,18,96.614548,Warzone
5,1,1,1,20,4,348,848,68,18,96.6278,#1303
5,1,1,1,20,5,507,828,128,25,34.323242,REGRETS
5,1,1,1,21,1,60,956,20,20,85.908974,7
5,1,1,1,21,2,130,912,107,76,64.463837,nme
5,1,1,1,21,3,252,944,88,25,49.31723,(7979)A
