level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,266,169,209,26,61.739204,[TWFSJAyaAyaAya
5,1,1,1,4,1,63,186,42,27,94.985703,72
5,1,1,1,4,2,139,144,76,112,14.135849,a
5,1,1,1,4,3,266,140,164,120,0.0,coreees
5,1,1,1,4,4,527,189,121,22,1.646347,SEES
5,1,1,1,5,1,158,286,71,38,59.600105,PS.
5,1,1,1,5,2,266,299,81,25,44.460987,[V10]EI
5,1,1,1,5,3,355,299,117,25,91.822594,professor3
5,1,1,1,6,1,159,330,69,7,31.223557,Zug
5,1,1,1,6,2,530,317,118,26,9.278,SETTEBO
5,1,1,1,7,1,63,316,42,26,96.728668,73
5,1,1,1,7,2,146,278,40,88,16.121941,fe
5,1,1,1,7,3,200,278,41,88,0.0,*]
5,1,1,1,7,4,266,333,87,31,96.30526,Warzone
5,1,1,1,7,5,365,337,67,19,96.116013,#1308
5,1,1,1,7,6,633,319,13,19,0.0,o
5,1,1,1,8,1,143,425,36,11,47.606346,ha?
5,1,1,1,8,2,197,421,10,13,17.629929,OF
5,1,1,1,8,3,222,422,8,8,10.078728,i
5,1,1,1,8,4,244,411,4,3,60.914764,‘
5,1,1,1,8,5,389,427,24,10,15.574081,~
5,1,1,1,8,6,450,428,20,11,0.0,r~}
5,1,1,1,9,1,158,437,73,23,50.788063,‘ee;
5,1,1,1,9,2,266,427,235,31,0.0,([FeMptOleASa
5,1,1,1,9,3,523,446,125,26,9.14814,ageasno
5,1,1,1,10,1,62,446,45,26,85.724243,74
5,1,1,1,10,2,137,405,114,106,12.502144,ra
5,1,1,1,10,3,266,459,86,36,95.954208,Warzone
5,1,1,1,10,4,364,467,68,18,95.497932,#1306
5,1,1,1,10,5,525,448,121,22,43.831272,DED
5,1,1,1,11,1,239,539,10,13,0.0,y
5,1,1,1,11,2,266,558,74,25,67.716156,[coca]
5,1,1,1,11,3,528,576,120,23,0.0,aganenn
5,1,1,1,12,1,161,555,31,32,0.0,ae
5,1,1,1,12,2,274,559,125,19,68.009499,COCAJKING
5,1,1,1,12,3,407,559,32,19,96.560059,84
5,1,1,1,13,1,62,575,43,26,90.761169,75
5,1,1,1,13,2,169,595,22,8,22.87146,-<
5,1,1,1,13,3,229,608,17,5,4.590668,J
5,1,1,1,13,4,266,589,86,35,88.824615,Warzone
5,1,1,1,13,5,366,596,62,18,94.736473,#1316
5,1,1,1,13,6,530,577,116,22,0.0,SEBEEED
5,1,1,1,14,1,142,612,105,41,40.672626,Se
5,1,1,1,14,2,694,642,5,3,19.972458,.
5,1,1,1,15,1,143,684,5,10,0.0,h
5,1,1,1,15,2,244,670,4,3,48.723137,‘
5,1,1,1,15,3,387,686,24,13,91.592957,x
5,1,1,1,16,1,266,688,64,34,0.0,[RVxX]
5,1,1,1,16,2,332,692,81,21,0.0,Chun
5,1,1,1,17,1,62,704,44,27,93.709045,76
5,1,1,1,17,2,137,660,120,114,59.142273,Ly
5,1,1,1,17,3,266,717,85,38,96.512596,Warzone
5,1,1,1,17,4,363,726,67,18,96.886459,#1305
5,1,1,1,17,5,530,707,116,22,21.515724,Spe
5,1,1,1,18,1,155,805,80,16,44.897961,7
5,1,1,1,18,2,215,795,24,35,29.319374,TH
5,1,1,1,19,1,168,820,52,23,33.290344,aes
5,1,1,1,19,2,266,816,209,26,27.167038,[IXON|BapBo2020
5,1,1,1,19,3,522,813,128,51,0.0,ageneae
5,1,1,1,20,1,63,834,42,26,78.358955,77
5,1,1,1,20,2,150,840,90,44,5.917007,Re.)
5,1,1,1,20,3,267,836,87,52,84.283997,warzone
5,1,1,1,20,4,366,855,60,18,94.811729,#1311
5,1,1,1,20,5,528,836,119,22,23.869431,SESE
5,1,1,1,21,1,62,943,44,40,1.440514,~—-
5,1,1,1,21,2,266,942,182,41,71.838623,[PrimJANAHERA
5,1,1,1,21,3,531,964,117,8,1.538925,mance
5,1,1,1,22,1,147,983,26,31,41.136471,e
5,1,1,1,22,2,183,989,37,22,96.921432,Top
5,1,1,1,22,3,228,989,12,17,96.593971,8
5,1,1,1,22,4,249,988,76,23,96.18734,Players
5,1,1,1,22,5,332,988,87,18,96.161575,Advance
5,1,1,1,22,6,426,990,20,16,96.323364,to
5,1,1,1,22,7,454,988,33,18,96.641953,the
5,1,1,1,22,8,494,988,106,18,96.076927,Semi-final
