level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,0,133,22,26,0.0,.
5,1,1,1,3,2,141,151,9,21,35.914146,y
5,1,1,1,3,3,181,147,43,51,44.353275,bey
5,1,1,1,3,4,252,162,75,26,13.554626,[SOF]Neul
5,1,1,1,3,5,371,163,14,20,59.329865,B
5,1,1,1,4,1,45,173,50,22,20.836716,are
5,1,1,1,4,2,329,168,26,15,71.0737,eul
5,1,1,1,4,3,386,168,33,15,63.178093,Bom
5,1,1,1,4,4,510,188,43,9,38.319786,1674
5,1,1,1,4,5,625,174,51,23,39.206314,ag
5,1,1,1,5,1,47,178,46,37,35.955109,7
5,1,1,1,5,2,252,197,87,32,95.809593,Warzone
5,1,1,1,5,3,352,197,66,32,96.003929,#1306
5,1,1,1,5,4,504,177,31,52,5.450325,AB
5,1,1,1,5,5,542,177,92,52,0.0,AIUSTS
5,1,1,1,5,6,646,177,36,52,56.459446,Tag
5,1,1,1,6,1,0,258,22,31,73.450775,=
5,1,1,1,6,2,131,269,77,32,27.258026,—_
5,1,1,1,6,3,252,292,165,25,31.352814,[AC1D]H1ccUP
5,1,1,1,7,1,46,303,48,43,31.711647,a
5,1,1,1,7,2,126,301,111,74,33.710083,os
5,1,1,1,7,3,252,300,90,63,44.791862,Warzone
5,1,1,1,7,4,353,300,64,63,0.0,#isog
5,1,1,1,7,5,463,300,27,63,28.893456,|
5,1,1,1,7,6,498,310,103,26,0.0,SORABES
5,1,1,1,7,7,652,300,32,63,40.840359,iy
5,1,1,1,8,1,0,391,22,46,55.95261,at
5,1,1,1,8,2,136,405,94,20,59.509045,—
5,1,1,1,9,1,55,432,30,6,7.226227,a.
5,1,1,1,9,2,252,417,274,52,0.0,"[GLOR]SpeEdyGonZales,"
5,1,1,1,9,3,546,417,92,52,0.0,oo
5,1,1,1,9,4,647,433,30,13,0.0,a“.
5,1,1,1,10,1,46,428,51,59,0.0,37
5,1,1,1,10,2,133,476,2,3,21.506943,‘
5,1,1,1,10,3,252,449,87,40,96.590561,Warzone
5,1,1,1,10,4,351,449,66,40,96.78405,#1302
5,1,1,1,10,5,541,452,45,11,32.444023,SEE
5,1,1,1,10,6,643,445,37,26,39.980728,taf
5,1,1,1,11,1,0,520,22,28,38.674576,=
5,1,1,1,11,2,131,531,19,7,9.142395,)
5,1,1,1,11,3,166,526,29,35,21.361267,&
5,1,1,1,11,4,213,531,19,7,92.989334,1
5,1,1,1,11,5,248,547,206,34,31.61557,[TQOAK]FakeYeyee
5,1,1,1,12,1,59,568,23,26,92.048386,4
5,1,1,1,12,2,131,544,4,85,95.626762,|
5,1,1,1,12,3,168,576,43,33,25.093369,EE
5,1,1,1,12,4,226,547,7,83,85.976212,|
5,1,1,1,12,5,252,572,88,46,73.975098,Warzone
5,1,1,1,12,6,351,589,65,19,96.346283,#1301
5,1,1,1,12,7,506,569,71,25,0.0,eye
5,1,1,1,12,8,585,572,49,22,22.35247,Bae
5,1,1,1,13,1,129,678,92,17,25.849442,wf
5,1,1,1,13,2,252,680,137,25,34.817932,[KORalLet
5,1,1,1,13,3,371,674,21,41,94.924019,it
5,1,1,1,13,4,516,698,81,11,0.0,ecyazeme
5,1,1,1,13,5,649,692,27,13,49.529438,oY
5,1,1,1,14,1,61,697,19,27,74.559464,5
5,1,1,1,14,2,124,683,112,80,64.627945,Ma
5,1,1,1,14,3,252,719,90,18,95.790512,Warzone
5,1,1,1,14,4,348,719,65,18,96.153381,#1312
5,1,1,1,14,5,502,698,178,32,0.0,FRUPISREIOS
5,1,1,1,14,6,647,694,38,56,58.452385,Yay
5,1,1,1,15,1,0,780,22,26,46.370132,=
5,1,1,1,15,2,325,809,82,28,0.0,3S
5,1,1,1,16,1,145,816,74,26,50.333359,ems
5,1,1,1,16,2,252,814,124,25,17.356728,(FEnx|SS
5,1,1,1,16,3,412,815,39,20,61.175369,9119
5,1,1,1,16,4,510,828,41,17,5.247383,co
5,1,1,1,16,5,574,828,60,16,0.0,ccpoere
5,1,1,1,16,6,648,822,28,12,34.451347,oh
5,1,1,1,17,1,59,827,22,26,90.344429,6
5,1,1,1,17,2,252,832,86,45,90.627686,Warzone
5,1,1,1,17,3,349,848,64,18,95.519302,#1315
5,1,1,1,17,4,505,828,175,31,0.0,SERELETE
5,1,1,1,17,5,642,824,41,53,46.652298,Yay
5,1,1,1,18,1,0,908,22,28,77.209885,3
5,1,1,1,19,1,60,956,20,20,91.441246,7
5,1,1,1,19,2,168,966,17,10,34.877235,PRY
5,1,1,1,19,3,252,939,428,37,0.0,DXINNAZEREMoonlink
5,1,1,1,19,4,520,934,9,46,11.135574,=
5,1,1,1,19,5,543,934,39,46,18.217453,ooo
5,1,1,1,19,6,593,934,39,46,0.0,a33
5,1,1,1,19,7,647,934,35,46,13.95295,¢%
