level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,143,134,105,31,52.293007,ger
5,1,1,1,3,2,364,150,136,17,35.419754,GALES
5,1,1,1,4,1,66,168,36,27,52.824471,61
5,1,1,1,4,2,184,165,50,30,20.265991,key
5,1,1,1,4,3,266,150,211,31,8.396797,RUIZ
5,1,1,1,4,4,518,150,24,40,5.982521,oa
5,1,1,1,4,5,551,171,97,22,0.0,cease
5,1,1,1,5,1,138,194,60,30,13.196045,Rae
5,1,1,1,5,2,218,194,25,24,39.225487,aca
5,1,1,1,5,3,266,190,90,18,96.473938,Warzone
5,1,1,1,5,4,362,190,71,18,96.374268,#1304
5,1,1,1,6,1,266,280,125,26,18.032806,[SOFJAlienJ
5,1,1,1,7,1,62,297,45,27,95.163521,62
5,1,1,1,7,2,139,251,116,120,0.0,‘w)
5,1,1,1,7,3,266,319,90,18,95.919579,Warzone
5,1,1,1,7,4,362,319,70,18,96.789787,#1306
5,1,1,1,7,5,521,300,126,22,0.0,SEES
5,1,1,1,8,1,266,409,182,35,44.296303,[NHI]TeoTiGcea
5,1,1,1,8,2,514,430,63,18,20.777901,an.ay
5,1,1,1,8,3,634,430,14,18,56.822075,2
5,1,1,1,9,1,62,427,45,27,95.165543,63
5,1,1,1,9,2,145,385,99,112,15.309212,wl
5,1,1,1,9,3,266,440,88,38,96.659019,Warzone
5,1,1,1,9,4,366,448,64,19,96.659019,#1307
5,1,1,1,9,5,528,430,104,21,15.441704,ane
5,1,1,1,10,1,266,542,220,27,9.886551,PaRQg|Docto
5,1,1,1,10,2,501,538,50,49,50.438873,"Tan,"
5,1,1,1,10,3,566,538,87,49,0.0,"BR,6ER"
5,1,1,1,11,1,61,556,47,27,96.528511,64
5,1,1,1,11,2,172,604,39,4,8.551422,—_
5,1,1,1,11,3,221,541,23,76,78.90387,j
5,1,1,1,11,4,266,578,90,18,95.939156,Warzone
5,1,1,1,11,5,362,578,64,18,96.917877,#1313
5,1,1,1,11,6,515,559,133,22,26.867599,HERE
5,1,1,1,12,1,143,666,5,10,0.0,n
5,1,1,1,12,2,244,651,48,22,27.723289,‘se.
5,1,1,1,12,3,433,664,6,5,87.750084,il
5,1,1,1,13,1,266,663,128,31,61.475311,[FIND]CAPT
5,1,1,1,13,2,401,670,68,19,79.660339,SAINT
5,1,1,1,13,3,501,659,86,57,0.0,a~TE
5,1,1,1,13,4,600,659,49,57,0.0,AA
5,1,1,1,14,1,61,686,46,26,96.418442,65
5,1,1,1,14,2,138,719,14,12,64.645149,L
5,1,1,1,14,3,218,646,33,106,39.238251,|
5,1,1,1,14,4,266,708,90,18,96.471893,Warzone
5,1,1,1,14,5,362,707,68,19,95.340775,#1303
5,1,1,1,14,6,507,688,68,23,0.0,TAO
5,1,1,1,14,7,605,688,41,22,0.0,OD
5,1,1,1,15,1,266,798,183,26,57.152561,[XINN]Gnebgnut
5,1,1,1,16,1,61,815,47,27,95.330246,66
5,1,1,1,16,2,150,787,90,78,26.50209,a
5,1,1,1,16,3,266,827,87,42,91.228806,Warzone
5,1,1,1,16,4,363,837,63,18,95.909683,#1311
5,1,1,1,16,5,526,818,104,19,2.765366,Yea
5,1,1,1,17,1,153,912,42,31,6.542542,=
5,1,1,1,17,2,512,928,5,4,25.065086,.
5,1,1,1,18,1,62,944,45,27,96.623306,67
5,1,1,1,18,2,266,927,107,45,0.0,[AcaDIcry
5,1,1,1,18,3,388,923,132,63,0.0,PowerFullhl
5,1,1,1,18,4,535,947,6,19,27.332489,a
5,1,1,1,18,5,556,947,91,22,25.298737,camer
5,1,1,1,19,1,147,983,26,31,41.136471,e
5,1,1,1,19,2,183,989,37,22,96.921432,Top
5,1,1,1,19,3,228,989,12,17,96.593971,8
5,1,1,1,19,4,249,988,76,23,96.18734,Players
5,1,1,1,19,5,332,988,87,18,96.161575,Advance
5,1,1,1,19,6,426,990,20,16,96.323364,to
5,1,1,1,19,7,454,988,33,18,96.641953,the
5,1,1,1,19,8,494,988,106,18,96.076927,Semi-final
