level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,55,137,39,18,79.428078,cy
5,1,1,1,3,2,187,129,4,5,44.536266,BPS
5,1,1,1,3,3,252,128,216,28,71.405212,[Kora]
5,1,1,1,3,4,341,124,15,42,31.1231,tT
5,1,1,1,3,5,383,128,85,28,15.67453,Slows
5,1,1,1,3,6,570,150,5,3,26.547897,-
5,1,1,1,4,1,129,249,69,15,0.0,"eee,"
5,1,1,1,4,2,344,260,5,4,15.823883,+
5,1,1,1,4,3,353,255,24,13,49.35648,"Za,"
5,1,1,1,5,1,140,265,44,15,0.0,",/4."
5,1,1,1,5,2,252,260,97,25,30.107635,[WEASHI
5,1,1,1,5,3,387,255,134,35,49.281689,WBE
5,1,1,1,5,4,556,274,15,10,35.928123,ys
5,1,1,1,5,5,589,274,46,12,4.09697,cian
5,1,1,1,6,1,59,273,23,26,95.034317,4
5,1,1,1,6,2,124,260,112,79,63.616196,Le
5,1,1,1,6,3,252,294,90,18,95.150124,Warzone
5,1,1,1,6,4,348,294,71,18,95.18837,#1304
5,1,1,1,6,5,497,264,25,59,9.769783,HE
5,1,1,1,6,6,501,268,134,31,0.0,sacle
5,1,1,1,6,7,643,279,37,26,40.853569,Dy
5,1,1,1,7,1,129,368,108,30,49.961349,wo
5,1,1,1,7,2,252,374,105,40,18.110435,[NHI]JLinh
5,1,1,1,7,3,368,384,50,21,45.20665,Miau
5,1,1,1,7,4,519,403,44,14,34.49556,con
5,1,1,1,7,5,600,408,11,7,34.49556,as
5,1,1,1,8,1,61,402,19,27,94.489365,5
5,1,1,1,8,2,124,397,112,75,17.819023,Sate
5,1,1,1,8,3,252,424,90,18,96.73465,Warzone
5,1,1,1,8,4,348,424,68,18,95.283745,#1307
5,1,1,1,8,5,505,399,129,52,0.0,eee
5,1,1,1,8,6,643,397,37,38,1.829056,7
5,1,1,1,9,1,0,469,22,42,0.0,:
5,1,1,1,9,2,225,495,9,12,0.0,y
5,1,1,1,9,3,248,491,83,66,0.0,[eumuj
5,1,1,1,9,4,332,514,57,28,0.0,sei
5,1,1,1,9,5,680,470,4,2,67.678421,|
5,1,1,1,10,1,252,515,117,29,4.820747,[EUMU]323EO
5,1,1,1,10,2,392,517,94,23,54.350082,Milka
5,1,1,1,10,3,503,511,29,42,46.922913,oo
5,1,1,1,10,4,542,511,39,42,23.420677,ace
5,1,1,1,10,5,581,532,53,17,23.420677,nas
5,1,1,1,10,6,649,527,27,12,47.582123,ey
5,1,1,1,11,1,59,531,22,27,86.961357,6
5,1,1,1,11,2,129,490,107,99,28.906235,2
5,1,1,1,11,3,252,553,90,18,95.363899,Warzone
5,1,1,1,11,4,348,553,67,18,96.244682,#1314
5,1,1,1,11,5,504,532,131,26,0.0,SEATEOG
5,1,1,1,11,6,643,538,37,26,20.513107,ty
5,1,1,1,12,1,0,615,22,26,41.499462,=
5,1,1,1,12,2,129,641,4,7,0.0,'
5,1,1,1,12,3,252,644,117,25,84.618866,[CG9]2415
5,1,1,1,12,4,378,644,51,20,96.7938,Nikko
5,1,1,1,12,5,450,645,32,19,96.431549,HP
5,1,1,1,13,1,395,649,47,15,86.836174,ikko
5,1,1,1,13,2,502,662,70,13,0.0,cmaap
5,1,1,1,13,3,605,662,22,13,61.119049,Rar
5,1,1,1,14,1,60,661,20,26,96.001945,7
5,1,1,1,14,2,124,694,13,11,11.346024,L
5,1,1,1,14,3,167,617,67,114,11.346024,3)
5,1,1,1,14,4,252,678,87,32,96.808319,Warzone
5,1,1,1,14,5,352,682,64,19,96.427742,#1305
5,1,1,1,14,6,502,662,133,25,0.0,iepaneee
5,1,1,1,15,1,0,742,25,60,45.681381,al
5,1,1,1,15,2,136,766,3,5,18.424652,Y
5,1,1,1,15,3,252,773,118,25,69.099815,[DKBs]neko
5,1,1,1,15,4,418,773,13,20,96.616302,neko
5,1,1,1,15,5,479,773,13,20,85.714386,nek
5,1,1,1,16,1,310,769,71,36,26.331711,s]neko
5,1,1,1,16,2,393,769,51,36,93.292885,neko
5,1,1,1,16,3,453,769,69,36,16.359245,neko.
5,1,1,1,16,4,543,797,3,4,46.368259,_
5,1,1,1,16,5,623,785,53,19,48.246429,ae
5,1,1,1,17,1,59,790,23,27,95.136681,8
5,1,1,1,17,2,252,812,90,18,96.313416,Warzone
5,1,1,1,17,3,348,812,68,18,96.861702,#1303
5,1,1,1,17,4,504,791,58,26,0.0,ER
5,1,1,1,17,5,566,787,69,53,0.0,OEES
5,1,1,1,17,6,639,793,44,47,81.188957,‘uf
5,1,1,1,18,1,252,902,230,30,0.0,[GLUWIPizaH
5,1,1,1,18,2,430,898,48,43,0.0,ES
5,1,1,1,18,3,500,921,73,16,19.755264,coe
5,1,1,1,18,4,590,920,38,11,0.0,cres
