level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.876602,Seeded
5,1,1,1,1,3,171,30,65,24,96.987259,Player
5,1,1,1,2,1,0,67,148,52,35.296005,Ranking
5,1,1,1,2,2,2,78,710,32,56.618134,Commander
5,1,1,1,2,3,480,67,105,52,56.618134,Kil
5,1,1,1,2,4,597,67,118,52,60.949429,Score
5,1,1,1,3,1,140,120,106,26,46.123028,‘Gia
5,1,1,1,3,2,694,140,5,3,22.409019,.
5,1,1,1,4,1,62,203,43,26,95.917503,75
5,1,1,1,4,2,156,179,5,21,62.593559,\
5,1,1,1,4,3,194,174,18,46,49.864849,4
5,1,1,1,4,4,266,185,228,30,0.0,ITWFSHSEBTESEIS
5,1,1,1,4,5,546,205,46,19,13.743126,am
5,1,1,1,4,6,601,205,46,19,26.395432,any
5,1,1,1,5,1,150,219,51,19,41.185722,[ae
5,1,1,1,5,2,266,224,90,18,85.548431,Warzone
5,1,1,1,5,3,362,224,68,18,95.831215,#1307
5,1,1,1,5,4,540,220,58,7,17.59594,=
5,1,1,1,6,1,186,313,18,1,23.028038,Say
5,1,1,1,6,2,266,319,65,26,47.146439,(S269
5,1,1,1,6,3,352,315,77,30,15.930038,R=
5,1,1,1,7,1,167,322,66,20,55.84053,Py
5,1,1,1,7,2,372,326,26,14,96.739075,=
5,1,1,1,7,3,631,341,1,5,0.0,y
5,1,1,1,8,1,62,332,44,26,90.38649,76
5,1,1,1,8,2,150,348,2,18,75.150932,|
5,1,1,1,8,3,182,348,58,34,11.92691,Beem)
5,1,1,1,8,4,266,354,90,18,72.786339,Warzone
5,1,1,1,8,5,362,353,68,19,89.048859,#1301
5,1,1,1,8,6,525,333,123,25,0.0,SLEBAOS
5,1,1,1,9,1,143,441,5,10,0.0,","
5,1,1,1,9,2,244,427,4,3,3.149521,.
5,1,1,1,10,1,266,440,204,34,88.220139,[AC1D]PanfletoBR
5,1,1,1,10,2,567,467,19,7,67.671936,=
5,1,1,1,11,1,63,461,42,27,54.129105,7
5,1,1,1,11,2,137,417,120,114,22.705849,Ly
5,1,1,1,11,3,266,483,90,18,96.521263,Warzone
5,1,1,1,11,4,362,483,69,18,95.286957,#1309
5,1,1,1,11,5,532,462,117,26,25.884911,DEERE
5,1,1,1,12,1,62,591,45,26,95.214653,78
5,1,1,1,12,2,160,566,72,41,34.300705,FERRY
5,1,1,1,12,3,266,574,231,25,19.464493,[USA1]TheTrumpster
5,1,1,1,12,4,526,593,121,19,0.0,aoansce
5,1,1,1,13,1,150,606,90,35,2.252869,eee)
5,1,1,1,13,2,266,612,90,18,73.646011,Warzone
5,1,1,1,13,3,362,612,65,18,96.34597,#1315
5,1,1,1,13,4,524,591,124,26,0.0,230.6/355)
5,1,1,1,14,1,142,699,26,11,48.56337,wy
5,1,1,1,14,2,244,685,4,4,47.009377,‘
5,1,1,1,14,3,378,703,5,4,54.587204,.
5,1,1,1,15,1,266,699,63,36,16.485176,[MGC]
5,1,1,1,15,2,334,699,61,36,16.485176,Magic
5,1,1,1,15,3,402,704,73,25,96.759781,Money
5,1,1,1,16,1,62,720,44,27,90.623924,79
5,1,1,1,16,2,137,676,120,114,54.730988,Bed
5,1,1,1,16,3,266,738,87,32,96.124275,Warzone
5,1,1,1,16,4,363,738,66,32,91.704742,#1314
5,1,1,1,16,5,529,723,51,19,0.0,EL
5,1,1,1,16,6,604,723,19,19,0.0,eeel
5,1,1,1,17,1,161,824,68,29,40.691051,ERASE
5,1,1,1,17,2,266,835,115,25,0.0,[eornivn
5,1,1,1,17,3,390,836,35,20,88.391197,Gia
5,1,1,1,17,4,433,834,43,22,77.11026,Han
5,1,1,1,18,1,61,849,46,27,89.014786,80
5,1,1,1,18,2,150,857,90,35,12.421509,FT
5,1,1,1,18,3,266,871,90,18,11.394463,warzone
5,1,1,1,18,4,362,871,64,18,85.402542,#1311
5,1,1,1,18,5,527,852,121,22,0.0,ELEY)
5,1,1,1,19,1,143,958,25,12,69.149429,wr
5,1,1,1,19,2,199,936,15,46,93.174911,if
5,1,1,1,19,3,240,944,13,22,0.394608,«
5,1,1,1,19,4,266,966,20,6,17.822998,—
5,1,1,1,19,5,317,961,40,11,0.0,eT
5,1,1,1,19,6,370,961,16,11,0.0,A
5,1,1,1,19,7,394,961,84,11,3.774139,TL
5,1,1,1,20,1,147,983,26,31,41.136471,e
5,1,1,1,20,2,183,989,37,22,96.921432,Top
5,1,1,1,20,3,228,989,12,17,96.593971,8
5,1,1,1,20,4,249,988,76,23,96.18734,Players
5,1,1,1,20,5,332,988,87,18,96.161575,Advance
5,1,1,1,20,6,426,990,20,16,96.323364,to
5,1,1,1,20,7,454,988,33,18,96.641953,the
5,1,1,1,20,8,494,988,106,18,96.076927,Semi-final
