level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,68.724228,8
5,1,1,1,3,2,137,135,64,30,0.0,i..%
5,1,1,1,3,3,209,140,29,41,0.0,¥!
5,1,1,1,3,4,258,160,257,26,63.60614,[FEnx]BombBabyBomb
5,1,1,1,4,1,47,167,55,66,3.187775,St
5,1,1,1,4,2,137,153,25,85,40.000648,|:
5,1,1,1,4,3,172,156,67,83,53.965096,A
5,1,1,1,4,4,258,199,90,18,96.849586,Warzone
5,1,1,1,4,5,354,199,65,18,96.041443,#1315
5,1,1,1,4,6,510,168,128,59,0.0,SREBUIER
5,1,1,1,4,7,652,168,34,59,74.236717,Gy
5,1,1,1,5,1,2,255,26,31,83.403961,8
5,1,1,1,5,2,134,267,94,109,21.012985,|
5,1,1,1,5,3,258,285,145,35,40.319141,[IXONJAXGL
5,1,1,1,6,1,52,296,51,60,0.0,27
5,1,1,1,6,2,141,339,9,15,0.0,A.
5,1,1,1,6,3,258,328,90,18,96.547928,Warzone
5,1,1,1,6,4,354,328,64,18,96.040016,#1311
5,1,1,1,6,5,515,307,126,26,20.855309,BV
5,1,1,1,6,6,649,297,41,59,53.008316,oY
5,1,1,1,7,1,2,384,26,32,66.488068,@
5,1,1,1,7,2,134,416,6,11,18.553986,.
5,1,1,1,7,3,341,418,22,13,69.281021,a
5,1,1,1,8,1,52,428,48,45,62.071957,6
5,1,1,1,8,2,128,396,118,106,37.620693,EP
5,1,1,1,8,3,258,418,216,58,31.056686,re
5,1,1,1,8,4,649,430,37,38,39.505547,same
5,1,1,1,9,1,2,514,26,31,54.880772,a
5,1,1,1,9,2,140,525,103,33,39.00021,Ant
5,1,1,1,10,1,135,544,56,30,0.0,WA
5,1,1,1,10,2,199,547,7,11,0.0,\\
5,1,1,1,10,3,258,547,186,31,19.330994,[WEASEL
5,1,1,1,10,4,446,543,80,53,15.805321,FRE
5,1,1,1,10,5,548,543,98,53,0.0,oan
5,1,1,1,11,1,65,565,23,27,95.678886,4
5,1,1,1,11,2,129,544,118,91,49.023975,fey
5,1,1,1,11,3,258,579,90,36,96.389702,Warzone
5,1,1,1,11,4,354,558,71,57,77.377701,#1304
5,1,1,1,11,5,476,563,7,12,28.60894,en
5,1,1,1,11,6,508,568,132,22,17.144669,EARS
5,1,1,1,11,7,649,556,41,59,41.955582,bY
5,1,1,1,12,1,2,643,26,31,80.257248,@
5,1,1,1,12,2,140,655,103,32,28.315979,atte
5,1,1,1,13,1,135,675,53,16,15.852654,ese
5,1,1,1,13,2,212,684,15,3,32.361137,"—-"""
5,1,1,1,13,3,258,677,105,26,43.933826,[NHI]Linh
5,1,1,1,13,4,371,677,53,21,39.838863,Miéu
5,1,1,1,13,5,560,701,6,7,0.0,.
5,1,1,1,13,6,622,705,1,3,0.0,'
5,1,1,1,14,1,67,695,19,26,95.334747,5
5,1,1,1,14,2,129,689,117,76,55.435047,Sow
5,1,1,1,14,3,258,716,90,18,95.33728,Warzone
5,1,1,1,14,4,354,716,68,18,96.693626,#1307
5,1,1,1,14,5,649,690,37,37,0.0,7
5,1,1,1,15,1,2,772,25,32,26.165802,®
5,1,1,1,15,2,231,788,165,46,0.0,Tenves
5,1,1,1,15,3,686,762,5,3,74.780685,|
5,1,1,1,16,1,258,808,117,29,43.145298,[EvMU]223Z®
5,1,1,1,16,2,433,812,59,20,91.043678,Miika
5,1,1,1,17,1,65,824,22,27,80.463379,6
5,1,1,1,17,2,128,779,112,107,1.957588,le
5,1,1,1,17,3,258,846,90,18,96.223694,Warzone
5,1,1,1,17,4,354,846,67,18,96.884918,#1314
5,1,1,1,17,5,512,827,127,22,0.0,TAURI
5,1,1,1,17,6,649,815,41,59,3.503273,yj
5,1,1,1,18,1,137,865,105,24,27.35051,ES)
5,1,1,1,18,2,686,891,5,3,2.269333,.
5,1,1,1,19,1,2,902,26,31,3.663239,g
5,1,1,1,19,2,236,919,4,3,0.0,.
5,1,1,1,20,1,66,954,20,19,93.250008,7
5,1,1,1,20,2,135,910,108,67,12.433823,TY
5,1,1,1,20,3,258,936,117,25,0.0,[C69]2425
5,1,1,1,20,4,384,936,64,21,0.0,NIKKO
5,1,1,1,20,5,456,937,32,20,0.0,HP
5,1,1,1,20,6,506,922,60,55,9.790237,oo
5,1,1,1,20,7,597,922,47,55,20.093407,can
5,1,1,1,21,1,139,984,26,31,41.136471,e
5,1,1,1,21,2,175,990,37,22,96.817154,Top
5,1,1,1,21,3,220,990,12,17,96.338722,8
5,1,1,1,21,4,241,989,76,23,96.338722,Players
5,1,1,1,21,5,324,989,87,18,96.161293,Advance
5,1,1,1,21,6,418,991,20,16,95.84539,to
5,1,1,1,21,7,446,989,33,18,95.84539,the
5,1,1,1,21,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,21,9,617,1018,12,1,0.0,/
