level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,163,204,38,42,35.884552,ak
5,1,1,1,3,2,266,209,79,25,25.358963,[Waku]
5,1,1,1,3,3,359,199,45,53,25.358963,#38
5,1,1,1,3,4,412,199,124,53,19.682709,—kagurags
5,1,1,1,3,5,553,199,98,53,0.0,pyacag
5,1,1,1,4,1,61,221,47,27,94.972641,64
5,1,1,1,4,2,147,202,8,60,53.482224,|
5,1,1,1,4,3,164,233,34,34,30.517799,=
5,1,1,1,4,4,221,206,23,76,73.631714,j
5,1,1,1,4,5,266,243,90,18,64.400787,Warzone
5,1,1,1,4,6,362,243,68,18,96.831146,#1303
5,1,1,1,4,7,512,224,80,22,0.0,ee
5,1,1,1,4,8,612,224,35,22,18.513496,ae
5,1,1,1,5,1,185,342,16,19,48.357319,.
5,1,1,1,5,2,266,333,74,26,46.18631,[DRAW
5,1,1,1,5,3,352,329,157,52,0.0,}ooonconnde
5,1,1,1,5,4,521,329,49,52,0.0,spon
5,1,1,1,5,5,578,329,74,52,0.0,"RUE,"
5,1,1,1,6,1,61,351,46,26,95.84269,65
5,1,1,1,6,2,147,331,97,80,42.958153,Cy
5,1,1,1,6,3,266,372,90,18,95.99659,Warzone
5,1,1,1,6,4,362,372,64,18,96.074509,#1311
5,1,1,1,6,5,519,353,129,22,6.510323,Hythe
5,1,1,1,6,6,625,349,26,51,17.01046,88
5,1,1,1,7,1,61,480,47,27,96.413544,66
5,1,1,1,7,2,167,458,57,38,18.624466,RE
5,1,1,1,7,3,266,463,149,26,0.0,[e3arjElemag
5,1,1,1,8,1,150,496,16,18,68.548065,Ie
5,1,1,1,8,2,239,496,1,18,6.859291,]
5,1,1,1,8,3,266,502,90,18,95.922821,Warzone
5,1,1,1,8,4,362,502,70,18,96.287498,#1308
5,1,1,1,8,5,542,497,56,8,0.0,~
5,1,1,1,9,1,140,582,2,6,42.717747,GR
5,1,1,1,9,2,350,592,146,28,0.0,russzenxn
5,1,1,1,10,1,266,597,82,25,0.0,[TW66}
5,1,1,1,11,1,62,609,45,27,96.717781,67
5,1,1,1,11,2,227,643,19,18,12.258301,"p>,"
5,1,1,1,11,3,266,631,90,18,81.976044,Warzone
5,1,1,1,11,4,362,631,68,18,96.469414,#1307
5,1,1,1,11,5,513,612,81,22,0.0,TWEE
5,1,1,1,11,6,598,612,49,22,0.0,YATS
5,1,1,1,12,1,223,727,5,4,0.0,“it
5,1,1,1,12,2,266,722,166,26,39.864395,[DVMTJNguyén
5,1,1,1,12,3,440,722,54,20,69.740082,Wolf
5,1,1,1,12,4,504,718,26,51,30.585411,A
5,1,1,1,12,5,550,718,103,51,0.0,aaaAeRa
5,1,1,1,13,1,61,739,47,26,95.095291,68
5,1,1,1,13,2,212,724,31,75,41.278111,4
5,1,1,1,13,3,266,761,90,18,96.704514,Warzone
5,1,1,1,13,4,362,761,67,17,95.829422,#1314
5,1,1,1,13,5,512,741,136,23,10.522766,HOSA
5,1,1,1,14,1,143,848,5,10,36.628609,","
5,1,1,1,14,2,244,834,4,3,0.0,.
5,1,1,1,15,1,266,850,228,31,38.91407,[GLOW]Glow
5,1,1,1,15,2,418,846,43,39,25.655106,OFS
5,1,1,1,15,3,473,846,23,39,79.785812,44
5,1,1,1,16,1,61,868,47,27,96.274055,69
5,1,1,1,16,2,137,824,120,114,28.144547,Kz
5,1,1,1,16,3,266,890,90,18,96.212433,Warzone
5,1,1,1,16,4,362,890,70,18,95.014214,#1306
5,1,1,1,16,5,513,871,133,22,0.0,AYERS
5,1,1,1,17,1,145,960,100,12,18.657135,——————a
5,1,1,1,18,1,147,983,26,31,41.136471,e
5,1,1,1,18,2,183,989,37,22,96.921432,Top
5,1,1,1,18,3,228,989,12,17,96.593971,8
5,1,1,1,18,4,249,988,76,23,96.18734,Players
5,1,1,1,18,5,332,988,87,18,96.161575,Advance
5,1,1,1,18,6,426,990,20,16,96.323364,to
5,1,1,1,18,7,454,988,33,18,96.641953,the
5,1,1,1,18,8,494,988,106,18,96.076927,Semi-final
