level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,55,140,30,6,28.894165,a
5,1,1,1,3,2,132,129,2,3,28.894165,|
5,1,1,1,3,3,252,125,140,35,38.877365,[GLOR]Midra
5,1,1,1,3,4,594,153,5,4,0.0,235)
5,1,1,1,3,5,647,141,30,13,37.197224,wy
5,1,1,1,4,1,46,140,48,44,77.361855,&
5,1,1,1,4,2,125,124,31,92,53.879505,|
5,1,1,1,4,3,194,128,39,84,66.878639,4
5,1,1,1,4,4,252,164,87,32,96.353745,Warzone
5,1,1,1,4,5,352,164,65,32,96.081444,#1302
5,1,1,1,4,6,500,143,129,53,0.0,BEVOEEE
5,1,1,1,4,7,645,143,35,53,49.931873,ty
5,1,1,1,5,1,0,228,22,28,64.454964,=
5,1,1,1,5,2,129,256,4,8,49.998314,""""
5,1,1,1,5,3,252,259,226,25,48.884895,[AC1D]iLLestbigshot
5,1,1,1,6,1,328,264,139,21,53.75824,iLLestbigshot
5,1,1,1,6,2,571,283,56,10,0.0,oa
5,1,1,1,7,1,59,276,23,26,94.613075,4
5,1,1,1,7,2,124,318,2,3,0.0,F
5,1,1,1,7,3,252,298,90,18,96.101952,Warzone
5,1,1,1,7,4,348,297,69,19,95.051003,#1309
5,1,1,1,7,5,498,273,137,52,2.471207,Sema
5,1,1,1,7,6,639,267,44,58,18.559265,oy?
5,1,1,1,8,1,129,374,71,19,0.0,F
5,1,1,1,8,2,252,388,128,25,0.0,ivcrpustro
5,1,1,1,9,1,198,404,17,7,20.255005,=
5,1,1,1,9,2,275,393,134,21,43.251183,sTJustTOny
5,1,1,1,9,3,522,406,25,16,0.0,SER
5,1,1,1,9,4,589,406,40,10,0.0,OT
5,1,1,1,10,1,61,406,19,26,93.857719,5
5,1,1,1,10,2,252,423,87,32,96.429291,Warzone
5,1,1,1,10,3,349,427,69,18,96.306023,#1306
5,1,1,1,10,4,508,406,126,26,31.713631,ERED
5,1,1,1,11,1,149,452,74,22,26.785316,fetish
5,1,1,1,11,2,680,473,4,3,59.909012,.
5,1,1,1,12,1,0,488,22,27,42.3853,=
5,1,1,1,12,2,129,515,3,7,26.091545,'
5,1,1,1,12,3,252,518,71,25,62.39798,[NHIJc
5,1,1,1,12,4,348,519,29,19,58.317268,03
5,1,1,1,13,1,59,535,22,26,95.348671,6
5,1,1,1,13,2,124,577,28,6,17.668297,re.
5,1,1,1,13,3,252,556,90,18,96.498428,Warzone
5,1,1,1,13,4,348,556,68,18,96.498428,#1307
5,1,1,1,13,5,504,536,131,25,16.425583,TREES
5,1,1,1,14,1,0,614,22,30,60.079762,=
5,1,1,1,14,2,128,622,89,89,51.942863,fr
5,1,1,1,14,3,252,647,215,25,22.746674,[A10W)]Provthedud
5,1,1,1,15,1,174,662,20,19,0.0,",t"
5,1,1,1,15,2,354,652,127,15,21.641754,rovtnedude
5,1,1,1,15,3,512,665,99,17,3.391815,ye:
5,1,1,1,15,4,587,657,28,29,28.717964,Gye
5,1,1,1,16,1,60,664,20,26,96.428711,7
5,1,1,1,16,2,135,697,16,17,0.0,t
5,1,1,1,16,3,166,626,60,88,18.656509,iN
5,1,1,1,16,4,252,670,86,45,89.423477,Warzone
5,1,1,1,16,5,349,686,64,18,96.435501,#1312
5,1,1,1,16,6,498,665,136,26,0.0,BRAERERTD
5,1,1,1,17,1,0,739,25,50,46.025444,=]
5,1,1,1,17,2,129,774,3,7,12.96962,","
5,1,1,1,17,3,178,763,2,2,44.062366,x
5,1,1,1,17,4,230,759,3,3,64.049469,‘
5,1,1,1,17,5,346,772,11,10,43.852085,x
5,1,1,1,18,1,252,776,120,39,44.029381,PXINNJRam
5,1,1,1,18,2,386,780,87,27,68.824646,Thang?
5,1,1,1,18,3,517,794,33,12,0.0,esc
5,1,1,1,18,4,581,794,35,17,25.81517,ce
5,1,1,1,18,5,648,789,28,12,48.172958,ot
5,1,1,1,19,1,59,793,23,27,95.711357,8
5,1,1,1,19,2,252,815,90,18,95.717804,Warzone
5,1,1,1,19,3,348,815,64,18,95.112892,#1311
5,1,1,1,19,4,506,795,129,25,23.372322,REESE
5,1,1,1,19,5,639,796,44,47,71.049973,‘uf
5,1,1,1,20,1,150,833,71,31,25.811241,"""glen"
5,1,1,1,20,2,680,861,4,3,21.040802,.
5,1,1,1,21,1,138,883,83,36,24.453461,‘ania
5,1,1,1,22,1,132,909,14,28,83.516487,\
5,1,1,1,22,2,217,909,14,27,30.729263,y)
5,1,1,1,22,3,252,906,241,25,34.390984,[ENDLJSamuraiSamSa
5,1,1,1,22,4,518,924,32,16,8.594559,SER
5,1,1,1,22,5,587,924,40,16,33.388321,THE
5,1,1,1,23,1,59,923,22,26,59.907265,9
5,1,1,1,23,2,133,929,13,21,36.847172,x
5,1,1,1,23,3,218,927,13,23,56.961475,4
