level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,143,125,105,31,35.567917,oar
5,1,1,1,3,2,266,141,194,25,51.377529,[TLROJsamalapoli
5,1,1,1,4,1,192,152,14,26,19.027344,4
5,1,1,1,4,2,420,147,12,20,89.595261,P
5,1,1,1,5,1,63,159,42,26,71.905563,77
5,1,1,1,5,2,138,139,70,67,84.360657,Ay
5,1,1,1,5,3,219,181,24,27,25.704666,"ih,"
5,1,1,1,5,4,266,171,90,41,81.797974,Warzone
5,1,1,1,5,5,365,171,61,41,96.085213,#1313
5,1,1,1,5,6,532,161,48,22,0.0,SSH
5,1,1,1,5,7,603,157,43,53,0.0,END
5,1,1,1,6,1,152,209,80,12,11.155235,rN
5,1,1,1,7,1,187,277,21,15,0.0,.
5,1,1,1,7,2,266,270,170,27,50.267387,[ScVNJLyKhanh
5,1,1,1,8,1,62,288,45,26,94.749268,78
5,1,1,1,8,2,150,300,90,38,20.225754,"ERA,"
5,1,1,1,8,3,266,310,90,18,93.865166,Warzone
5,1,1,1,8,4,362,309,68,19,95.477592,#1301
5,1,1,1,8,5,532,289,117,25,0.0,SRIAEG
5,1,1,1,9,1,144,378,80,21,30.044563,Cae
5,1,1,1,10,1,147,396,84,27,14.689056,Fiat
5,1,1,1,10,2,266,399,238,31,0.0,(Oudu]
5,1,1,1,10,3,368,392,39,51,5.018242,A
5,1,1,1,10,4,436,392,35,51,0.0,aRh
5,1,1,1,11,1,151,422,2,12,43.562744,\
5,1,1,1,11,2,383,421,4,6,20.678833,.
5,1,1,1,11,3,529,418,120,26,0.0,i99:170
5,1,1,1,11,4,620,414,32,37,56.694687,64)
5,1,1,1,12,1,62,417,44,27,72.745583,79
5,1,1,1,12,2,156,423,23,28,0.0,@
5,1,1,1,12,3,230,444,13,21,69.20237,Fy
5,1,1,1,12,4,266,439,90,18,93.415962,Warzone
5,1,1,1,12,5,362,439,67,18,96.112511,#1314
5,1,1,1,12,6,594,420,54,22,31.59108,ad
5,1,1,1,13,1,151,464,89,13,7.796677,Sots
5,1,1,1,14,1,207,530,6,19,18.299477,hf
5,1,1,1,14,2,266,530,214,25,49.185661,[S00E]Vinces2100
5,1,1,1,15,1,155,518,21,79,61.981567,P
5,1,1,1,15,2,192,518,44,53,3.444817,S|
5,1,1,1,16,1,61,547,46,26,94.336983,80
5,1,1,1,16,2,266,568,90,18,96.006844,Warzone
5,1,1,1,16,3,362,568,64,18,96.75441,#1313
5,1,1,1,16,4,531,549,49,22,21.206985,SSE
5,1,1,1,16,5,603,549,43,22,0.0,eae
5,1,1,1,17,1,266,659,156,25,42.916203,[D500)]BarTar
5,1,1,1,18,1,182,678,34,8,28.127968,ee
5,1,1,1,19,1,66,676,36,27,93.134415,81
5,1,1,1,19,2,150,648,16,79,41.850357,[
5,1,1,1,19,3,224,648,16,79,78.697037,|
5,1,1,1,19,4,266,688,87,39,96.000641,Warzone
5,1,1,1,19,5,366,698,65,18,96.77179,#1302
5,1,1,1,19,6,527,679,103,19,23.368782,Bea
5,1,1,1,20,1,266,784,171,33,89.839081,[SoFS]Doremob
5,1,1,1,20,2,519,784,74,52,4.627869,gana
5,1,1,1,20,3,601,784,48,52,0.0,as@
5,1,1,1,21,1,62,805,45,27,93.615334,82
5,1,1,1,21,2,150,792,59,64,0.0,\S
5,1,1,1,21,3,222,785,18,54,92.036423,\
5,1,1,1,21,4,266,817,86,37,82.367783,Warzone
5,1,1,1,21,5,363,817,66,37,95.824074,#1314
5,1,1,1,21,6,525,804,59,50,0.0,SYseR
5,1,1,1,21,7,604,808,42,22,20.482399,ia
5,1,1,1,22,1,215,923,11,5,83.476753,=;
5,1,1,1,22,2,266,918,198,26,61.879272,[MSLY]Enasty242
5,1,1,1,22,3,562,945,1,3,12.822525,;
5,1,1,1,22,4,614,942,2,3,30.285324,","
5,1,1,1,23,1,62,935,45,26,71.867065,83
5,1,1,1,23,2,141,895,112,77,54.45261,_
5,1,1,1,23,3,266,957,90,15,20.853165,Warzone
5,1,1,1,23,4,362,956,69,16,94.292686,#1309
5,1,1,1,24,1,147,983,26,31,41.136471,e
5,1,1,1,24,2,183,989,37,22,96.921432,Top
5,1,1,1,24,3,228,989,12,17,96.593971,8
5,1,1,1,24,4,249,988,76,23,96.18734,Players
5,1,1,1,24,5,332,988,87,18,96.161575,Advance
5,1,1,1,24,6,426,990,20,16,96.323364,to
5,1,1,1,24,7,454,988,33,18,96.641953,the
5,1,1,1,24,8,494,988,106,18,96.076927,Semi-final
