level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,147,125,80,22,19.738342,ee
5,1,1,1,3,2,258,125,382,32,0.0,LRUraIPPYONGS
5,1,1,1,3,3,461,115,16,46,26.372902,I
5,1,1,1,3,4,484,115,39,46,9.788834,Mh
5,1,1,1,3,5,545,115,35,46,42.224342,ong
5,1,1,1,3,6,591,115,51,46,7.088058,asa)
5,1,1,1,4,1,65,131,22,26,94.437668,6
5,1,1,1,4,2,129,136,113,61,29.206543,ay
5,1,1,1,4,3,258,153,90,18,96.22876,Warzone
5,1,1,1,4,4,354,152,65,18,94.325027,#1312
5,1,1,1,4,5,509,133,129,22,0.0,BEER
5,1,1,1,5,1,2,209,26,31,39.383984,@
5,1,1,1,5,2,236,225,81,19,87.668938,Mason's
5,1,1,1,5,3,325,226,38,18,96.56601,Gift
5,1,1,1,5,4,370,226,92,18,96.571022,received!
5,1,1,1,6,1,148,261,46,20,19.736519,Lied
5,1,1,1,6,2,218,263,6,17,69.702332,ad
5,1,1,1,6,3,391,263,4,1,0.0,;
5,1,1,1,6,4,512,263,82,18,43.818733,"117,819"
5,1,1,1,6,5,622,263,3,8,24.924835,6
5,1,1,1,7,1,139,262,96,59,37.816467,yoy
5,1,1,1,7,2,258,282,90,18,96.439224,Warzone
5,1,1,1,7,3,354,282,70,18,96.771423,#1308
5,1,1,1,7,4,539,263,100,22,0.0,TEES
5,1,1,1,7,5,649,255,37,38,59.332359,Gy
5,1,1,1,8,1,2,338,26,31,55.394939,8
5,1,1,1,8,2,141,351,65,33,0.0,ae
5,1,1,1,8,3,258,372,173,26,12.517746,[ououjshs2525
5,1,1,1,9,1,144,378,25,25,45.897202,>
5,1,1,1,9,2,283,378,92,15,39.280735,ie
5,1,1,1,10,1,65,389,23,27,96.179825,8
5,1,1,1,10,2,142,403,49,45,22.779709,oe
5,1,1,1,10,3,201,366,39,74,47.238625,i;
5,1,1,1,10,4,258,411,90,18,76.345078,Warzone
5,1,1,1,10,5,354,411,67,18,95.646606,#1314
5,1,1,1,10,6,510,392,130,22,9.441719,TEBE
5,1,1,1,11,1,258,502,137,25,1.68354,[VARQ]3zxhi
5,1,1,1,12,1,509,522,82,22,22.207405,11899
5,1,1,1,12,2,611,522,28,18,60.587204,61028)
5,1,1,1,13,1,65,519,22,27,54.898487,9
5,1,1,1,13,2,131,477,114,112,0.0,-
5,1,1,1,13,3,258,541,90,18,96.51178,Warzone
5,1,1,1,13,4,354,541,64,18,96.770142,#1313
5,1,1,1,13,5,594,522,14,19,62.607361,a
5,1,1,1,13,6,649,510,41,59,3.71357,nj
5,1,1,1,14,1,135,628,5,11,34.636337,","
5,1,1,1,14,2,236,614,4,3,0.0,.
5,1,1,1,15,1,258,631,145,25,42.970917,[TQOAK]Beach
5,1,1,1,15,2,412,632,80,20,96.864807,Brewer
5,1,1,1,15,3,504,627,139,52,0.0,SYERSOD
5,1,1,1,16,1,56,648,39,27,95.978195,10
5,1,1,1,16,2,129,609,114,106,45.056156,gx
5,1,1,1,16,3,258,662,87,35,96.128975,Warzone
5,1,1,1,16,4,356,670,66,18,96.830612,#1301
5,1,1,1,16,5,509,651,74,22,27.93792,SEB
5,1,1,1,16,6,592,651,46,22,42.462112,SOD
5,1,1,1,16,7,649,643,37,38,0.0,7
5,1,1,1,17,1,231,742,10,13,9.096817,y
5,1,1,1,17,2,258,761,113,25,9.096817,(SOF]Dark
5,1,1,1,17,3,594,779,47,23,22.699265,253
5,1,1,1,18,1,265,762,92,19,31.544327,SOF]Darl
5,1,1,1,18,2,372,758,155,50,0.0,Passenger7eR
5,1,1,1,18,3,547,758,46,50,28.53743,aay)
5,1,1,1,19,1,61,778,29,26,9.757317,LL
5,1,1,1,19,2,219,811,19,7,68.440399,™
5,1,1,1,19,3,258,792,89,35,96.539558,Warzone
5,1,1,1,19,4,357,799,67,19,95.510139,#1306
5,1,1,1,19,5,511,780,77,22,8.059982,sat
5,1,1,1,20,1,135,887,5,10,36.628609,","
5,1,1,1,20,2,236,873,4,3,0.0,.
5,1,1,1,21,1,254,885,170,46,0.0,[TWAT
5,1,1,1,21,2,511,885,83,52,2.911102,SALTER
5,1,1,1,21,3,597,885,49,52,2.911102,ZER
5,1,1,1,22,1,57,907,37,26,91.147202,12
5,1,1,1,22,2,129,867,114,106,53.527275,ta
5,1,1,1,22,3,258,929,90,18,96.576355,Warzone
5,1,1,1,22,4,354,929,68,18,96.598801,#1307
5,1,1,1,23,1,139,984,26,31,41.136471,e
5,1,1,1,23,2,175,990,37,22,96.817154,Top
5,1,1,1,23,3,220,990,12,17,96.338722,8
5,1,1,1,23,4,241,989,76,23,96.338722,Players
5,1,1,1,23,5,324,989,87,18,96.161293,Advance
5,1,1,1,23,6,418,991,20,16,95.84539,to
5,1,1,1,23,7,446,989,33,18,95.84539,the
5,1,1,1,23,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,23,9,617,1018,12,1,0.0,/
