level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,2,126,26,31,39.859104,Q
5,1,1,1,3,2,184,143,56,5,38.576092,Athi
5,1,1,1,4,1,52,171,49,16,39.146706,ey.
5,1,1,1,4,2,134,151,84,37,38.8424,Weal”
5,1,1,1,4,3,258,160,135,26,0.0,Dvipad
5,1,1,1,4,4,383,147,14,51,85.802475,k
5,1,1,1,5,1,51,171,51,41,0.0,a
5,1,1,1,5,2,129,192,106,35,4.636795,Agee
5,1,1,1,5,3,261,188,87,43,73.199692,Warzone
5,1,1,1,5,4,357,188,65,43,96.293831,#1307
5,1,1,1,5,5,503,168,133,59,0.0,OBYBGETER
5,1,1,1,5,6,650,168,40,59,47.007618,fay
5,1,1,1,6,1,144,227,80,12,41.444115,rd
5,1,1,1,7,1,2,255,26,31,83.27108,Q
5,1,1,1,7,2,138,265,100,24,0.0,~~
5,1,1,1,8,1,89,301,2,4,22.271339,.
5,1,1,1,8,2,162,284,50,21,56.119514,4
5,1,1,1,9,1,56,301,42,8,59.316479,2)
5,1,1,1,9,2,134,262,107,115,39.419498,I
5,1,1,1,9,3,180,300,47,18,0.0,e]|
5,1,1,1,9,4,258,288,137,31,21.139839,(Hatolt
5,1,1,1,9,5,375,284,22,63,67.678635,x
5,1,1,1,10,1,48,296,56,51,7.681007,C27
5,1,1,1,10,2,137,283,102,86,34.779068,|
5,1,1,1,10,3,258,328,90,19,54.469357,Warcone
5,1,1,1,10,4,354,328,69,19,91.075356,#1305
5,1,1,1,10,5,501,309,137,22,7.218254,IROOASEO
5,1,1,1,10,6,649,301,37,38,35.730537,Ey
5,1,1,1,11,1,2,384,26,32,56.956871,8
5,1,1,1,11,2,147,408,18,79,66.134117,J
5,1,1,1,11,3,258,418,128,26,84.521439,[Msz]kufuki
