level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.876602,Seeded
5,1,1,1,1,3,171,30,65,24,96.987259,Player
5,1,1,1,2,1,0,67,204,51,21.408768,Ranking
5,1,1,1,2,2,267,67,201,51,59.636375,Commander
5,1,1,1,2,3,552,67,35,51,58.295334,Kil
5,1,1,1,2,4,599,67,115,51,72.364212,Score
5,1,1,1,3,1,16,118,130,38,22.34346,ee
5,1,1,1,4,1,143,188,5,10,8.863678,n
5,1,1,1,4,2,244,173,4,3,18.074661,i
5,1,1,1,4,3,469,185,10,5,0.0,-
5,1,1,1,5,1,266,190,107,26,0.0,reo
5,1,1,1,5,2,466,192,16,19,55.57695,a
5,1,1,1,6,1,61,208,46,26,93.498955,80
5,1,1,1,6,2,137,164,120,114,0.0,ge
5,1,1,1,6,3,266,229,90,18,94.616837,Warzone
5,1,1,1,6,4,362,229,65,18,89.188408,#1342
5,1,1,1,6,5,527,210,69,22,0.0,SOR
5,1,1,1,6,6,607,210,40,22,0.0,IS
5,1,1,1,7,1,142,316,26,12,50.995522,we
5,1,1,1,7,2,244,302,4,4,47.009377,‘
5,1,1,1,7,3,425,320,5,4,2.773476,.
5,1,1,1,7,4,489,320,4,4,52.909073,.
5,1,1,1,8,1,66,337,36,27,80.291832,81
5,1,1,1,8,2,266,320,98,25,50.504868,[PXINN]St
5,1,1,1,8,3,371,320,148,26,75.696983,EveningSkies
5,1,1,1,8,4,527,340,120,22,8.648544,agaana
5,1,1,1,9,1,138,370,14,14,17.923996,on
5,1,1,1,9,2,266,359,90,18,96.005325,Warzone
5,1,1,1,9,3,362,359,64,18,95.998741,#1311
5,1,1,1,9,4,521,334,127,50,0.0,SEEOIES
5,1,1,1,10,1,266,445,191,34,42.367786,[A10W]Tash1312
5,1,1,1,11,1,62,466,45,27,92.240234,82
5,1,1,1,11,2,141,425,103,112,0.0,FE}
5,1,1,1,11,3,266,488,90,18,96.272812,Warzone
5,1,1,1,11,4,362,488,65,18,96.272812,#1312
5,1,1,1,11,5,526,467,66,26,9.202644,BBS
5,1,1,1,11,6,603,463,50,49,9.816742,30)
5,1,1,1,12,1,167,566,44,31,58.648052,ay
5,1,1,1,13,1,62,596,45,26,95.013962,83
5,1,1,1,13,2,142,554,99,92,18.817017,[<a
5,1,1,1,13,3,262,572,76,37,59.298256,[VsT]IK
5,1,1,1,13,4,363,580,32,19,7.440758,AK
5,1,1,1,13,5,410,580,94,19,7.440758,AROT
5,1,1,1,14,1,149,613,72,37,25.024406,ea
5,1,1,1,14,2,266,618,90,18,81.709541,Warzone
5,1,1,1,14,3,362,617,70,19,95.918663,#1306
5,1,1,1,15,1,175,714,38,29,82.570023,ME
5,1,1,1,15,2,266,708,121,25,26.905945,[BOss)Mita
5,1,1,1,15,3,395,708,72,21,89.609169,Rezeki
5,1,1,1,15,4,561,732,22,6,37.016201,=
5,1,1,1,16,1,61,725,47,27,87.899521,84
5,1,1,1,16,2,150,741,2,18,40.612961,|
5,1,1,1,16,3,239,741,1,18,0.0,)
5,1,1,1,16,4,266,747,90,18,96.024658,Warzone
5,1,1,1,16,5,362,747,66,18,94.964218,#1310
5,1,1,1,16,6,523,726,71,26,0.0,BER
5,1,1,1,16,7,602,728,45,22,0.0,OVB
5,1,1,1,17,1,61,855,46,26,83.347916,85
5,1,1,1,17,2,147,836,36,47,44.924751,[5
5,1,1,1,17,3,194,835,33,43,84.752289,¥
5,1,1,1,17,4,266,837,133,26,58.927307,[AC1D]Ocoh
5,1,1,1,17,5,407,839,28,19,96.884521,its
5,1,1,1,17,6,442,839,105,41,68.342247,"HAMMER,"
5,1,1,1,17,7,550,857,96,22,4.782242,argon
5,1,1,1,18,1,147,877,63,19,21.359566,PART
5,1,1,1,18,2,221,871,11,41,33.536598,;
5,1,1,1,18,3,266,876,90,18,95.985046,Warzone
5,1,1,1,18,4,362,876,69,18,96.060005,#1309
5,1,1,1,19,1,147,983,26,31,41.136471,e
5,1,1,1,19,2,183,989,37,22,96.921432,Top
5,1,1,1,19,3,228,989,12,17,96.593971,8
5,1,1,1,19,4,249,988,76,23,96.18734,Players
5,1,1,1,19,5,332,988,87,18,96.161575,Advance
5,1,1,1,19,6,426,990,20,16,96.323364,to
5,1,1,1,19,7,454,988,33,18,96.641953,the
5,1,1,1,19,8,494,988,106,18,96.076927,Semi-final
