level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,266,142,158,25,85.654266,[MSLY]Private
5,1,1,1,3,2,432,142,82,20,96.501709,Wrench
5,1,1,1,4,1,61,159,47,27,95.788986,69
5,1,1,1,4,2,138,120,19,113,0.0,r
5,1,1,1,4,3,203,124,39,105,63.923035,|
5,1,1,1,4,4,266,172,88,38,96.428345,Warzone
5,1,1,1,4,5,366,181,65,18,96.428345,#1309
5,1,1,1,4,6,517,162,79,22,17.000137,HEE
5,1,1,1,4,7,612,162,35,22,29.347122,EIS
5,1,1,1,5,1,62,288,44,27,96.949692,70
5,1,1,1,5,2,147,270,8,47,78.827957,|
5,1,1,1,5,3,266,266,212,34,65.657669,[RVX]AnhTuan194.
5,1,1,1,5,4,517,291,131,19,0.0,MGAREER
5,1,1,1,6,1,147,326,2,3,6.786339,‘
5,1,1,1,6,2,165,305,60,41,24.603203,auth
5,1,1,1,6,3,266,301,87,39,96.350922,Warzone
5,1,1,1,6,4,366,310,64,18,96.695389,#1305
5,1,1,1,6,5,547,306,56,7,31.214188,_
5,1,1,1,7,1,147,394,8,52,37.064709,|
5,1,1,1,7,2,236,389,8,10,0.0,ff
5,1,1,1,7,3,266,405,94,26,0.0,tvoanje
5,1,1,1,7,4,381,406,31,20,84.022797,nho
5,1,1,1,8,1,368,411,12,15,72.82782,r
5,1,1,1,9,1,67,418,34,26,92.107933,n
5,1,1,1,9,2,147,455,2,4,12.993683,:
5,1,1,1,9,3,174,403,70,75,34.87957,i
5,1,1,1,9,4,266,432,86,36,96.223892,Warzone
5,1,1,1,9,5,364,439,66,19,96.311203,#1305
5,1,1,1,9,6,530,420,117,22,0.0,SSELE
5,1,1,1,10,1,143,527,5,10,36.628609,","
5,1,1,1,10,2,244,513,4,3,0.0,.
5,1,1,1,11,1,266,529,160,31,53.755569,[HaLo)
5,1,1,1,11,2,344,525,20,45,41.051945,52
5,1,1,1,11,3,374,529,50,31,49.646141,522%
5,1,1,1,11,4,435,536,14,13,0.0,s
5,1,1,1,11,5,528,548,120,26,0.0,ageneao
5,1,1,1,12,1,63,547,42,27,92.974236,72
5,1,1,1,12,2,137,507,114,106,23.780777,=
5,1,1,1,12,3,266,561,86,36,96.070992,Warzone
5,1,1,1,12,4,364,569,66,18,96.271362,#1305
5,1,1,1,12,5,530,550,116,22,36.418476,SEED
5,1,1,1,13,1,156,647,75,37,14.426178,rman
5,1,1,1,13,2,266,657,184,32,0.0,IDRAWITEnkte
5,1,1,1,13,3,531,678,117,23,25.537636,crn
5,1,1,1,14,1,63,677,42,26,95.883118,73
5,1,1,1,14,2,146,638,48,89,57.932568,j=
5,1,1,1,14,3,234,722,6,5,42.117748,4)
5,1,1,1,14,4,267,690,86,41,92.981461,Warzone
5,1,1,1,14,5,366,698,60,18,94.34668,#1311
5,1,1,1,14,6,533,679,114,22,0.0,DETERS
5,1,1,1,15,1,174,794,51,27,40.730064,RET
5,1,1,1,15,2,266,789,123,26,0.0,[OKAIShjn
5,1,1,1,15,3,396,789,47,26,82.787399,Shin
5,1,1,1,16,1,62,806,45,26,89.512123,74
5,1,1,1,16,2,150,778,90,79,41.049416,34
5,1,1,1,16,3,266,813,88,44,94.420242,Warzone
5,1,1,1,16,4,364,828,66,18,96.774719,#1305
5,1,1,1,16,5,535,807,114,26,0.0,OSTA
5,1,1,1,17,1,266,917,234,31,23.4702,[GLOW]Glow
5,1,1,1,17,2,419,911,46,45,0.0,30]
5,1,1,1,17,3,479,911,23,45,54.684082,4]
5,1,1,1,18,1,62,936,43,26,74.54628,75
5,1,1,1,18,2,147,917,8,47,70.953743,|
5,1,1,1,18,3,266,949,84,33,52.73999,Warzane
5,1,1,1,18,4,363,957,69,15,76.774452,#1306
5,1,1,1,18,5,528,938,118,22,16.594231,CELI
5,1,1,1,19,1,147,983,26,31,41.136471,e
5,1,1,1,19,2,183,989,37,22,96.921432,Top
5,1,1,1,19,3,228,989,12,17,96.593971,8
5,1,1,1,19,4,249,988,76,23,96.18734,Players
5,1,1,1,19,5,332,988,87,18,96.161575,Advance
5,1,1,1,19,6,426,990,20,16,96.323364,to
5,1,1,1,19,7,454,988,33,18,96.641953,the
5,1,1,1,19,8,494,988,106,18,96.076927,Semi-final
