level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,191,121,12,30,23.494476,‘y
5,1,1,1,3,2,214,145,2,3,59.277206,|
5,1,1,1,3,3,258,125,58,16,25.538567,LAINT
5,1,1,1,3,4,328,125,56,16,21.251595,Pies
5,1,1,1,3,5,400,125,57,14,53.608002,sea
5,1,1,1,4,1,65,129,22,26,82.223206,6
5,1,1,1,4,2,130,121,107,81,28.666641,Pe
5,1,1,1,4,3,258,150,90,18,96.479317,Warzone
5,1,1,1,4,4,354,150,64,18,96.50312,#1311
5,1,1,1,4,5,512,130,129,25,32.720291,TAREE
5,1,1,1,5,1,2,206,26,32,23.773178,=
5,1,1,1,5,2,134,238,5,10,0.0,a
5,1,1,1,5,3,174,227,49,58,44.28862,an
5,1,1,1,5,4,236,223,4,4,35.14798,‘
5,1,1,1,5,5,258,240,106,31,0.0,viqi!2!
5,1,1,1,5,6,376,247,41,19,68.476173,Rim
5,1,1,1,6,1,66,258,20,26,96.376305,7
5,1,1,1,6,2,130,243,105,65,29.986786,ea
5,1,1,1,6,3,258,280,90,18,96.573639,Warzone
5,1,1,1,6,4,354,280,69,18,96.243958,#1309
5,1,1,1,6,5,510,255,74,55,33.890671,SAEED
5,1,1,1,6,6,597,255,46,55,33.890671,BOD
5,1,1,1,7,1,144,308,80,12,8.371094,wry:
5,1,1,1,7,2,686,325,5,3,45.287937,.
5,1,1,1,8,1,2,336,26,31,13.29879,e
5,1,1,1,8,2,135,367,5,11,43.191494,""""
5,1,1,1,8,3,212,353,28,20,72.73851,"="""
5,1,1,1,8,4,258,363,87,40,71.484978,[DFTLIH
5,1,1,1,8,5,408,370,61,21,96.635895,Monk
5,1,1,1,9,1,158,377,4,4,69.484451,y
5,1,1,1,9,2,347,376,53,20,90.484085,jagao
5,1,1,1,9,3,427,376,68,20,95.667496,Monkey
5,1,1,1,10,1,65,387,23,27,95.433525,8
5,1,1,1,10,2,129,348,114,106,89.966217,=
5,1,1,1,10,3,258,409,90,18,95.593483,Warzone
5,1,1,1,10,4,354,409,68,18,96.575645,#1301
5,1,1,1,10,5,508,388,133,26,13.336266,TIES
5,1,1,1,11,1,136,478,243,52,0.0,res
5,1,1,1,12,1,144,505,72,28,35.54847,eee
5,1,1,1,12,2,266,505,73,20,29.181282,(BTU)
5,1,1,1,13,1,65,517,22,26,60.874184,s
5,1,1,1,13,2,143,522,9,12,22.924408,|
5,1,1,1,13,3,168,533,67,32,42.183033,meg
5,1,1,1,13,4,258,539,90,18,81.497574,Warzone
5,1,1,1,13,5,354,538,69,19,94.48349,#1302
5,1,1,1,13,6,516,520,58,22,5.128441,ec
5,1,1,1,13,7,600,520,39,22,32.380295,Oe
5,1,1,1,13,8,645,508,41,55,10.254257,tr
5,1,1,1,14,1,143,564,39,5,33.23893,Sr
5,1,1,1,14,2,195,565,37,11,0.0,Te
5,1,1,1,15,1,135,626,5,10,0.0,","
5,1,1,1,16,1,258,634,160,26,17.090851,[KORa]ingtern
5,1,1,1,16,2,428,628,23,29,93.964661,2!
5,1,1,1,16,3,458,628,23,28,35.867004,Gl
5,1,1,1,17,1,56,646,39,27,92.38002,10
5,1,1,1,17,2,129,606,114,106,39.042633,wa
5,1,1,1,17,3,258,668,90,18,95.523178,Warzone
5,1,1,1,17,4,354,668,65,18,95.565613,#1312
5,1,1,1,17,5,511,643,76,53,0.0,SETAE
5,1,1,1,17,6,594,643,50,53,0.0,EES
5,1,1,1,18,1,135,756,5,10,0.0,.
5,1,1,1,18,2,236,741,9,6,16.634514,.
5,1,1,1,19,1,258,757,225,31,0.0,[BLwz]4
5,1,1,1,19,2,375,753,23,43,63.68042,4]
5,1,1,1,19,3,408,753,22,43,0.0,St
5,1,1,1,19,4,433,753,22,43,0.0,0}
5,1,1,1,19,5,461,753,26,43,72.295364,0}
5,1,1,1,20,1,61,776,29,26,28.149834,nN
5,1,1,1,20,2,129,732,120,114,57.555481,Eat
5,1,1,1,20,3,258,797,90,18,96.54924,Warzone
5,1,1,1,20,4,354,797,71,18,96.161011,#1304
5,1,1,1,20,5,514,777,127,25,0.0,mB
5,1,1,1,21,1,148,895,2,8,0.0,y
5,1,1,1,21,2,258,888,152,25,90.041733,[MAsh]Officer
5,1,1,1,21,3,417,888,79,20,44.015724,Mehoft
5,1,1,1,22,1,57,905,37,26,85.830452,12
5,1,1,1,22,2,258,923,87,32,95.955887,Warzone
5,1,1,1,22,3,355,927,64,18,95.957108,#1315
5,1,1,1,22,4,508,896,119,59,0.0,SAEED
5,1,1,1,22,5,650,896,36,59,42.797829,Gy
5,1,1,1,23,1,139,984,26,31,41.136471,e
5,1,1,1,23,2,175,990,37,22,96.817154,Top
5,1,1,1,23,3,220,990,12,17,96.338722,8
5,1,1,1,23,4,241,989,76,23,96.338722,Players
5,1,1,1,23,5,324,989,87,18,96.161293,Advance
5,1,1,1,23,6,418,991,20,16,95.84539,to
5,1,1,1,23,7,446,989,33,18,95.84539,the
5,1,1,1,23,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,23,9,617,1018,12,1,0.0,/
