level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,30.00985,Gy
5,1,1,1,1,2,80,31,74,19,89.3088,Seeded
5,1,1,1,1,3,163,31,65,24,96.81221,Player
5,1,1,1,2,1,0,79,704,32,39.890026,"""Ranking"
5,1,1,1,2,2,255,75,176,42,52.701538,Commander
5,1,1,1,2,3,490,75,91,42,0.0,~—~—~SKNN
5,1,1,1,2,4,584,75,123,42,52.498512,Score.
5,1,1,1,3,1,2,255,26,31,28.436638,=
5,1,1,1,3,2,52,300,48,43,80.004234,@
5,1,1,1,3,3,134,286,6,11,58.835854,","
5,1,1,1,3,4,236,272,4,3,36.443638,*
5,1,1,1,3,5,257,268,210,61,0.0,rroAKIOWLVIFAN
5,1,1,1,3,6,504,283,135,60,33.681747,sageneso
5,1,1,1,3,7,654,283,35,60,30.744003,Cy
5,1,1,2,1,1,133,267,110,109,94.565109,A
5,1,1,2,1,2,258,328,90,18,96.409332,Warzone
5,1,1,2,1,3,354,328,68,18,96.215271,#1301
5,1,1,2,2,1,2,384,242,47,31.782043,a?
5,1,1,3,1,1,52,428,48,45,33.56102,6
5,1,1,3,1,2,130,394,115,112,0.0,i
5,1,1,3,1,3,258,417,199,59,0.0,Ucnenasos
5,1,1,3,1,4,447,413,24,93,20.382736,|
5,1,1,3,1,5,506,430,180,38,0.0,SESEEO
5,1,1,3,1,6,657,413,31,93,80.420074,GY
5,1,1,3,2,1,2,772,26,32,57.203842,2
5,1,1,3,2,2,159,745,65,71,36.150627,_
5,1,1,3,3,1,2,902,26,31,0.0,*
5,1,1,3,3,2,66,954,20,19,95.790718,7
5,1,1,3,3,3,135,914,108,59,63.305679,er
5,1,1,3,3,4,254,931,111,51,0.0,tvicy4=]
5,1,1,3,3,5,377,942,40,19,89.998871,RIM
5,1,1,3,3,6,510,937,130,45,0.0,SLOPES
5,1,1,4,1,1,139,984,26,31,62.430809,<
5,1,1,4,1,2,175,990,37,22,96.486961,Top
5,1,1,4,1,3,220,990,12,17,96.088394,8
5,1,1,4,1,4,241,989,76,23,95.251823,Players
5,1,1,4,1,5,324,989,87,18,95.251823,Advance
5,1,1,4,1,6,418,991,20,16,91.084709,to
5,1,1,4,1,7,446,989,33,18,91.084709,the
5,1,1,4,1,8,486,989,113,30,66.291519,Semi-final
5,1,1,4,1,9,617,1018,12,1,57.736649,_
