level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,142,120,103,49,36.508911,me]
5,1,1,1,3,2,266,124,90,10,9.757469,Waiculle
5,1,1,1,3,3,362,124,65,10,0.0,#alsUus
5,1,1,1,4,1,67,224,34,26,68.948715,7
5,1,1,1,4,2,147,199,8,53,59.539352,1
5,1,1,1,4,3,179,195,65,44,38.177944,Pea}
5,1,1,1,4,4,266,206,189,26,0.0,(eTwisirkaanaa
5,1,1,1,4,5,512,226,134,19,0.0,ananecy
5,1,1,1,5,1,147,238,85,43,22.474594,Ey}
5,1,1,1,5,2,266,245,90,18,57.33213,Warzone
5,1,1,1,5,3,362,245,69,18,90.561317,#1302
5,1,1,1,5,4,542,241,56,7,20.299225,uo
5,1,1,1,6,1,155,344,9,13,0.0,»
5,1,1,1,6,2,198,325,37,40,50.600925,iB
5,1,1,1,6,3,223,359,6,5,0.0,-4
5,1,1,1,6,4,266,336,202,26,73.033524,[RISe]Miyamototo
5,1,1,1,7,1,63,353,42,26,41.496128,Te
5,1,1,1,7,2,150,358,90,45,0.048569,Bea)
5,1,1,1,7,3,266,375,90,18,69.372185,Warzone
5,1,1,1,7,4,362,375,66,18,94.045853,#1316
5,1,1,1,8,1,143,462,5,11,34.636337,","
5,1,1,1,8,2,244,448,4,3,0.0,.
5,1,1,1,9,1,266,470,179,25,0.0,IMsHI—ROZ1
5,1,1,1,9,2,508,483,31,23,16.683846,an
5,1,1,1,9,3,546,483,103,26,8.759521,agacma
5,1,1,1,10,1,63,482,42,27,95.195747,73
5,1,1,1,10,2,137,439,120,114,21.591599,Ly
5,1,1,1,10,3,266,504,90,18,96.324501,Warzone
5,1,1,1,10,4,362,504,68,18,96.156013,#1303
5,1,1,1,10,5,565,485,83,22,4.445496,Days
5,1,1,1,11,1,187,615,4,7,0.0,""""
5,1,1,1,11,2,266,595,125,25,87.065842,[ArirJUnder
5,1,1,1,11,3,397,595,77,20,96.643867,shelter
5,1,1,1,11,4,507,613,141,25,0.0,*OOREB0
5,1,1,1,12,1,62,612,45,26,85.855453,74
5,1,1,1,12,2,138,572,110,106,87.86396,a
5,1,1,1,12,3,266,634,90,18,96.527191,Warzone
5,1,1,1,12,4,362,633,65,18,96.615372,#1312
5,1,1,1,12,5,509,614,137,22,0.0,ADORED
5,1,1,1,13,1,140,714,3,6,30.773399,BSW
5,1,1,1,13,2,266,724,75,25,49.380699,eee
5,1,1,1,13,3,523,742,125,23,0.0,agence
5,1,1,1,14,1,208,733,3,9,2.057716,Y
5,1,1,1,14,2,290,725,144,20,81.215561,N22]LenaLuu
5,1,1,1,15,1,62,741,43,27,92.397522,75
5,1,1,1,15,2,227,769,19,24,36.415955,&
5,1,1,1,15,3,266,755,87,42,90.662392,Warzone
5,1,1,1,15,4,366,763,64,18,94.954865,#1305
5,1,1,1,15,5,525,744,121,22,0.0,SRRELSOD
5,1,1,1,16,1,139,847,9,27,53.436928,la
5,1,1,1,16,2,244,836,4,3,61.264748,‘
5,1,1,1,16,3,419,847,28,27,71.344543,x=
5,1,1,1,16,4,484,853,19,13,66.541054,[=]
5,1,1,1,17,1,266,853,120,30,0.0,[wHwz]-|
5,1,1,1,17,2,394,853,21,28,11.511078,L]
5,1,1,1,17,3,426,867,16,14,0.0,3
5,1,1,1,17,4,453,853,22,28,0.0,L]
5,1,1,1,17,5,481,868,14,13,0.0,=
5,1,1,1,17,6,511,849,23,52,0.0,Ch
5,1,1,1,17,7,554,849,97,52,11.117569,ceases
5,1,1,1,18,1,62,870,44,27,96.369751,76
5,1,1,1,18,2,137,831,114,106,2.238373,A)
5,1,1,1,18,3,266,892,90,18,95.005188,Warzone
5,1,1,1,18,4,362,892,71,18,96.217628,#1304
5,1,1,1,18,5,528,873,120,22,0.0,SIERELEIY
5,1,1,1,19,1,147,983,26,31,41.136471,e
5,1,1,1,19,2,183,989,37,22,96.921432,Top
5,1,1,1,19,3,228,989,12,17,96.593971,8
5,1,1,1,19,4,249,988,76,23,96.18734,Players
5,1,1,1,19,5,332,988,87,18,96.161575,Advance
5,1,1,1,19,6,426,990,20,16,96.323364,to
5,1,1,1,19,7,454,988,33,18,96.641953,the
5,1,1,1,19,8,494,988,106,18,96.076927,Semi-final
