level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,33,24,37,37,68.48822,y
5,1,1,1,1,2,80,31,74,19,96.242096,Seeded
5,1,1,1,1,3,163,31,65,24,96.788429,Player
5,1,1,1,2,1,45,82,85,34,90.823311,Ranking
5,1,1,1,2,2,257,82,123,34,91.175133,Commander
5,1,1,1,2,3,542,86,35,19,90.328491,Kill
5,1,1,1,2,4,583,87,57,19,96.513092,Score
5,1,1,1,3,1,69,125,11,7,72.829872,.
5,1,1,1,3,2,130,121,107,58,41.212463,ae
5,1,1,1,3,3,258,121,87,34,96.219025,Warzone
5,1,1,1,3,4,356,127,68,18,96.531906,#1308
5,1,1,1,3,5,538,125,103,7,33.32402,eee
5,1,1,1,4,1,65,235,23,27,94.332893,8
5,1,1,1,4,2,150,210,77,68,16.462006,x
5,1,1,1,4,3,258,218,182,26,47.364349,[A1OW]Whiskey
5,1,1,1,4,4,448,209,87,57,0.0,Squityel
5,1,1,1,4,5,548,209,96,57,0.0,aaga50
5,1,1,1,5,1,145,260,25,27,35.346375,2
5,1,1,1,5,2,195,264,43,23,27.536766,Sg
5,1,1,1,5,3,258,253,87,31,96.696632,Warzone
5,1,1,1,5,4,357,257,62,18,96.441322,#1312
5,1,1,1,6,1,65,364,22,27,90.939308,9
5,1,1,1,6,2,138,328,99,65,45.540222,GY
5,1,1,1,6,3,258,335,138,55,0.0,DOKAMThInh
5,1,1,1,6,4,409,353,79,27,63.015182,Ta1102
5,1,1,1,6,5,509,367,25,19,35.682861,69
5,1,1,1,6,6,542,367,45,19,16.19664,oe
5,1,1,1,6,7,595,367,44,19,48.317154,oa
5,1,1,1,7,1,149,382,73,34,0.0,7a
5,1,1,1,7,2,258,377,88,43,74.360725,Warzone
5,1,1,1,7,3,356,386,66,18,95.403557,#1305
5,1,1,1,7,4,536,382,57,7,28.629471,oes
5,1,1,1,8,1,56,494,39,26,96.589661,10
5,1,1,1,8,2,136,468,102,39,8.35318,Vaan?
5,1,1,1,8,3,258,475,242,28,33.580452,[NHI]Tiger
5,1,1,1,8,4,382,464,48,47,73.099976,Tung
5,1,1,1,8,5,441,464,64,47,93.122086,Vinut
5,1,1,1,9,1,152,512,70,31,0.0,eee
5,1,1,1,9,2,258,507,89,41,71.425079,Warzone
5,1,1,1,9,3,356,515,66,19,95.056931,#1307
5,1,1,1,9,4,543,511,52,7,14.561447,a
5,1,1,1,10,1,147,595,78,24,31.788445,PLA
5,1,1,1,10,2,258,606,142,25,21.836899,[GLORIMidNi
5,1,1,1,11,1,150,620,39,18,11.842667,me
5,1,1,1,11,2,398,602,41,37,89.642807,ight
5,1,1,1,11,3,450,607,35,20,96.027664,Sun
5,1,1,1,11,4,493,607,25,19,95.684784,13
5,1,1,1,12,1,61,623,29,26,85.722466,n
5,1,1,1,12,2,142,637,90,36,21.692932,Paes)
5,1,1,1,12,3,259,633,88,44,74.250023,Warzone
5,1,1,1,12,4,358,645,65,18,95.879616,#1302
5,1,1,1,12,5,516,618,170,38,26.477623,TATTERED
5,1,1,1,12,6,659,614,32,63,46.381229,ay
5,1,1,1,13,1,144,711,89,93,44.370632,P=)
5,1,1,1,13,2,258,720,187,49,33.314392,[SOFJAchilles211
5,1,1,1,14,1,150,754,61,15,0.0,oo
5,1,1,1,15,1,57,752,37,27,70.787056,12
5,1,1,1,15,2,138,714,40,89,0.0,P
5,1,1,1,15,3,217,772,15,31,0.0,*
5,1,1,1,15,4,258,770,87,32,95.588051,Warzone
5,1,1,1,15,5,355,774,69,18,96.297844,#1306
5,1,1,1,15,6,513,755,70,19,0.0,AREER
5,1,1,1,15,7,595,755,45,19,0.0,WES
5,1,1,1,16,1,151,852,72,38,18.337112,70
5,1,1,1,16,2,258,859,165,36,57.544327,[B3ar]WickaaG
5,1,1,1,16,3,621,889,3,3,25.334717,;
5,1,1,1,17,1,57,882,37,27,88.877502,13
5,1,1,1,17,2,138,844,83,88,49.058842,ea
5,1,1,1,17,3,258,895,88,38,96.227478,Warzone
5,1,1,1,17,4,358,904,66,18,96.227478,#1308
5,1,1,1,17,5,511,883,130,26,16.105507,SSRIS
5,1,1,1,18,1,139,984,26,31,41.136471,e
5,1,1,1,18,2,175,990,37,22,96.817154,Top
5,1,1,1,18,3,220,990,12,17,96.338722,8
5,1,1,1,18,4,241,989,76,23,96.338722,Players
5,1,1,1,18,5,324,989,87,18,96.161293,Advance
5,1,1,1,18,6,418,991,20,16,95.84539,to
5,1,1,1,18,7,446,989,33,18,95.84539,the
5,1,1,1,18,8,486,985,113,34,91.529221,Semi-final
5,1,1,1,18,9,617,1018,12,1,0.0,/
