level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,0,133,22,26,50.486698,=
5,1,1,1,3,2,135,149,96,48,6.130638,WES
5,1,1,1,3,3,252,164,176,28,0.0,INHITTigerLuuB
5,1,1,1,4,1,45,173,50,22,41.048618,ip:
5,1,1,1,4,2,137,169,96,28,36.808464,«=e
5,1,1,1,4,3,325,167,144,26,58.756218,igerLUuBang
5,1,1,1,4,4,514,181,11,16,38.801456,oa
5,1,1,1,4,5,590,181,45,16,32.388977,mayen
5,1,1,1,4,6,648,174,28,13,41.069721,ey
5,1,1,1,5,1,47,178,46,37,47.344967,a
5,1,1,1,5,2,137,197,97,28,0.0,Seeeees
5,1,1,1,5,3,252,201,90,19,93.793045,Warzone
5,1,1,1,5,4,348,201,68,19,96.314552,#1307
5,1,1,1,5,5,500,180,134,26,35.787903,EIS
5,1,1,1,5,6,643,186,37,26,26.908577,Dy
5,1,1,1,6,1,0,258,22,31,37.274376,a
5,1,1,1,6,2,122,263,100,119,30.333221,ast
5,1,1,1,7,1,46,304,48,18,18.53965,rae
5,1,1,1,7,2,252,293,170,30,18.469711,[BFUN]hUngso
5,1,1,1,8,1,46,303,48,43,22.487564,a
5,1,1,1,8,2,139,349,7,12,44.577789,‘
5,1,1,1,8,3,158,310,41,53,23.881088,RY
5,1,1,1,8,4,252,331,90,18,96.340645,Warzone
5,1,1,1,8,5,348,330,67,19,96.920853,#1314
5,1,1,1,8,6,500,306,136,56,0.451248,ESTED
5,1,1,1,8,7,639,300,41,62,47.986252,oy
5,1,1,1,9,1,0,395,22,23,0.0,=
5,1,1,1,9,2,221,402,13,20,27.785805,7
5,1,1,1,9,3,252,421,182,26,66.882622,[PNDaljippeoo2
5,1,1,1,10,1,55,433,30,5,45.642704,Page
5,1,1,1,10,2,309,426,76,21,19.925308,jaljippe
5,1,1,1,10,3,537,445,36,7,24.435036,sys
5,1,1,1,10,4,647,433,30,13,0.0,"“,"
5,1,1,1,11,1,46,432,48,44,68.401276,&
5,1,1,1,11,2,126,412,110,88,61.47504,Lue!
5,1,1,1,11,3,252,455,84,33,96.272636,Warzone
5,1,1,1,11,4,349,455,67,33,96.410881,#1303
5,1,1,1,11,5,491,435,143,55,21.704071,SIRES
5,1,1,1,11,6,642,435,42,55,57.25853,Yay
5,1,1,1,12,1,0,520,22,28,38.674576,=
5,1,1,1,12,2,129,527,81,30,33.014603,GRD
5,1,1,1,12,3,252,551,187,25,0.0,(s00E]Marcorrx
5,1,1,1,13,1,138,560,6,8,76.094177,a
5,1,1,1,13,2,346,546,49,35,84.821831,jarco
5,1,1,1,13,3,574,569,44,4,19.99527,oom
5,1,1,1,14,1,59,568,23,26,93.570908,4
5,1,1,1,14,2,252,586,87,31,96.797699,Warzone
5,1,1,1,14,3,348,586,64,31,96.415482,#1313
5,1,1,1,14,4,497,559,136,58,31.432816,SEMIS
5,1,1,1,14,5,646,559,34,58,32.062843,Gy
5,1,1,1,15,1,0,652,22,25,41.471653,J
5,1,1,1,15,2,142,661,79,29,51.990341,EW)
5,1,1,1,15,3,252,680,69,25,5.395401,ows
5,1,1,1,16,1,132,683,26,29,35.0438,Ne
5,1,1,1,16,2,188,684,43,28,44.405106,"Jae,"
5,1,1,1,16,3,260,681,127,20,7.382614,[DWS|Magic
5,1,1,1,16,4,401,681,53,20,88.2061,Town
5,1,1,1,16,5,519,698,82,17,0.0,sareramn
5,1,1,1,16,6,649,692,27,13,40.391045,ey
5,1,1,1,17,1,61,697,19,27,94.599297,5
5,1,1,1,17,2,133,680,58,69,48.071152,a
5,1,1,1,17,3,218,701,13,23,84.454758,4
5,1,1,1,17,4,252,697,89,49,74.11998,warzone
5,1,1,1,17,5,352,719,64,18,94.394058,#1301
5,1,1,1,17,6,505,698,129,26,0.0,RSID
5,1,1,1,17,7,643,704,37,26,48.710548,Yay
5,1,1,1,18,1,0,780,22,26,44.969452,=
5,1,1,1,18,2,130,790,72,58,35.049538,rae
5,1,1,1,18,3,223,801,9,31,27.067902,f)
5,1,1,1,18,4,252,809,107,26,0.0,[RVX]Bubu
5,1,1,1,18,5,380,797,12,46,89.781479,n
5,1,1,1,18,6,399,811,37,19,96.389259,Tot
5,1,1,1,19,1,176,816,41,23,58.162842,A
5,1,1,1,19,2,333,815,116,15,0.0,wbUNTSO
5,1,1,1,19,3,501,827,73,17,0.0,oo
5,1,1,1,19,4,590,805,44,43,0.0,crac:
5,1,1,1,19,5,647,805,34,43,21.884438,ety
5,1,1,1,20,1,59,827,22,26,82.223206,6
5,1,1,1,20,2,252,841,87,35,96.637459,Warzone
5,1,1,1,20,3,350,848,66,18,96.598396,#1305
5,1,1,1,20,4,502,828,178,31,26.973694,ADEE
5,1,1,1,20,5,645,824,40,52,63.539883,Yay
