level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,41,23,37,37,68.48822,y
5,1,1,1,1,2,88,30,74,19,96.242096,Seeded
5,1,1,1,1,3,171,30,65,24,96.788429,Player
5,1,1,1,2,1,53,81,85,34,90.823311,Ranking
5,1,1,1,2,2,265,81,123,34,91.175133,Commander
5,1,1,1,2,3,550,85,35,19,90.328491,Kill
5,1,1,1,2,4,591,86,57,19,96.513092,Score
5,1,1,1,3,1,139,156,9,24,18.417053,rs
5,1,1,1,3,2,244,152,4,3,44.980885,‘
5,1,1,1,3,3,451,169,4,4,0.0,:
5,1,1,1,4,1,266,169,151,26,81.887802,[MAsh]Sleepy
5,1,1,1,4,2,425,169,87,26,87.764664,Grizzley
5,1,1,1,4,3,525,166,128,51,0.0,agiRes3
5,1,1,1,5,1,63,186,42,26,94.184059,72
5,1,1,1,5,2,137,146,114,106,0.0,|
5,1,1,1,5,3,266,200,86,36,96.445091,Warzone
5,1,1,1,5,4,364,208,63,18,96.631134,#1315
5,1,1,1,5,5,531,189,116,22,17.44854,STIS
5,1,1,1,6,1,143,296,5,10,0.893463,A
5,1,1,1,6,2,175,285,43,22,0.0,sciks.
5,1,1,1,6,3,244,281,4,3,24.250938,pt
5,1,1,1,6,4,411,299,8,7,0.0,.
5,1,1,1,7,1,165,304,64,29,33.670746,Sue
5,1,1,1,7,2,266,299,180,29,0.0,[DKBSIKE
5,1,1,1,7,3,394,293,20,46,9.240875,Ze
5,1,1,1,8,1,63,315,42,27,96.676353,73
5,1,1,1,8,2,138,331,91,32,0.0,iede:
5,1,1,1,8,3,267,327,84,40,95.354073,Warzone
5,1,1,1,8,4,364,337,66,18,96.212822,#1303
5,1,1,1,8,5,532,318,116,22,0.0,SPORE
5,1,1,1,9,1,144,364,88,14,30.082008,ren
5,1,1,1,10,1,193,443,4,4,0.0,’
5,1,1,1,10,2,266,428,169,25,91.729004,[XTRM]Conaine
5,1,1,1,11,1,62,445,45,26,70.290634,7%
5,1,1,1,11,2,213,430,31,75,65.368889,4
5,1,1,1,11,3,266,458,88,38,96.227478,Warzone
5,1,1,1,11,4,366,467,66,18,96.227478,#1308
5,1,1,1,11,5,527,448,119,22,18.239075,EERE
5,1,1,1,12,1,235,537,14,71,0.0,\
5,1,1,1,12,2,266,557,222,25,4.450645,[Orca]Okideki2008
5,1,1,1,12,3,530,575,27,23,16.98539,A
5,1,1,1,12,4,610,575,35,23,35.561661,ars
5,1,1,1,13,1,194,558,4,7,64.665657,.
5,1,1,1,13,2,291,562,8,15,67.589142,r
5,1,1,1,13,3,369,557,54,21,71.818237,idoki
5,1,1,1,14,1,62,575,43,26,94.59803,75
5,1,1,1,14,2,142,550,104,82,55.98082,[ol
5,1,1,1,14,3,266,588,86,36,96.383385,Warzone
5,1,1,1,14,4,364,596,64,18,96.843948,#1316
5,1,1,1,14,5,527,577,73,22,0.0,SITY
5,1,1,1,14,6,612,573,35,51,0.0,ENS
5,1,1,1,15,1,143,684,5,10,0.0,","
5,1,1,1,15,2,244,669,9,6,27.382126,.
5,1,1,1,16,1,266,691,82,25,0.0,TWEE
5,1,1,1,16,2,389,686,107,28,0.0,RBA
5,1,1,1,17,1,62,704,44,26,96.839417,76
5,1,1,1,17,2,137,664,114,106,39.743088,a
5,1,1,1,17,3,266,718,87,35,96.545044,Warzone
5,1,1,1,17,4,364,725,66,19,96.823799,#1307
5,1,1,1,17,5,528,706,66,22,0.0,SESH
5,1,1,1,17,6,613,707,35,22,0.0,IS
5,1,1,1,18,1,174,800,41,49,10.421944,feng
5,1,1,1,18,2,266,815,164,34,65.022079,[BffJANHROSI
5,1,1,1,18,3,521,815,131,49,0.0,eregevai0}
5,1,1,1,19,1,63,833,42,26,90.35347,77
5,1,1,1,19,2,142,793,103,111,60.216301,a)
5,1,1,1,19,3,266,847,87,35,96.595879,Warzone
5,1,1,1,19,4,364,847,65,35,95.07579,#1314
5,1,1,1,19,5,527,836,47,22,0.0,SyER
5,1,1,1,19,6,581,836,65,22,0.0,EYED
5,1,1,1,20,1,62,963,44,9,30.959999,—
5,1,1,1,20,2,138,918,109,65,37.989079,(rR)
5,1,1,1,20,3,266,945,146,26,49.810112,[UF29]Rok15
5,1,1,1,20,4,526,964,70,8,49.571072,AA
5,1,1,1,20,5,608,943,44,40,32.594078,ORO
5,1,1,1,21,1,147,983,26,31,41.136471,e
5,1,1,1,21,2,183,989,37,22,96.921432,Top
5,1,1,1,21,3,228,989,12,17,96.593971,8
5,1,1,1,21,4,249,988,76,23,96.18734,Players
5,1,1,1,21,5,332,988,87,18,96.161575,Advance
5,1,1,1,21,6,426,990,20,16,96.323364,to
5,1,1,1,21,7,454,988,33,18,96.641953,the
5,1,1,1,21,8,494,988,106,18,96.076927,Semi-final
